iterationNumber;sumRangeAnxiety;rangeAnxietyScoringPersons;meanRangeAnxiety;sumEmptyBattery;emptyBatteryScoringPersons;meanEmptyBattery;sumWalkingDistance;walkingDistanceScoringPersons;meanWalkingDistance;sumHomeCharging;homeChargingScoringPersons;meanHomeCharging;sumEnergyBalance;energyBalanceScoringPersons;meanEnergyBalance
0;-12066.000172125317;684.0;-17.640351128838184;-77265.0;449.0;-172.08240534521158;0.0;0.0;NaN;0.0;0.0;NaN;0.0;0.0;NaN
1;-8630.096031246518;561.0;-15.383415385466163;-34785.0;228.0;-152.56578947368422;-244.70387182984356;601.0;-0.4071611844090575;0.0;223.0;0.0;0.0;0.0;NaN
2;-7706.801696011136;510.0;-15.11137587453164;-27600.0;193.0;-143.00518134715026;-312.09009021631476;609.0;-0.51246320232564;0.0;264.0;0.0;0.0;0.0;NaN
3;-6680.948894371002;466.0;-14.33680020251288;-24150.0;173.0;-139.59537572254337;-360.8881848309125;656.0;-0.5501344280959032;0.0;297.0;0.0;0.0;0.0;NaN
4;-5840.284711623739;445.0;-13.124235307019639;-19425.0;146.0;-133.04794520547946;-407.7145404807682;660.0;-0.6177493037587397;0.0;321.0;0.0;0.0;0.0;NaN
5;-5211.912625672868;416.0;-12.528636119405933;-16935.0;130.0;-130.26923076923077;-450.8614099235996;689.0;-0.6543706965509428;0.0;358.0;0.0;0.0;0.0;NaN
6;-4745.9738460915705;393.0;-12.076269328477279;-16185.0;121.0;-133.7603305785124;-470.76721937636404;688.0;-0.6842546793261105;0.0;366.0;0.0;0.0;0.0;NaN
7;-4516.607442093036;368.0;-12.273389788296294;-14865.0;110.0;-135.13636363636363;-514.0235300843894;703.0;-0.7311856757957176;0.0;374.0;0.0;0.0;0.0;NaN
8;-3871.516082980135;346.0;-11.189352840983048;-12765.0;94.0;-135.79787234042553;-532.4088734971423;728.0;-0.7313308701883823;0.0;395.0;0.0;0.0;0.0;NaN
9;-3679.496753397985;318.0;-11.570744507540832;-11295.0;80.0;-141.1875;-560.6369560754633;746.0;-0.7515240698062511;0.0;432.0;0.0;0.0;0.0;NaN
10;-3206.8650473348252;300.0;-10.689550157782751;-9390.0;71.0;-132.25352112676057;-590.7603785944559;751.0;-0.78663166257584;0.0;441.0;0.0;0.0;0.0;NaN
11;-2965.4965698705755;291.0;-10.190709862098197;-8070.0;65.0;-124.15384615384616;-592.064934209067;763.0;-0.7759697696055924;0.0;448.0;0.0;0.0;0.0;NaN
12;-2752.7001779374755;286.0;-9.62482579698418;-7845.0;58.0;-135.25862068965517;-606.5325145894406;755.0;-0.8033543239595239;0.0;444.0;0.0;0.0;0.0;NaN
13;-2551.697290291095;279.0;-9.14586842398242;-6705.0;53.0;-126.50943396226415;-613.4297690572733;754.0;-0.8135673329672061;0.0;461.0;0.0;0.0;0.0;NaN
14;-2240.747419931158;269.0;-8.329916059223637;-6765.0;46.0;-147.06521739130434;-621.2143851483931;769.0;-0.8078210470070132;0.0;466.0;0.0;0.0;0.0;NaN
15;-2120.0914643394153;253.0;-8.379808159444329;-5670.0;38.0;-149.21052631578948;-634.5895119041545;753.0;-0.8427483557824097;0.0;454.0;0.0;0.0;0.0;NaN
16;-2008.1375255906044;253.0;-7.937302472690136;-5925.0;40.0;-148.125;-620.0283276463538;766.0;-0.8094364590683469;0.0;488.0;0.0;0.0;0.0;NaN
17;-1916.7557308463274;244.0;-7.855556273960358;-5085.0;36.0;-141.25;-631.4043295033478;764.0;-0.8264454574651149;0.0;495.0;0.0;0.0;0.0;NaN
18;-1943.2982130107682;244.0;-7.964336938568723;-4740.0;36.0;-131.66666666666666;-645.8809047296232;774.0;-0.8344714531390481;0.0;496.0;0.0;0.0;0.0;NaN
19;-1785.3857200375114;230.0;-7.762546608858745;-4230.0;36.0;-117.5;-663.1371133119217;750.0;-0.8841828177492289;0.0;490.0;0.0;0.0;0.0;NaN
20;-1625.4578762406682;225.0;-7.224257227736303;-3615.0;28.0;-129.10714285714286;-644.167845259499;773.0;-0.8333348580329871;0.0;506.0;0.0;0.0;0.0;NaN
21;-1578.192698856978;223.0;-7.077097304291382;-3570.0;30.0;-119.0;-657.5845524382598;774.0;-0.8495924450106717;0.0;515.0;0.0;0.0;0.0;NaN
22;-1476.056845726754;194.0;-7.608540441890485;-3285.0;26.0;-126.34615384615384;-671.9503484210397;773.0;-0.8692760005446827;0.0;506.0;0.0;0.0;0.0;NaN
23;-1389.2555594483676;189.0;-7.350558515599829;-3015.0;27.0;-111.66666666666667;-673.6614982061005;787.0;-0.855986655916265;0.0;522.0;0.0;0.0;0.0;NaN
24;-1279.9555766308927;196.0;-6.5303855950555745;-2775.0;24.0;-115.625;-650.0299844793685;764.0;-0.8508245870148803;0.0;516.0;0.0;0.0;0.0;NaN
25;-1352.0840101719946;205.0;-6.595531756936559;-2700.0;23.0;-117.3913043478261;-657.5866896335698;777.0;-0.8463149158733202;0.0;524.0;0.0;0.0;0.0;NaN
26;-1302.2836527704358;191.0;-6.818239019740501;-2580.0;22.0;-117.27272727272727;-678.2645949656894;788.0;-0.8607418717838698;0.0;535.0;0.0;0.0;0.0;NaN
27;-1245.7036945662537;197.0;-6.323369007950527;-2745.0;23.0;-119.34782608695652;-686.919794629017;782.0;-0.878414059627899;0.0;546.0;0.0;0.0;0.0;NaN
28;-1173.911603901729;197.0;-5.958942151785426;-2265.0;19.0;-119.21052631578948;-695.4186835645927;769.0;-0.9043155833089632;0.0;523.0;0.0;0.0;0.0;NaN
29;-1225.9544387965082;189.0;-6.486531422203747;-2265.0;18.0;-125.83333333333333;-681.0612272889629;790.0;-0.8621028193531175;0.0;539.0;0.0;0.0;0.0;NaN
30;-1081.7903729660732;183.0;-5.911422803093296;-1920.0;19.0;-101.05263157894737;-696.9342475832784;789.0;-0.8833133682931286;0.0;542.0;0.0;0.0;0.0;NaN
31;-1016.9137396873755;185.0;-5.496831025337165;-1500.0;16.0;-93.75;-680.6606405141814;796.0;-0.8551013071786199;0.0;550.0;0.0;0.0;0.0;NaN
