vehicle_id,pv_wp,pv_area_m2,pv_eff
1838887,400.0,2.0,0.2
1838954,400.0,2.0,0.2
1839970,400.0,2.0,0.2
1855652,400.0,2.0,0.2
1855936,400.0,2.0,0.2
1858481,400.0,2.0,0.2
1860690,400.0,2.0,0.2
1862586,400.0,2.0,0.2
1864297,400.0,2.0,0.2
1865752,400.0,2.0,0.2
1872483,400.0,2.0,0.2
1875719,400.0,2.0,0.2
1879340,400.0,2.0,0.2
1881131,400.0,2.0,0.2
1882672,400.0,2.0,0.2
1884286,400.0,2.0,0.2
1884883,400.0,2.0,0.2
1895035,400.0,2.0,0.2
1895729,400.0,2.0,0.2
1895844,400.0,2.0,0.2
1897082,400.0,2.0,0.2
1897561,400.0,2.0,0.2
1917509,400.0,2.0,0.2
1918308,400.0,2.0,0.2
1920973,400.0,2.0,0.2
1922491,400.0,2.0,0.2
1923602,400.0,2.0,0.2
1924907,400.0,2.0,0.2
1926014,400.0,2.0,0.2
1926043,400.0,2.0,0.2
1927923,400.0,2.0,0.2
1928589,400.0,2.0,0.2
1928999,400.0,2.0,0.2
1929172,400.0,2.0,0.2
1930905,400.0,2.0,0.2
1931224,400.0,2.0,0.2
1933694,400.0,2.0,0.2
1937617,400.0,2.0,0.2
1937796,400.0,2.0,0.2
1938243,400.0,2.0,0.2
1940658,400.0,2.0,0.2
1941262,400.0,2.0,0.2
1941272,400.0,2.0,0.2
1941613,400.0,2.0,0.2
1942999,400.0,2.0,0.2
1945237,400.0,2.0,0.2
1966715,400.0,2.0,0.2
1967726,400.0,2.0,0.2
1968103,400.0,2.0,0.2
1979559,400.0,2.0,0.2
1985995,400.0,2.0,0.2
1989025,400.0,2.0,0.2
1994103,400.0,2.0,0.2
1995118,400.0,2.0,0.2
2000357,400.0,2.0,0.2
2001737,400.0,2.0,0.2
2001836,400.0,2.0,0.2
2015782,400.0,2.0,0.2
2016704,400.0,2.0,0.2
2017886,400.0,2.0,0.2
2017999,400.0,2.0,0.2
2018387,400.0,2.0,0.2
2026654,400.0,2.0,0.2
2030913,400.0,2.0,0.2
2037147,400.0,2.0,0.2
2040335,400.0,2.0,0.2
2040830,400.0,2.0,0.2
2043577,400.0,2.0,0.2
2045441,400.0,2.0,0.2
2045831,400.0,2.0,0.2
2059158,400.0,2.0,0.2
2067447,400.0,2.0,0.2
2068351,400.0,2.0,0.2
2068881,400.0,2.0,0.2
2069612,400.0,2.0,0.2
2069951,400.0,2.0,0.2
2070001,400.0,2.0,0.2
2071692,400.0,2.0,0.2
2071723,400.0,2.0,0.2
2072947,400.0,2.0,0.2
2073998,400.0,2.0,0.2
2075756,400.0,2.0,0.2
2077950,400.0,2.0,0.2
2082164,400.0,2.0,0.2
2082236,400.0,2.0,0.2
2090867,400.0,2.0,0.2
2094407,400.0,2.0,0.2
2098360,400.0,2.0,0.2
2099138,400.0,2.0,0.2
2099774,400.0,2.0,0.2
2125107,400.0,2.0,0.2
2207532,400.0,2.0,0.2
2208172,400.0,2.0,0.2
2313708,400.0,2.0,0.2
2315592,400.0,2.0,0.2
2316095,400.0,2.0,0.2
2319409,400.0,2.0,0.2
2323688,400.0,2.0,0.2
2325568,400.0,2.0,0.2
2326399,400.0,2.0,0.2
2326800,400.0,2.0,0.2
2327157,400.0,2.0,0.2
2330722,400.0,2.0,0.2
2330931,400.0,2.0,0.2
2332424,400.0,2.0,0.2
2334655,400.0,2.0,0.2
2945180,400.0,2.0,0.2
2947304,400.0,2.0,0.2
3039759,400.0,2.0,0.2
3040376,400.0,2.0,0.2
3040415,400.0,2.0,0.2
3043426,400.0,2.0,0.2
3255172,400.0,2.0,0.2
3255260,400.0,2.0,0.2
3255459,400.0,2.0,0.2
3257662,400.0,2.0,0.2
3262427,400.0,2.0,0.2
4575466,400.0,2.0,0.2
4576191,400.0,2.0,0.2
4588354,400.0,2.0,0.2
4594067,400.0,2.0,0.2
4595014,400.0,2.0,0.2
4598048,400.0,2.0,0.2
4600925,400.0,2.0,0.2
4602304,400.0,2.0,0.2
4605109,400.0,2.0,0.2
4607558,400.0,2.0,0.2
4609799,400.0,2.0,0.2
4622766,400.0,2.0,0.2
4623097,400.0,2.0,0.2
4623233,400.0,2.0,0.2
4638214,400.0,2.0,0.2
4638257,400.0,2.0,0.2
4639812,400.0,2.0,0.2
4640936,400.0,2.0,0.2
4642323,400.0,2.0,0.2
4643903,400.0,2.0,0.2
4645181,400.0,2.0,0.2
4647456,400.0,2.0,0.2
4650209,400.0,2.0,0.2
4651380,400.0,2.0,0.2
4652995,400.0,2.0,0.2
4656277,400.0,2.0,0.2
4660405,400.0,2.0,0.2
4661436,400.0,2.0,0.2
4663510,400.0,2.0,0.2
4694999,400.0,2.0,0.2
4696156,400.0,2.0,0.2
4700861,400.0,2.0,0.2
4703597,400.0,2.0,0.2
4704065,400.0,2.0,0.2
4704257,400.0,2.0,0.2
4705212,400.0,2.0,0.2
4730508,400.0,2.0,0.2
4735689,400.0,2.0,0.2
4739613,400.0,2.0,0.2
4740650,400.0,2.0,0.2
4743770,400.0,2.0,0.2
4744050,400.0,2.0,0.2
4744657,400.0,2.0,0.2
4760278,400.0,2.0,0.2
4764447,400.0,2.0,0.2
4765466,400.0,2.0,0.2
4769859,400.0,2.0,0.2
4770792,400.0,2.0,0.2
4772272,400.0,2.0,0.2
4777949,400.0,2.0,0.2
4782906,400.0,2.0,0.2
4784608,400.0,2.0,0.2
4785637,400.0,2.0,0.2
4792356,400.0,2.0,0.2
4793581,400.0,2.0,0.2
4795845,400.0,2.0,0.2
4804303,400.0,2.0,0.2
4804925,400.0,2.0,0.2
4857149,400.0,2.0,0.2
4857514,400.0,2.0,0.2
4922457,400.0,2.0,0.2
4923864,400.0,2.0,0.2
