vehicle_id,pv_wp,pv_area_m2,pv_eff
1838887,400.0,2.0,0.2
1839223,400.0,2.0,0.2
1839970,400.0,2.0,0.2
1840473,400.0,2.0,0.2
1853554,400.0,2.0,0.2
1855936,400.0,2.0,0.2
1857800,400.0,2.0,0.2
1858481,400.0,2.0,0.2
1859228,400.0,2.0,0.2
1863491,400.0,2.0,0.2
1863798,400.0,2.0,0.2
1865752,400.0,2.0,0.2
1866997,400.0,2.0,0.2
1871098,400.0,2.0,0.2
1873067,400.0,2.0,0.2
1875719,400.0,2.0,0.2
1876762,400.0,2.0,0.2
1877251,400.0,2.0,0.2
1877813,400.0,2.0,0.2
1879340,400.0,2.0,0.2
1881178,400.0,2.0,0.2
1882314,400.0,2.0,0.2
1882672,400.0,2.0,0.2
1884883,400.0,2.0,0.2
1895729,400.0,2.0,0.2
1895844,400.0,2.0,0.2
1896799,400.0,2.0,0.2
1897768,400.0,2.0,0.2
1916504,400.0,2.0,0.2
1916724,400.0,2.0,0.2
1918308,400.0,2.0,0.2
1920973,400.0,2.0,0.2
1922309,400.0,2.0,0.2
1922901,400.0,2.0,0.2
1923602,400.0,2.0,0.2
1924907,400.0,2.0,0.2
1925819,400.0,2.0,0.2
1926014,400.0,2.0,0.2
1926043,400.0,2.0,0.2
1926380,400.0,2.0,0.2
1927923,400.0,2.0,0.2
1928589,400.0,2.0,0.2
1928782,400.0,2.0,0.2
1930342,400.0,2.0,0.2
1930905,400.0,2.0,0.2
1931084,400.0,2.0,0.2
1931224,400.0,2.0,0.2
1932344,400.0,2.0,0.2
1932457,400.0,2.0,0.2
1932964,400.0,2.0,0.2
1933117,400.0,2.0,0.2
1933378,400.0,2.0,0.2
1933380,400.0,2.0,0.2
1933444,400.0,2.0,0.2
1933694,400.0,2.0,0.2
1936067,400.0,2.0,0.2
1936362,400.0,2.0,0.2
1937617,400.0,2.0,0.2
1937796,400.0,2.0,0.2
1938243,400.0,2.0,0.2
1941272,400.0,2.0,0.2
1941915,400.0,2.0,0.2
1942554,400.0,2.0,0.2
1943706,400.0,2.0,0.2
1943722,400.0,2.0,0.2
1945237,400.0,2.0,0.2
1945320,400.0,2.0,0.2
1946683,400.0,2.0,0.2
1966722,400.0,2.0,0.2
1967249,400.0,2.0,0.2
1967295,400.0,2.0,0.2
1967726,400.0,2.0,0.2
1967773,400.0,2.0,0.2
1968155,400.0,2.0,0.2
1968160,400.0,2.0,0.2
1968395,400.0,2.0,0.2
1969187,400.0,2.0,0.2
1983960,400.0,2.0,0.2
1985696,400.0,2.0,0.2
1985995,400.0,2.0,0.2
1986675,400.0,2.0,0.2
1987540,400.0,2.0,0.2
1988010,400.0,2.0,0.2
1988503,400.0,2.0,0.2
1988537,400.0,2.0,0.2
1989025,400.0,2.0,0.2
1993118,400.0,2.0,0.2
1993456,400.0,2.0,0.2
1996657,400.0,2.0,0.2
1996902,400.0,2.0,0.2
1997792,400.0,2.0,0.2
2000357,400.0,2.0,0.2
