Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,27.4,72.17,59.83,28.21,4.65,52.65,37.34,17.04,14.49,-4.37,81.1,86.13
1,27.23,69.29,56.95,28.15,4.63,48.47,36.57,16,13.91,-4.4,76.42,82.93
2,24.28,66.94,56.94,28.59,4.8,48.34,29.15,14.89,13.19,-4.43,72.9,80.1
3,13,67.78,56.97,29.92,5.1,50.26,19.95,15.18,12.47,-4.35,70.69,76.55
4,7.98,72.17,54.97,32.32,5.28,51.87,16.98,15.31,12.5,-4.33,74.45,75.16
5,4.85,69.29,57.23,38.01,6.69,58.5,13.69,17.35,12.49,-3.97,80.68,80.41
6,6.05,109.05,112.86,39.11,14.51,60.69,19.9,19.17,13.93,-3.32,98.69,95.97
7,10.09,112.97,136.33,41.17,92.26,67.46,22.6,22.86,28.97,-3.01,122.19,106.95
8,14.03,182.72,148.68,50.05,94.13,72.26,29.87,26.26,125.07,-2.61,128.59,121.5
9,19.07,150.98,111.63,50.02,87.33,69.9,17.41,27.94,104.38,-3.03,121.29,117.44
10,17.83,128.67,103.27,43.93,52.98,68.54,4.69,25.97,49.94,-3.01,112.78,109.97
11,11.7,114.74,60.06,41.4,30.45,67.73,0.02,24.59,28.96,-3.04,99.84,102.75
12,6.93,113.52,53.13,40.55,14.94,68.07,0.01,23.85,21.98,-3.07,97.36,94.13
13,6.04,112.87,50.77,40.01,11.62,70.15,-0.13,22.89,15.87,-3.06,101.09,88.3
14,6.09,112.83,60.02,40.07,8.95,69.94,-1.03,22.98,15.66,-2.61,106.27,86.34
15,19.1,112.75,91.65,40.68,11.92,68,-0.1,23.16,15.42,-2.1,121.21,87.7
16,27.43,112.88,101.05,41.18,39.97,67.02,1.77,24.35,16.1,-1.12,122.96,95.77
17,30.9,112.18,108.07,45.79,73.55,67.91,20.9,24.9,16.79,-0.03,127.84,92.65
18,27.61,108.92,111.23,51.78,80.3,69.91,35.51,23.98,15.55,0,129.9,84.91
19,25.9,104.96,109.53,54.53,82.8,68.69,35.79,22.87,13.33,-0.01,121.08,79.6
20,12.47,73.74,105.26,52.31,83.71,63.62,33.51,24.35,12.17,-0.46,109.9,77.01
21,20.79,66.17,105.06,50.01,82.63,60.47,30.67,23.17,11.16,-1.1,97.5,75.7
22,31.04,58.34,81.67,46.89,17.87,56.84,20.75,18.99,8.93,-1.26,91.66,60.8
23,32.38,49.59,72.91,43.66,7.24,51.48,16.22,17.56,6.02,-2.07,84.21,69.47
