time;year;month;date;hour;P;500W_P
20230101:0011;2023;1;1;0;0;0
20230101:0111;2023;1;1;1;0;0
20230101:0211;2023;1;1;2;0;0
20230101:0311;2023;1;1;3;0;0
20230101:0411;2023;1;1;4;0;0
20230101:0511;2023;1;1;5;0;0
20230101:0611;2023;1;1;6;0;0
20230101:0711;2023;1;1;7;0;0
20230101:0811;2023;1;1;8;0;0
20230101:0911;2023;1;1;9;9,31;4,655
20230101:1011;2023;1;1;10;5,11;2,555
20230101:1111;2023;1;1;11;8,66;4,33
20230101:1211;2023;1;1;12;12,51;6,255
20230101:1311;2023;1;1;13;0;0
20230101:1411;2023;1;1;14;0;0
20230101:1511;2023;1;1;15;0;0
20230101:1611;2023;1;1;16;0;0
20230101:1711;2023;1;1;17;0;0
20230101:1811;2023;1;1;18;0;0
20230101:1911;2023;1;1;19;0;0
20230101:2011;2023;1;1;20;0;0
20230101:2111;2023;1;1;21;0;0
20230101:2211;2023;1;1;22;0;0
20230101:2311;2023;1;1;23;0;0
20230102:0011;2023;1;2;0;0;0
20230102:0111;2023;1;2;1;0;0
20230102:0211;2023;1;2;2;0;0
20230102:0311;2023;1;2;3;0;0
20230102:0411;2023;1;2;4;0;0
20230102:0511;2023;1;2;5;0;0
20230102:0611;2023;1;2;6;0;0
20230102:0711;2023;1;2;7;0;0
20230102:0811;2023;1;2;8;0;0
20230102:0911;2023;1;2;9;6,19;3,095
20230102:1011;2023;1;2;10;86,64;43,32
20230102:1111;2023;1;2;11;22,55;11,275
20230102:1211;2023;1;2;12;4,49;2,245
20230102:1311;2023;1;2;13;10,41;5,205
20230102:1411;2023;1;2;14;0;0
20230102:1511;2023;1;2;15;0;0
20230102:1611;2023;1;2;16;0;0
20230102:1711;2023;1;2;17;0;0
20230102:1811;2023;1;2;18;0;0
20230102:1911;2023;1;2;19;0;0
20230102:2011;2023;1;2;20;0;0
20230102:2111;2023;1;2;21;0;0
20230102:2211;2023;1;2;22;0;0
20230102:2311;2023;1;2;23;0;0
20230103:0011;2023;1;3;0;0;0
20230103:0111;2023;1;3;1;0;0
20230103:0211;2023;1;3;2;0;0
20230103:0311;2023;1;3;3;0;0
20230103:0411;2023;1;3;4;0;0
20230103:0511;2023;1;3;5;0;0
20230103:0611;2023;1;3;6;0;0
20230103:0711;2023;1;3;7;0;0
20230103:0811;2023;1;3;8;0;0
20230103:0911;2023;1;3;9;250,75;125,375
20230103:1011;2023;1;3;10;182,69;91,345
20230103:1111;2023;1;3;11;143,32;71,66
20230103:1211;2023;1;3;12;116,1;58,05
20230103:1311;2023;1;3;13;51,5;25,75
20230103:1411;2023;1;3;14;0;0
20230103:1511;2023;1;3;15;0;0
20230103:1611;2023;1;3;16;0;0
20230103:1711;2023;1;3;17;0;0
20230103:1811;2023;1;3;18;0;0
20230103:1911;2023;1;3;19;0;0
20230103:2011;2023;1;3;20;0;0
20230103:2111;2023;1;3;21;0;0
20230103:2211;2023;1;3;22;0;0
20230103:2311;2023;1;3;23;0;0
20230104:0011;2023;1;4;0;0;0
20230104:0111;2023;1;4;1;0;0
20230104:0211;2023;1;4;2;0;0
20230104:0311;2023;1;4;3;0;0
20230104:0411;2023;1;4;4;0;0
20230104:0511;2023;1;4;5;0;0
20230104:0611;2023;1;4;6;0;0
20230104:0711;2023;1;4;7;0;0
20230104:0811;2023;1;4;8;0;0
20230104:0911;2023;1;4;9;4,06;2,03
20230104:1011;2023;1;4;10;11,27;5,635
20230104:1111;2023;1;4;11;20,81;10,405
20230104:1211;2023;1;4;12;3,5;1,75
20230104:1311;2023;1;4;13;0,69;0,345
20230104:1411;2023;1;4;14;0;0
20230104:1511;2023;1;4;15;0;0
20230104:1611;2023;1;4;16;0;0
20230104:1711;2023;1;4;17;0;0
20230104:1811;2023;1;4;18;0;0
20230104:1911;2023;1;4;19;0;0
20230104:2011;2023;1;4;20;0;0
20230104:2111;2023;1;4;21;0;0
20230104:2211;2023;1;4;22;0;0
20230104:2311;2023;1;4;23;0;0
20230105:0011;2023;1;5;0;0;0
20230105:0111;2023;1;5;1;0;0
20230105:0211;2023;1;5;2;0;0
20230105:0311;2023;1;5;3;0;0
20230105:0411;2023;1;5;4;0;0
20230105:0511;2023;1;5;5;0;0
20230105:0611;2023;1;5;6;0;0
20230105:0711;2023;1;5;7;0;0
20230105:0811;2023;1;5;8;0;0
20230105:0911;2023;1;5;9;16,21;8,105
20230105:1011;2023;1;5;10;6,95;3,475
20230105:1111;2023;1;5;11;8,17;4,085
20230105:1211;2023;1;5;12;10,7;5,35
20230105:1311;2023;1;5;13;3,55;1,775
20230105:1411;2023;1;5;14;0;0
20230105:1511;2023;1;5;15;0;0
20230105:1611;2023;1;5;16;0;0
20230105:1711;2023;1;5;17;0;0
20230105:1811;2023;1;5;18;0;0
20230105:1911;2023;1;5;19;0;0
20230105:2011;2023;1;5;20;0;0
20230105:2111;2023;1;5;21;0;0
20230105:2211;2023;1;5;22;0;0
20230105:2311;2023;1;5;23;0;0
20230106:0011;2023;1;6;0;0;0
20230106:0111;2023;1;6;1;0;0
20230106:0211;2023;1;6;2;0;0
20230106:0311;2023;1;6;3;0;0
20230106:0411;2023;1;6;4;0;0
20230106:0511;2023;1;6;5;0;0
20230106:0611;2023;1;6;6;0;0
20230106:0711;2023;1;6;7;0;0
20230106:0811;2023;1;6;8;0;0
20230106:0911;2023;1;6;9;2,55;1,275
20230106:1011;2023;1;6;10;19,72;9,86
20230106:1111;2023;1;6;11;25,55;12,775
20230106:1211;2023;1;6;12;16,87;8,435
20230106:1311;2023;1;6;13;0,32;0,16
20230106:1411;2023;1;6;14;0;0
20230106:1511;2023;1;6;15;0;0
20230106:1611;2023;1;6;16;0;0
20230106:1711;2023;1;6;17;0;0
20230106:1811;2023;1;6;18;0;0
20230106:1911;2023;1;6;19;0;0
20230106:2011;2023;1;6;20;0;0
20230106:2111;2023;1;6;21;0;0
20230106:2211;2023;1;6;22;0;0
20230106:2311;2023;1;6;23;0;0
20230107:0011;2023;1;7;0;0;0
20230107:0111;2023;1;7;1;0;0
20230107:0211;2023;1;7;2;0;0
20230107:0311;2023;1;7;3;0;0
20230107:0411;2023;1;7;4;0;0
20230107:0511;2023;1;7;5;0;0
20230107:0611;2023;1;7;6;0;0
20230107:0711;2023;1;7;7;0;0
20230107:0811;2023;1;7;8;0;0
20230107:0911;2023;1;7;9;1,98;0,99
20230107:1011;2023;1;7;10;8,01;4,005
20230107:1111;2023;1;7;11;5,65;2,825
20230107:1211;2023;1;7;12;24,12;12,06
20230107:1311;2023;1;7;13;36,84;18,42
20230107:1411;2023;1;7;14;0;0
20230107:1511;2023;1;7;15;0;0
20230107:1611;2023;1;7;16;0;0
20230107:1711;2023;1;7;17;0;0
20230107:1811;2023;1;7;18;0;0
20230107:1911;2023;1;7;19;0;0
20230107:2011;2023;1;7;20;0;0
20230107:2111;2023;1;7;21;0;0
20230107:2211;2023;1;7;22;0;0
20230107:2311;2023;1;7;23;0;0
20230108:0011;2023;1;8;0;0;0
20230108:0111;2023;1;8;1;0;0
20230108:0211;2023;1;8;2;0;0
20230108:0311;2023;1;8;3;0;0
20230108:0411;2023;1;8;4;0;0
20230108:0511;2023;1;8;5;0;0
20230108:0611;2023;1;8;6;0;0
20230108:0711;2023;1;8;7;0;0
20230108:0811;2023;1;8;8;0;0
20230108:0911;2023;1;8;9;11,05;5,525
20230108:1011;2023;1;8;10;61,94;30,97
20230108:1111;2023;1;8;11;23,93;11,965
20230108:1211;2023;1;8;12;59,29;29,645
20230108:1311;2023;1;8;13;3,42;1,71
20230108:1411;2023;1;8;14;0;0
20230108:1511;2023;1;8;15;0;0
20230108:1611;2023;1;8;16;0;0
20230108:1711;2023;1;8;17;0;0
20230108:1811;2023;1;8;18;0;0
20230108:1911;2023;1;8;19;0;0
20230108:2011;2023;1;8;20;0;0
20230108:2111;2023;1;8;21;0;0
20230108:2211;2023;1;8;22;0;0
20230108:2311;2023;1;8;23;0;0
20230109:0011;2023;1;9;0;0;0
20230109:0111;2023;1;9;1;0;0
20230109:0211;2023;1;9;2;0;0
20230109:0311;2023;1;9;3;0;0
20230109:0411;2023;1;9;4;0;0
20230109:0511;2023;1;9;5;0;0
20230109:0611;2023;1;9;6;0;0
20230109:0711;2023;1;9;7;0;0
20230109:0811;2023;1;9;8;0;0
20230109:0911;2023;1;9;9;47,54;23,77
20230109:1011;2023;1;9;10;175,65;87,825
20230109:1111;2023;1;9;11;135,64;67,82
20230109:1211;2023;1;9;12;23,36;11,68
20230109:1311;2023;1;9;13;22,63;11,315
20230109:1411;2023;1;9;14;0;0
20230109:1511;2023;1;9;15;0;0
20230109:1611;2023;1;9;16;0;0
20230109:1711;2023;1;9;17;0;0
20230109:1811;2023;1;9;18;0;0
20230109:1911;2023;1;9;19;0;0
20230109:2011;2023;1;9;20;0;0
20230109:2111;2023;1;9;21;0;0
20230109:2211;2023;1;9;22;0;0
20230109:2311;2023;1;9;23;0;0
20230110:0011;2023;1;10;0;0;0
20230110:0111;2023;1;10;1;0;0
20230110:0211;2023;1;10;2;0;0
20230110:0311;2023;1;10;3;0;0
20230110:0411;2023;1;10;4;0;0
20230110:0511;2023;1;10;5;0;0
20230110:0611;2023;1;10;6;0;0
20230110:0711;2023;1;10;7;0;0
20230110:0811;2023;1;10;8;0;0
20230110:0911;2023;1;10;9;41,56;20,78
20230110:1011;2023;1;10;10;190,04;95,02
20230110:1111;2023;1;10;11;211,47;105,735
20230110:1211;2023;1;10;12;305,55;152,775
20230110:1311;2023;1;10;13;7,37;3,685
20230110:1411;2023;1;10;14;0;0
20230110:1511;2023;1;10;15;0;0
20230110:1611;2023;1;10;16;0;0
20230110:1711;2023;1;10;17;0;0
20230110:1811;2023;1;10;18;0;0
20230110:1911;2023;1;10;19;0;0
20230110:2011;2023;1;10;20;0;0
20230110:2111;2023;1;10;21;0;0
20230110:2211;2023;1;10;22;0;0
20230110:2311;2023;1;10;23;0;0
20230111:0011;2023;1;11;0;0;0
20230111:0111;2023;1;11;1;0;0
20230111:0211;2023;1;11;2;0;0
20230111:0311;2023;1;11;3;0;0
20230111:0411;2023;1;11;4;0;0
20230111:0511;2023;1;11;5;0;0
20230111:0611;2023;1;11;6;0;0
20230111:0711;2023;1;11;7;0;0
20230111:0811;2023;1;11;8;0;0
20230111:0911;2023;1;11;9;237,74;118,87
20230111:1011;2023;1;11;10;6,13;3,065
20230111:1111;2023;1;11;11;15,53;7,765
20230111:1211;2023;1;11;12;22,39;11,195
20230111:1311;2023;1;11;13;158,1;79,05
20230111:1411;2023;1;11;14;0;0
20230111:1511;2023;1;11;15;0;0
20230111:1611;2023;1;11;16;0;0
20230111:1711;2023;1;11;17;0;0
20230111:1811;2023;1;11;18;0;0
20230111:1911;2023;1;11;19;0;0
20230111:2011;2023;1;11;20;0;0
20230111:2111;2023;1;11;21;0;0
20230111:2211;2023;1;11;22;0;0
20230111:2311;2023;1;11;23;0;0
20230112:0011;2023;1;12;0;0;0
20230112:0111;2023;1;12;1;0;0
20230112:0211;2023;1;12;2;0;0
20230112:0311;2023;1;12;3;0;0
20230112:0411;2023;1;12;4;0;0
20230112:0511;2023;1;12;5;0;0
20230112:0611;2023;1;12;6;0;0
20230112:0711;2023;1;12;7;0;0
20230112:0811;2023;1;12;8;0;0
20230112:0911;2023;1;12;9;68,54;34,27
20230112:1011;2023;1;12;10;76,38;38,19
20230112:1111;2023;1;12;11;28,37;14,185
20230112:1211;2023;1;12;12;102,93;51,465
20230112:1311;2023;1;12;13;5,06;2,53
20230112:1411;2023;1;12;14;0;0
20230112:1511;2023;1;12;15;0;0
20230112:1611;2023;1;12;16;0;0
20230112:1711;2023;1;12;17;0;0
20230112:1811;2023;1;12;18;0;0
20230112:1911;2023;1;12;19;0;0
20230112:2011;2023;1;12;20;0;0
20230112:2111;2023;1;12;21;0;0
20230112:2211;2023;1;12;22;0;0
20230112:2311;2023;1;12;23;0;0
20230113:0011;2023;1;13;0;0;0
20230113:0111;2023;1;13;1;0;0
20230113:0211;2023;1;13;2;0;0
20230113:0311;2023;1;13;3;0;0
20230113:0411;2023;1;13;4;0;0
20230113:0511;2023;1;13;5;0;0
20230113:0611;2023;1;13;6;0;0
20230113:0711;2023;1;13;7;0;0
20230113:0811;2023;1;13;8;0;0
20230113:0911;2023;1;13;9;40,65;20,325
20230113:1011;2023;1;13;10;82,35;41,175
20230113:1111;2023;1;13;11;155,69;77,845
20230113:1211;2023;1;13;12;119,1;59,55
20230113:1311;2023;1;13;13;5,06;2,53
20230113:1411;2023;1;13;14;0;0
20230113:1511;2023;1;13;15;0;0
20230113:1611;2023;1;13;16;0;0
20230113:1711;2023;1;13;17;0;0
20230113:1811;2023;1;13;18;0;0
20230113:1911;2023;1;13;19;0;0
20230113:2011;2023;1;13;20;0;0
20230113:2111;2023;1;13;21;0;0
20230113:2211;2023;1;13;22;0;0
20230113:2311;2023;1;13;23;0;0
20230114:0011;2023;1;14;0;0;0
20230114:0111;2023;1;14;1;0;0
20230114:0211;2023;1;14;2;0;0
20230114:0311;2023;1;14;3;0;0
20230114:0411;2023;1;14;4;0;0
20230114:0511;2023;1;14;5;0;0
20230114:0611;2023;1;14;6;0;0
20230114:0711;2023;1;14;7;0;0
20230114:0811;2023;1;14;8;0;0
20230114:0911;2023;1;14;9;8,6;4,3
20230114:1011;2023;1;14;10;19,13;9,565
20230114:1111;2023;1;14;11;52,58;26,29
20230114:1211;2023;1;14;12;172,04;86,02
20230114:1311;2023;1;14;13;74,33;37,165
