from_HexID,to_HexID,distance
0,1,1055.0941557360734
1,0,1055.094155736073
2,7,1066.2623856561281
2,8,1301.165755001978
3,12,1142.697432108116
3,13,1361.552234825511
4,14,1219.689616481938
5,25,1289.30087670658
5,39,1042.3305566727754
7,2,1066.2623856561281
7,8,1176.5408859078925
7,17,1060.4946350286355
8,2,1301.1657550019786
8,7,1176.5408859078927
9,19,1251.2570689918591
10,11,1379.2949478088844
10,19,1158.7657989582117
10,20,1316.335039760504
11,10,1379.2949478088842
11,20,1103.6486429159083
11,21,1282.2347446722372
12,3,1142.6974321081163
12,13,1157.954771944121
12,21,909.7649404781537
12,22,1177.526752583459
13,3,1361.5522348255115
13,12,1157.9547719441205
13,22,1169.6250549196857
14,4,1219.6896164819389
15,24,0.0
15,38,0.0
15,39,1028.3619160897238
17,7,1060.4946350286357
17,28,1213.2976386901385
17,29,1094.4418659307494
18,30,1300.6698451344632
18,31,1453.0355366967492
19,9,1251.2570689918596
19,10,1158.765798958212
19,20,1100.3545811320682
19,31,1359.1131423700908
20,10,1316.3350397605034
20,11,1103.6486429159086
20,19,1100.3545811320685
20,21,1473.1108584094152
20,32,1031.7258911295673
21,11,1282.234744672237
21,12,909.7649404781536
21,20,1473.1108584094154
21,22,1181.111552131058
22,12,1177.5267525834588
22,13,1169.625054919686
22,21,1181.1115521310585
23,36,428.3991425801334
23,37,0.0
23,66,419.44994212708315
23,82,414.35951459788674
23,105,682.2140941602446
23,106,682.2140941602446
23,107,737.8184837099552
23,131,1129.0990568738341
24,15,0.0
24,38,0.0
24,39,1028.3619160897238
25,5,1289.30087670658
25,39,1154.0074355432475
26,40,1134.4536407707749
27,28,1034.933253056872
27,42,1407.1006210470773
28,17,1213.297638690139
28,27,1034.9332530568724
28,29,1347.8282518756525
28,42,1040.9670590981855
28,43,1074.8822937512157
29,17,1094.441865930749
29,28,1347.828251875653
29,43,1068.2936253174494
30,18,1300.669845134463
30,31,1259.8529766719325
31,18,1453.0355366967494
31,19,1359.113142370091
31,30,1259.8529766719328
31,47,1338.5461278634705
32,20,1031.7258911295673
33,34,1219.7160976193913
34,33,1219.7160976193911
35,50,1446.1413084710468
36,23,428.3991425801334
36,37,428.3991425801334
36,66,8.94920045305026
36,82,14.039627982246659
36,105,452.913247531814
36,106,452.913247531814
36,107,508.5176370815246
36,131,899.7982102454035
37,23,0.0
37,36,428.3991425801334
37,66,419.44994212708315
37,82,414.35951459788674
37,105,682.2140941602446
37,106,682.2140941602446
37,107,737.8184837099552
37,131,1129.0990568738341
38,15,0.0
38,24,0.0
38,39,1028.3619160897238
39,5,1042.3305566727756
39,15,1028.3619160897224
39,24,1028.3619160897224
39,25,1154.0074355432478
39,38,1028.3619160897224
39,53,1399.2895382007846
40,26,1134.4536407707749
40,53,1120.998865643685
40,54,1073.6828898504536
41,42,1448.668137756775
41,55,815.221456047555
42,27,1407.100621047078
42,28,1040.967059098186
42,41,1448.6681377567747
42,55,1003.4038399787577
43,28,1074.882293751216
43,29,1068.2936253174494
44,57,1100.686427559228
45,46,1051.9021146290925
45,59,1243.7101465943776
45,60,1009.0299193081194
46,45,1051.902114629092
46,60,961.6315602580272
47,31,1338.5461278634705
47,61,898.4323780149864
49,62,1192.0590778087908
50,35,1446.1413084710464
51,65,1051.8414390203295
52,53,1039.2881272419916
53,39,1399.2895382007846
53,40,1120.998865643685
53,52,1039.2881272419918
53,54,1040.6090185253902
53,67,1245.712783384034
53,68,1179.0408046955588
54,40,1073.6828898504534
54,53,1040.6090185253904
54,68,1202.2275718341125
55,41,815.2214560475551
55,42,1003.4038399787579
55,56,1301.5883630041221
55,69,1049.6783714817464
55,70,1144.1488528974096
56,55,1301.5883630041221
56,57,1453.6569555865021
56,70,1242.9434234865716
56,71,1165.1371200639073
57,44,1100.686427559228
57,56,1453.656955586503
57,58,1118.6388317916621
57,71,1296.1809274354664
58,57,1118.6388317916624
58,72,1201.9759329733258
59,45,1243.7101465943772
59,60,1499.1157802792675
60,45,1009.029919308119
60,46,961.6315602580271
60,59,1499.1157802792682
60,75,1183.9858743582688
61,47,898.4323780149867
62,49,1192.059077808791
62,79,1034.9239693501454
64,65,1349.0142744534176
64,81,1012.0274449329655
65,51,1051.8414390203293
65,64,1349.0142744534178
65,81,984.4494263646261
66,23,419.44994212708315
66,36,8.94920045305026
66,37,419.44994212708315
66,82,5.090427529196399
66,105,443.96404707876377
66,106,443.96404707876377
66,107,499.56843662847433
66,131,890.8490097923533
67,53,1245.7127833840336
67,68,1035.5467844218665
67,84,1391.3421097036796
67,85,1330.3464663258494
68,53,1179.040804695559
68,54,1202.2275718341127
68,67,1035.546784421866
68,85,1109.2595665814767
68,86,1462.4720859643433
69,55,1049.6783714817461
69,70,1031.568146760975
69,87,1212.5235382544827
70,55,1144.14885289741
70,56,1242.9434234865716
70,69,1031.5681467609752
70,71,1202.9957136719408
70,87,1144.2373153940098
70,88,1156.1115734763307
71,56,1165.1371200639073
71,57,1296.180927435466
71,70,1202.995713671941
71,88,1281.6472473178849
72,58,1201.9759329733254
72,90,1266.8769249375378
73,74,1338.341218541606
74,73,1338.3412185416064
74,75,1126.614903534743
75,60,1183.985874358269
75,74,1126.6149035347428
75,94,1379.0939256436566
77,95,1068.8798086365553
78,98,1298.948692395637
79,62,1034.9239693501456
79,100,1031.652492444433
79,101,1355.6409461423034
80,81,1455.5609656782763
80,103,876.027540169987
81,64,1012.0274449329658
81,65,984.4494263646264
81,80,1455.5609656782765
81,103,1427.000521720814
82,23,414.35951459788674
82,36,14.039627982246659
82,37,414.35951459788674
82,66,5.090427529196399
82,105,438.8736195495674
82,106,438.8736195495674
82,107,494.478009099278
82,131,885.758582263157
83,84,1173.702813268576
83,108,1162.3101439885202
84,67,1391.3421097036792
84,83,1173.7028132685757
84,85,1203.3295169501096
84,108,1033.3354583023856
84,109,1085.64895314258
85,67,1330.3464663258494
85,68,1109.2595665814763
85,84,1203.3295169501102
85,86,1459.9922852988864
85,109,1182.482561849501
85,110,1405.404754405918
86,68,1462.472085964343
86,85,1459.9922852988866
86,110,1342.2749198659963
87,69,1212.523538254482
87,70,1144.2373153940096
88,70,1156.111573476331
88,71,1281.647247317885
88,89,1482.454960221422
89,88,1482.4549602214222
90,72,1266.876924937537
90,91,1204.0789750829022
91,90,1204.0789750829028
92,93,1262.1261320519236
92,116,1337.443063654427
92,117,928.8324594150521
93,92,1262.1261320519238
93,94,1473.8240653335022
93,118,1058.7245589270499
94,75,1379.0939256436566
94,93,1473.8240653335024
94,95,1424.5966932878885
94,118,1325.771619147872
95,77,1068.8798086365555
95,94,1424.5966932878878
95,119,1116.2038177031593
95,120,1279.2033351293835
96,120,1282.605165567936
96,121,1285.7066957074926
97,123,1392.6317957027752
98,78,1298.9486923956363
100,79,1031.6524924444325
100,101,1053.417094023342
101,79,1355.6409461423034
101,100,1053.4170940233423
101,126,1229.6622087136304
101,127,1467.4930703939112
103,80,876.0275401699869
103,81,1427.0005217208138
103,128,1235.717631039648
105,23,682.2140941602446
105,36,452.9132475318142
105,37,682.2140941602446
105,66,443.96404707876394
105,82,438.87361954956754
105,106,0.0
105,107,411.5802805664907
105,131,688.6379488846509
106,23,682.2140941602446
106,36,452.9132475318142
106,37,682.2140941602446
106,66,443.96404707876394
106,82,438.87361954956754
106,105,0.0
106,107,411.5802805664907
106,131,688.6379488846509
107,23,737.8184837099551
107,36,508.5176370815247
107,37,737.8184837099551
107,66,499.56843662847444
107,82,494.47800909927804
107,105,411.5802805664907
107,106,411.5802805664907
107,131,775.2755728150753
108,83,1162.3101439885202
108,84,1033.3354583023859
108,109,934.1977524436695
108,133,1084.4451545235963
109,84,1085.64895314258
109,85,1182.4825618495006
109,108,934.1977524436697
109,110,1262.3942076001035
109,133,1212.8936009757392
109,134,1134.5644914605105
110,85,1405.4047544059176
110,86,1342.274919865997
110,109,1262.394207600104
110,134,1188.7354538828858
110,135,1273.613671729381
111,112,1179.688123384594
111,135,976.6189765401189
111,136,1382.7993216760688
112,111,1179.688123384594
112,113,1262.6005583648675
112,136,1237.900964737984
112,137,955.5208305395441
113,112,1262.6005583648675
113,114,980.670379322523
113,138,1403.3215116195347
114,113,980.6703793225229
114,115,920.928418462402
114,138,1082.9277192707593
114,139,1232.232561762418
115,114,920.9284184624016
115,116,979.6337155455542
115,139,1103.862055842685
115,140,1179.6479834618285
116,92,1337.4430636544264
116,115,979.6337155455537
116,117,1029.5358388208476
116,140,1148.506845872244
116,141,972.0116380838215
117,92,928.8324594150521
117,116,1029.5358388208474
117,118,1184.8241756146274
117,142,1284.5078068683501
118,93,1058.7245589270497
118,94,1325.771619147872
118,117,1184.8241756146272
118,142,1236.652314346576
119,95,1116.2038177031595
120,95,1279.2033351293833
120,96,1282.6051655679364
120,121,1223.2644178830758
121,96,1285.706695707494
121,120,1223.264417883077
121,122,1104.3432766177918
121,145,1412.9998404638293
122,121,1104.3432766177916
123,97,1392.6317957027757
126,101,1229.6622087136302
126,127,991.7070744719902
126,150,1333.0337556005675
127,101,1467.4930703939117
127,126,991.7070744719897
127,150,1004.9584536664809
128,103,1235.717631039648
131,23,1129.0990568738341
131,36,899.7982102454035
131,37,1129.0990568738341
131,66,890.8490097923533
131,82,885.7585822631569
131,105,688.6379488846509
131,106,688.6379488846509
131,107,775.2755728150753
131,151,1125.243348208277
132,133,1314.131383502509
132,152,1054.7723876455566
133,108,1084.4451545235959
133,109,1212.8936009757397
133,132,1314.1313835025087
133,134,1100.9105057578
133,152,1253.4554574422252
134,109,1134.5644914605111
134,110,1188.7354538828863
134,133,1100.9105057577997
134,135,1257.448269984501
134,153,1340.3300707994933
134,154,1202.98502059301
135,110,1273.6136717293805
135,111,976.6189765401185
135,134,1257.448269984501
135,136,1276.6291347349115
135,154,1445.1836472748107
135,155,1080.6535728502138
136,111,1382.7993216760688
136,112,1237.9009647379849
136,135,1276.6291347349115
136,137,1164.459042863804
136,155,1239.0273690812135
136,156,1210.2581218395567
137,112,955.5208305395439
137,136,1164.459042863804
137,156,1295.9641163921174
137,157,1424.1099178162897
138,113,1403.3215116195336
138,114,1082.9277192707596
139,114,1232.2325617624188
139,115,1103.8620558426855
140,115,1179.6479834618283
140,116,1148.5068458722437
140,141,981.641207550496
140,158,1083.5101683497448
141,116,972.0116380838213
141,140,981.6412075504961
141,158,1197.7178027682842
142,117,1284.5078068683501
142,118,1236.6523143465763
142,160,1298.8084560846683
143,144,1423.7964409613987
143,160,1080.7862627247723
143,161,1223.3665538218863
144,143,1423.7964409613994
144,161,1165.7858067565653
145,121,1412.9998404638293
146,147,930.4545194596535
147,146,930.4545194596534
147,148,980.7149834794905
147,163,1242.451450651012
147,164,1410.5673651870118
148,147,980.7149834794902
148,149,1361.1167989554413
148,164,1433.095360110397
148,165,1284.443638754576
149,148,1361.116798955441
149,165,1027.3834134381684
149,166,886.6764798924753
150,126,1333.033755600567
150,127,1004.9584536664808
150,167,953.9509260726468
151,131,1125.243348208277
151,152,1139.598493643979
152,132,1054.7723876455566
152,133,1253.4554574422243
152,151,1139.59849364398
152,153,1221.6849277155966
152,171,1147.4033071453969
153,134,1340.330070799493
153,152,1221.6849277155961
153,154,1256.5217247077917
153,171,1016.2019680045405
154,134,1202.9850205930097
154,135,1445.1836472748105
154,153,1256.5217247077915
154,172,1255.2190640016806
154,173,1131.9972939166248
155,135,1080.6535728502138
155,136,1239.0273690812141
155,156,1249.1731141701239
155,173,1022.6748012569759
155,174,1087.400718234374
156,136,1210.258121839557
156,137,1295.9641163921171
156,155,1249.1731141701243
156,157,1220.998637529279
156,174,1103.3398080777445
156,175,1099.438281144706
157,137,1424.1099178162897
157,156,1220.9986375292785
157,175,1283.221158779226
158,140,1083.5101683497455
158,141,1197.7178027682844
158,176,1084.2404328231178
159,177,997.2556976472126
159,178,1288.414329826177
160,142,1298.8084560846678
160,143,1080.7862627247725
160,161,887.9412911224313
160,179,1461.9104836510462
161,143,1223.3665538218863
161,144,1165.7858067565653
161,160,887.9412911224309
161,179,1047.53141064781
162,181,1071.4479417780794
163,147,1242.4514506510116
163,164,957.4421766653965
163,183,1234.829305507507
164,147,1410.567365187012
164,148,1433.0953601103963
164,163,957.4421766653963
164,165,1053.6338046090034
164,183,1122.661463366062
165,148,1284.4436387545759
165,149,1027.3834134381682
165,164,1053.6338046090036
166,149,886.6764798924755
167,150,953.9509260726466
167,168,1002.2498115758215
168,167,1002.2498115758214
169,170,902.6364866011319
169,187,1334.3258918547015
170,169,902.6364866011315
170,187,1116.715308814483
170,188,1271.6586763614628
171,152,1147.4033071453973
171,153,1016.2019680045412
172,154,1255.2190640016809
173,154,1131.997293916624
173,155,1022.6748012569759
173,174,1091.0164816388099
173,190,1284.471977334647
173,191,1217.2319230179914
174,155,1087.400718234374
174,156,1103.3398080777447
174,173,1091.0164816388096
174,175,1269.7379688576232
174,191,1169.6460912800446
174,192,1301.222237565433
175,156,1099.4382811447063
175,157,1283.221158779226
175,174,1269.737968857623
175,192,1205.2780239576875
175,193,1457.5861808699717
176,158,1084.2404328231178
176,177,1275.5305110421764
176,195,1380.9458258709535
176,196,1308.8971373701302
177,159,997.2556976472129
177,176,1275.5305110421752
177,178,1143.0177338339377
178,159,1288.4143298261777
178,177,1143.017733833937
178,197,1457.585888349933
179,160,1461.9104836510458
179,161,1047.5314106478102
179,198,946.3171813984189
179,199,1431.6278210759185
180,199,1153.3878558956587
181,162,1071.4479417780794
182,183,1088.0041549949267
183,163,1234.8293055075064
183,164,1122.6614633660622
183,182,1088.004154994927
185,186,860.6242014434908
186,185,860.6242014434908
187,169,1334.3258918547026
187,170,1116.7153088144835
187,188,1213.0673046654772
187,204,869.0418767821834
188,170,1271.6586763614634
188,187,1213.0673046654772
188,204,849.9153485269197
188,205,980.4738237750572
189,206,1395.7737932631974
190,173,1284.4719773346474
190,191,1076.7730311134671
190,206,1347.963764849947
190,207,1303.1273740293639
191,173,1217.231923017992
191,174,1169.646091280044
191,190,1076.773031113467
192,174,1301.222237565432
192,175,1205.278023957688
192,193,1166.5194553438803
193,175,1457.5861808699722
193,192,1166.5194553438798
193,209,1363.27598517669
193,210,1243.696078019396
194,195,1391.0190935531855
194,210,1409.6156476762094
195,176,1380.945825870953
195,194,1391.0190935531864
195,196,1272.3861254023464
195,212,1223.747160387175
196,176,1308.8971373701295
196,195,1272.3861254023457
196,197,1390.7910602401207
196,212,928.0200088304022
197,178,1457.5858883499325
197,196,1390.7910602401219
198,179,946.3171813984188
198,214,1239.3136967872654
198,215,1482.388781154036
199,179,1431.627821075919
199,180,1153.387855895659
199,215,1079.7201559954294
199,216,1233.3709665224656
200,217,1058.351924991925
202,203,1260.1829398232428
202,220,1163.1336901032907
203,202,1260.182939823243
203,220,1470.5338629955163
204,187,869.0418767821832
204,188,849.91534852692
204,205,1259.4254064923252
205,188,980.4738237750571
205,204,1259.4254064923255
206,189,1395.7737932631967
206,190,1347.9637648499463
206,207,1292.5171297998506
206,223,996.7827687423024
207,190,1303.127374029363
207,206,1292.5171297998497
209,193,1363.27598517669
209,210,1448.075113829036
209,226,1189.1881003243916
210,193,1243.696078019396
210,194,1409.6156476762096
210,209,1448.075113829036
210,226,1260.2340260105784
210,227,1027.8193723884904
211,227,1085.341371884918
211,228,1076.55689416012
212,195,1223.7471603871752
212,196,928.0200088304023
212,228,1427.133244596342
212,229,1219.008995977459
214,198,1239.3136967872656
214,231,1438.505835742498
215,198,1482.3887811540365
215,199,1079.7201559954294
215,231,950.185745548813
216,199,1233.3709665224662
217,200,1058.3519249919252
217,218,1310.725894597871
218,217,1310.725894597871
219,233,1123.5505896181992
220,202,1163.1336901032907
220,203,1470.5338629955158
221,235,1169.1744518077994
222,239,867.0180144203847
222,240,863.1963687652819
223,206,996.7827687423027
224,244,989.7719420864045
226,209,1189.188100324392
226,210,1260.2340260105789
226,227,1259.0200107271232
226,245,1230.1100989169959
226,246,1314.8270531437827
227,210,1027.81937238849
227,211,1085.3413718849179
227,226,1259.020010727123
227,228,1355.0325163727998
227,246,1374.561658766998
227,247,1177.388386823535
228,211,1076.5568941601207
228,212,1427.1332445963426
228,227,1355.0325163728
228,229,1492.8510733175376
228,248,1355.4416151829023
229,212,1219.0089959774589
229,228,1492.8510733175365
229,248,1269.4750663232417
231,214,1438.5058357424984
231,215,950.185745548813
231,250,1005.1123670331918
231,251,1232.0229832950906
232,233,1244.4850328484458
233,219,1123.550589618199
233,232,1244.4850328484458
234,253,1126.0392566264068
235,221,1169.1744518077994
235,255,1323.9824100840933
236,237,1039.5881970108396
237,236,1039.5881970108392
238,260,1265.25958101429
239,222,867.0180144203848
239,240,948.7446132290871
239,262,1068.3881341917547
240,222,863.1963687652818
240,239,948.7446132290871
241,242,1101.2065062794527
242,241,1101.206506279453
243,267,1165.481850594678
244,224,989.7719420864041
245,226,1230.1100989169956
245,246,1485.8448505619117
246,226,1314.8270531437825
246,227,1374.561658766998
246,245,1485.8448505619124
246,247,1266.6314557272665
247,227,1177.3883868235346
247,246,1266.6314557272667
247,248,1375.976366223021
248,228,1355.4416151829012
248,229,1269.4750663232412
248,247,1375.9763662230205
248,249,1368.1490072847298
248,271,1225.1482309852931
248,272,1325.9101856959128
249,248,1368.14900728473
249,272,1100.9196174013093
250,231,1005.1123670331913
250,251,1150.5555439927932
251,231,1232.0229832950906
251,250,1150.5555439927928
251,252,1126.7641932163747
252,251,1126.7641932163751
252,276,1185.2852939901736
253,234,1126.0392566264063
253,277,1174.8053943371333
255,235,1323.9824100840933
256,257,876.9234034666802
257,256,876.9234034666803
258,259,1148.9729555226838
258,280,1160.3730226050848
259,258,1148.9729555226838
259,280,1181.702264809223
259,281,1467.9655112601079
260,238,1265.259581014291
260,282,1260.7332366697967
262,239,1068.3881341917545
263,264,1390.1757079405431
264,263,1390.1757079405431
265,286,1248.8912275759349
266,286,1387.2405264708998
266,287,1323.070247631379
267,243,1165.4818505946782
267,288,1071.8024898517433
268,269,1482.0478127986335
268,288,1213.6051596152672
268,289,1285.8812152049875
269,268,1482.0478127986341
269,289,1379.6799591867061
269,290,1120.4306393572756
270,271,1325.0175976919204
270,291,953.8220128518709
271,248,1225.1482309852931
271,270,1325.0175976919202
271,272,1090.6285720772346
271,291,999.6197276559885
272,248,1325.9101856959135
272,249,1100.91961740131
272,271,1090.6285720772344
274,275,1112.4041975283462
274,295,1471.7362852379483
275,274,1112.4041975283458
275,295,1473.0225365926142
276,252,1185.285293990174
276,296,1309.4705844182313
276,297,1182.3126621393612
277,253,1174.805394337134
277,302,1448.1044518422
278,279,1457.3360852959047
279,278,1457.3360852959045
279,280,1254.5346320568142
279,304,1444.6308158740562
280,258,1160.373022605084
280,259,1181.7022648092227
280,279,1254.5346320568142
280,305,1133.915819442883
280,306,1132.194651027634
281,259,1467.9655112601085
282,260,1260.733236669797
283,309,1338.1686389293193
286,265,1248.8912275759342
286,266,1387.2405264708996
286,287,1464.4779380114608
286,312,1181.0136715663396
287,266,1323.0702476313788
287,286,1464.477938011461
287,312,1241.109187760772
288,267,1071.8024898517433
288,268,1213.605159615267
288,289,1053.8296439260812
288,313,1273.3619103816623
289,268,1285.8812152049875
289,269,1379.6799591867052
289,288,1053.8296439260805
289,290,1338.3960278288318
290,269,1120.4306393572758
290,289,1338.3960278288314
290,315,1396.5216759938596
290,316,1162.1701530194332
291,270,953.822012851871
291,271,999.6197276559885
291,292,1385.7989515076326
292,291,1385.7989515076322
292,318,1342.4389606729499
293,294,1470.4546837323135
293,319,1343.216301660103
294,293,1470.454683732313
294,295,1248.4180448793343
295,274,1471.7362852379483
295,275,1473.0225365926144
295,294,1248.4180448793347
296,276,1309.4705844182313
296,297,1169.4576813494202
297,276,1182.3126621393615
297,296,1169.4576813494211
297,298,1133.7689847966155
297,323,1088.7737224762843
298,297,1133.7689847966146
298,323,1266.5044990567003
299,324,1007.0965633691951
299,325,1206.735602544523
300,325,1293.865447614555
300,326,1072.8787150755206
301,327,1268.0106780129663
301,328,1241.3613707406073
302,277,1448.1044518421998
302,328,1203.5256445058671
303,304,1192.5503641598518
303,329,1224.115894863561
304,279,1444.6308158740565
304,303,1192.550364159852
304,305,1326.0197561870586
304,329,1209.5372645342086
305,280,1133.9158194428828
305,304,1326.0197561870582
305,306,1127.7893750837936
305,330,1010.2560990867042
305,331,1022.7752506870434
306,280,1132.194651027634
306,305,1127.7893750837936
306,331,1466.7431802704587
309,283,1338.168638929319
310,311,1325.143635006173
311,310,1325.143635006173
311,335,1322.8937310992565
312,286,1181.0136715663398
312,287,1241.1091877607723
312,337,1430.7250288438772
313,288,1273.361910381663
313,314,1117.7182606819324
313,337,1080.313116097536
313,338,1427.1196460456379
314,313,1117.7182606819324
314,315,1483.767196744628
314,338,1011.7466563416441
315,290,1396.5216759938603
315,314,1483.7671967446272
315,316,1294.515678715616
315,340,1441.7937039283506
316,290,1162.170153019433
316,315,1294.5156787156159
316,340,1205.3704743105286
316,341,1219.8991214082037
318,292,1342.4389606729503
319,293,1343.2163016601023
320,321,1017.0007432379508
320,345,1429.6385177031689
321,320,1017.0007432379507
321,322,1309.882258704264
321,346,1187.0498518998654
322,321,1309.8822587042646
323,297,1088.7737224762836
323,298,1266.5044990567008
324,299,1007.0965633691952
324,325,1080.786762057752
324,348,1285.6055053497712
324,349,1195.3552229775294
325,299,1206.735602544523
325,300,1293.8654476145553
325,324,1080.786762057752
325,349,1273.4620345531644
325,350,1146.3578771029745
326,300,1072.8787150755209
326,350,1472.679599933314
326,351,1377.2002679681482
327,301,1268.0106780129659
328,301,1241.3613707406066
328,302,1203.5256445058671
329,303,1224.1158948635607
329,304,1209.537264534208
329,330,1208.6195798972856
330,305,1010.2560990867045
330,329,1208.6195798972858
330,331,1034.1124213731468
330,354,1194.5196986515252
330,355,1446.5232210923803
331,305,1022.7752506870432
331,306,1466.7431802704582
