location_key,HexID
321855.843|6395459.395,160
324481.806|6401260.872,323
318225.994|6399292.052,246
325564.079|6406074.823,470
317287.387|6400280.97,289
320306.775|6400028.732,272
327756.217|6403439.268,402
316060.047|6396218.713,174
316616.843|6398594.777,225
320472.85|6397799.482,213
317490.903|6398776.622,226
316971.231|6394463.597,137
319536.225|6404036.136,419
324114.25|6411712.376,586
316367.314|6395720.398,174
320853.304|6399715.852,273
325208.21|6403536.816,399
317071.225|6398317.373,225
328237.37|6394044.648,125
317776.34|6393942.517,113
319003.149|6400265.239,291
315681.925|6394704.246,135
314816.285|6401746.389,312
319365.01|6399863.102,271
326609.177|6395445.918,164
323367.269|6405508.96,468
308751.152|6403099.984,357
330417.284|6405821.25,473
322858.94|6401015.279,321
322874.287|6392392.999,76
317749.037|6402921.268,365
323685.122|6393767.368,120
323007.255|6400586.711,296
317433.521|6395792.716,175
316982.405|6404771.351,441
328723.708|6403252.597,378
314761.437|6393985.585,110
322683.49|6405301.268,447
328039.603|6394833.514,149
316707.333|6404683.774,416
324368.481|6406156.559,469
316743.804|6399103.083,245
317024.384|6399844.307,268
321830.892|6393880.742,118
321249.151|6404399.847,421
311959.759|6395623.451,151
318097.799|6402261.898,340
315193.945|6394972.579,135
325900.215|6400851.216,299
328729.432|6401953.778,352
319738.073|6399436.432,248
316894.498|6395616.101,156
315555.009|6400076.231,267
329476.104|6399072.233,253
310430.757|6402110.867,334
322832.329|6407140.945,499
317989.129|6398849.078,246
318852.891|6394514.752,139
323314.054|6401972.489,346
319463.531|6400237.916,292
317107.395|6402608.874,365
319789.772|6398663.564,248
325170.094|6404885.257,450
320462.396|6398728.226,249
313830.152|6395484.391,153
319317.138|6405254.458,444
328655.49|6402748.833,378
320820.485|6398909.106,249
319587.527|6398360.055,228
309231.85|6403306.363,382
317778.787|6400058.323,269
321081.065|6404624.452,421
320727.633|6405340.118,445
324500.977|6405829.903,469
320197.016|6405049.836,445
320960.767|6398034.949,230
312023.372|6405904.092,456
321150.51|6393776.583,117
321548.801|6407103.435,498
