TimeIndex,chargerAccessType,Hour,chargingTime_min,chargingCost_SEK,energy_kWh,Scenario,Season
1,home,0.0,78454.75,9961.367539515199,7969.094031612159,noVIPV,SPRING
1,work,0.0,25.291666666666668,13.647665652691444,3.411916413172861,noVIPV,SPRING
1,public,0.0,8389.583333333334,9786.112217115176,1779.2931303845776,noVIPV,SPRING
2,home,0.5,125182.0,15563.073767992058,12450.459014393646,noVIPV,SPRING
2,work,0.5,106.54166666666667,45.83772836419056,11.45943209104764,noVIPV,SPRING
2,public,0.5,18678.666666666668,21251.846648387673,3863.9721178886675,noVIPV,SPRING
3,home,1.0,138970.875,17293.09540963366,13834.476327706929,noVIPV,SPRING
3,work,1.0,150.0,53.2322693071186,13.30806732677965,noVIPV,SPRING
3,public,1.0,21532.666666666668,25338.660477238882,4607.029177679797,noVIPV,SPRING
4,home,1.5,134866.08333333334,17001.3527169287,13601.082173542962,noVIPV,SPRING
4,work,1.5,86.0,42.34251390123416,10.58562847530854,noVIPV,SPRING
4,public,1.5,18005.5,22299.35417255235,4054.4280313731547,noVIPV,SPRING
5,home,2.0,121994.83333333333,15604.667412604216,12483.733930083374,noVIPV,SPRING
5,work,2.0,64.75,34.93982277476525,8.734955693691312,noVIPV,SPRING
5,public,2.0,11812.416666666666,15108.877715700928,2747.068675581987,noVIPV,SPRING
6,home,2.5,107886.08333333333,13958.481785068905,11166.785428055124,noVIPV,SPRING
6,work,2.5,0.0,0.0,0.0,noVIPV,SPRING
6,public,2.5,5883.166666666667,7751.9982356625815,1409.454224665924,noVIPV,SPRING
7,home,3.0,90640.70833333333,11850.22432708566,9480.179461668527,noVIPV,SPRING
7,work,3.0,0.0,0.0,0.0,noVIPV,SPRING
7,public,3.0,1758.125,2340.1409719690982,425.48017672165423,noVIPV,SPRING
8,home,3.5,73560.25,9708.625547963089,7766.9004383704705,noVIPV,SPRING
8,work,3.5,0.0,0.0,0.0,noVIPV,SPRING
8,public,3.5,388.1666666666667,483.70891120846534,87.94707476517553,noVIPV,SPRING
9,home,4.0,54165.375,7216.029909591204,5772.823927672963,noVIPV,SPRING
9,work,4.0,100.79166666666667,35.43225623049328,8.85806405762332,noVIPV,SPRING
9,public,4.0,151.79166666666669,175.21787801116045,31.857796002029175,noVIPV,SPRING
10,home,4.5,38379.791666666664,5152.37233790824,4121.897870326592,noVIPV,SPRING
10,work,4.5,774.25,305.3947816835151,76.34869542087877,noVIPV,SPRING
10,public,4.5,467.5833333333333,525.8730102935734,95.61327459883154,noVIPV,SPRING
11,home,5.0,20266.375,2736.9210761430813,2189.5368609144653,noVIPV,SPRING
11,work,5.0,2452.375,1095.2346048777931,273.8086512194483,noVIPV,SPRING
11,public,5.0,954.625,886.8700948307604,161.24910815104735,noVIPV,SPRING
12,home,5.5,3463.25,464.1182618233266,371.2946094586613,noVIPV,SPRING
12,work,5.5,5740.666666666667,2596.5350461342205,649.1337615335551,noVIPV,SPRING
12,public,5.5,2380.4166666666665,2227.3151879566385,404.96639781029796,noVIPV,SPRING
13,home,6.0,745.6666666666666,186.67077836893603,74.66831134757442,noVIPV,SPRING
13,work,6.0,10922.375,5065.453304172262,1266.3633260430654,noVIPV,SPRING
13,public,6.0,5158.708333333333,4891.9631483183975,889.4478451487995,noVIPV,SPRING
14,home,6.5,864.625,219.24524375807775,87.6980975032311,noVIPV,SPRING
14,work,6.5,20120.166666666668,9304.613295475001,2326.1533238687502,noVIPV,SPRING
14,public,6.5,9793.5,9141.76577657361,1662.1392321042927,noVIPV,SPRING
15,home,7.0,1141.3333333333333,403.53754313574854,107.61001150286627,noVIPV,SPRING
15,work,7.0,31298.5,14525.774295033274,3631.4435737583185,noVIPV,SPRING
15,public,7.0,16685.875,15233.97920811487,2769.8144014754307,noVIPV,SPRING
16,home,7.5,1550.75,562.4207130988592,149.97885682636246,noVIPV,SPRING
16,work,7.5,52558.75,24597.464577282284,6149.366144320571,noVIPV,SPRING
16,public,7.5,26231.208333333332,23650.6325875751,4300.115015922745,noVIPV,SPRING
17,home,8.0,1828.4583333333333,759.7097408528595,189.92743521321486,noVIPV,SPRING
17,work,8.0,64271.958333333336,31038.144369310095,7759.536092327524,noVIPV,SPRING
17,public,8.0,32343.208333333332,30851.4568074301,5609.355783169109,noVIPV,SPRING
18,home,8.5,2526.4583333333335,998.966601584902,249.7416503962255,noVIPV,SPRING
18,work,8.5,59603.0,30122.662705354727,7530.665676338682,noVIPV,SPRING
18,public,8.5,32691.708333333332,33619.735142042635,6112.679116735025,noVIPV,SPRING
19,home,9.0,4991.75,1976.7519846263315,494.18799615658287,noVIPV,SPRING
19,work,9.0,48867.375,26084.633356702227,6521.158339175557,noVIPV,SPRING
19,public,9.0,29300.833333333332,31104.09790412144,5655.29052802208,noVIPV,SPRING
20,home,9.5,8797.666666666666,3540.384659624261,885.0961649060653,noVIPV,SPRING
20,work,9.5,35931.0,19906.785851236495,4976.696462809124,noVIPV,SPRING
20,public,9.5,25576.333333333332,27046.50694021324,4917.546716402407,noVIPV,SPRING
21,home,10.0,14117.541666666666,3619.806670738048,1447.9226682952192,noVIPV,SPRING
21,work,10.0,25808.625,14531.547532249766,3632.8868830624415,noVIPV,SPRING
21,public,10.0,24412.875,26209.690464722793,4765.398266313235,noVIPV,SPRING
22,home,10.5,18676.875,4780.831215702114,1912.3324862808454,noVIPV,SPRING
22,work,10.5,18915.333333333332,10766.4190595981,2691.604764899525,noVIPV,SPRING
22,public,10.5,27310.0,29341.084651994955,5334.742663999083,noVIPV,SPRING
23,home,11.0,24638.25,6302.912806912312,2521.1651227649245,noVIPV,SPRING
23,work,11.0,13914.458333333334,7826.139249183475,1956.5348122958687,noVIPV,SPRING
23,public,11.0,28741.25,31727.123820026547,5768.567967277554,noVIPV,SPRING
24,home,11.5,32746.25,8377.296671598326,3350.9186686393305,noVIPV,SPRING
24,work,11.5,10533.291666666666,5782.930221100857,1445.7325552752143,noVIPV,SPRING
24,public,11.5,30466.125,34103.636933253234,6200.661260591497,noVIPV,SPRING
25,home,12.0,43493.416666666664,7791.00234626432,4452.001340722469,noVIPV,SPRING
25,work,12.0,9483.625,5116.0294913929365,1279.0073728482341,noVIPV,SPRING
25,public,12.0,33720.291666666664,36456.30183854631,6628.418516099328,noVIPV,SPRING
26,home,12.5,53020.875,9488.99810102117,5422.284629154955,noVIPV,SPRING
26,work,12.5,11124.583333333334,5729.247213209427,1432.3118033023568,noVIPV,SPRING
26,public,12.5,33395.0,36758.5920654263,6683.380375532055,noVIPV,SPRING
27,home,13.0,56461.541666666664,10083.690811578688,5762.109035187822,noVIPV,SPRING
27,work,13.0,11528.0,5873.562878342479,1468.3907195856198,noVIPV,SPRING
27,public,13.0,35651.958333333336,40687.375271662364,7397.704594847702,noVIPV,SPRING
28,home,13.5,63827.125,11275.616106401623,6443.209203658071,noVIPV,SPRING
28,work,13.5,10588.541666666666,5627.614500578755,1406.9036251446887,noVIPV,SPRING
28,public,13.5,35456.958333333336,41505.36763040513,7546.430478255479,noVIPV,SPRING
29,home,14.0,73051.25,12901.378354045974,7372.216202311985,noVIPV,SPRING
29,work,14.0,8891.458333333334,4898.292609032162,1224.5731522580404,noVIPV,SPRING
29,public,14.0,34548.916666666664,39710.155234667414,7220.028224484985,noVIPV,SPRING
30,home,14.5,82696.58333333333,14505.081788265474,8288.618164723128,noVIPV,SPRING
30,work,14.5,7360.75,4078.097481888619,1019.5243704721547,noVIPV,SPRING
30,public,14.5,33691.416666666664,39348.92820407219,7154.35058255858,noVIPV,SPRING
31,home,15.0,91297.125,15969.738337508425,9125.564764290528,noVIPV,SPRING
31,work,15.0,5274.875,3073.4354735998495,768.3588683999624,noVIPV,SPRING
31,public,15.0,32160.458333333332,38377.904500107215,6977.800818201312,noVIPV,SPRING
32,home,15.5,101578.58333333333,17742.084286247235,10138.333877855564,noVIPV,SPRING
32,work,15.5,4097.458333333333,2492.6075999552495,623.1518999888124,noVIPV,SPRING
32,public,15.5,30215.125,35011.1900381283,6365.670916023326,noVIPV,SPRING
33,home,16.0,115999.16666666667,28713.891168827904,11485.556467531162,noVIPV,SPRING
