TimeIndex,Hour,noVIPV,VIPV50_Wp700,Saving,Reduction_pct
1,0.0,33215.11507186228,30527.19773628508,2687.9173355772,8.092452275904446
2,0.5,39653.07569548334,36916.62120688488,2736.454488598458,6.900989243843578
3,1.0,39149.70365141655,36691.22466656248,2458.478984854075,6.279687342576142
4,1.5,33852.48531533158,31542.644209669485,2309.8411056620935,6.823254139677541
5,2.0,26206.30196062587,23973.04049336697,2233.2614672589007,8.521848945396052
6,2.5,18741.686398391845,16919.36806579205,1822.3183325997961,9.723342360248662
7,3.0,13015.04417632243,11736.97371807271,1278.07045824972,9.819947139133381
8,3.5,9229.174395076705,8291.999371649654,937.1750234270512,10.154483849898712
9,4.0,6195.695984322203,5577.160587058912,618.5353972632911,9.983307748289358
10,4.5,4341.919592505785,3873.7005804971163,468.2190120086684,10.783686847099176
11,5.0,3587.8480813185233,3225.4186301722348,362.42945114628856,10.101582980433687
12,5.5,4735.493525069592,4323.517861924923,411.97566314466894,8.699740818220517
13,6.0,9102.0596126356,7727.386252659568,1374.6733599760319,15.102882407710142
14,6.5,17127.462766112007,15185.277343603171,1942.1854225088355,11.339597983839132
15,7.0,28116.834403287492,25991.70568409657,2125.1287191909214,7.558207615799188
16,7.5,46709.20173011643,43584.69547998189,3124.5062501345383,6.689273493021329
17,8.0,59831.168832582436,54641.339592433986,5189.8292401484505,8.67412310575188
18,8.5,60342.66222960317,54101.250337425416,6241.411892177755,10.343282284147909
19,9.0,54337.72088011655,48666.976236129456,5670.744643987091,10.436110591569088
20,9.5,46735.47851369687,43084.16926777291,3651.3092459239633,7.812713942479195
21,10.0,42880.96261434592,40084.31889534721,2796.6437189987046,6.521877188603694
22,10.5,44021.742853299154,40436.06998742549,3585.672865873661,8.14523150031289
23,11.0,44626.95395452993,41241.216968477434,3385.7369860524923,7.586753488714902
24,11.5,46987.27300740394,44361.21405311488,2626.0589542890593,5.588872871756704
25,12.0,51026.243556649046,46529.35951654597,4496.884040103076,8.812884756273819
26,12.5,53671.35063432348,48344.74432920723,5326.606305116249,9.924487165243464
27,13.0,56365.05234204853,52252.477632583366,4112.574709465167,7.296320217194532
28,13.5,57136.4134705531,54068.57548039363,3067.8379901594744,5.36932195042409
29,14.0,56496.99367238382,53557.13551891313,2939.85815347069,5.203565645489764
30,14.5,57569.15096163345,53798.580332669095,3770.5706289643567,6.549637376929923
31,15.0,58107.506743790895,53575.20225067293,4532.304493117961,7.799860546593255
32,15.5,57785.43688944364,53470.26352182757,4315.173367616073,7.467579376222346
33,16.0,66007.19517963319,61612.89198388272,4394.3031957504645,6.657309379366488
34,16.5,72323.89370099474,66618.6535731459,5705.24012784884,7.888458206406509
35,17.0,82270.14666128404,76868.1266424079,5402.020018876152,6.566197142101751
36,17.5,81906.9649581051,76780.54506367406,5126.419894431048,6.258832685417143
37,18.0,81377.25753968731,75990.61573149398,5386.641808193337,6.619345467087407
38,18.5,77455.09727639932,71819.70856069663,5635.388715702691,7.275684769451322
39,19.0,71517.2395739629,66020.17816751091,5497.0614064519905,7.686344494276722
40,19.5,64103.88222374774,58762.1377648295,5341.744458918241,8.332950008040783
41,20.0,51897.16742388678,47271.343635010446,4625.823788876332,8.913441751249024
42,20.5,44840.276725181575,40762.51823449323,4077.758490688342,9.093963705175662
43,21.0,36944.72631360406,33824.704833874595,3120.021479729461,8.445106490288396
44,21.5,30913.333057291926,28630.547828915503,2282.7852283764223,7.384468132717098
45,22.0,25902.51177831694,24238.412903324184,1664.0988749927565,6.424469137335855
46,22.5,29774.143310979605,28051.514144260742,1722.6291667188634,5.785654850675826
47,23.0,33590.157589679584,30722.710540411594,2867.44704926799,8.536569206656536
48,23.5,35344.08843464098,32545.7512243151,2798.3372103258807,7.917412314935278
