Period,chargerAccessType,noVIPV,VIPV50_Wp700,Saving,Reduction_pct,Metric
Night (00–06),home,854970.5753424658,784037.4184931507,70933.15684931508,8.296561179418624,Actual charging time
Night (00–06),public,69040.19691780822,65761.58984018266,3278.6070776255706,4.748837958166204,Actual charging time
Night (00–06),work,9150.443493150686,7077.377739726027,2073.0657534246575,22.655358234564194,Actual charging time
Morning (06–12),home,116342.87602739726,108105.15867579909,8237.717351598169,7.080551584145376,Actual charging time
Morning (06–12),public,279896.6904109589,255963.37385844748,23933.316552511413,8.55076796991464,Actual charging time
Morning (06–12),work,360924.61267123284,317572.2157534247,43352.39691780819,12.011482563340172,Actual charging time
Afternoon (12–18),home,1078724.8502283106,1003142.1198630137,75582.7303652968,7.006673698978921,Actual charging time
Afternoon (12–18),public,383036.39269406395,351591.9002283105,31444.492465753417,8.20927020656978,Actual charging time
Afternoon (12–18),work,73717.82614155252,66982.1098173516,6735.716324200918,9.13716081544108,Actual charging time
Evening (18–24),home,1467105.2482876712,1354304.434474886,112800.81381278542,7.688665414048558,Actual charging time
Evening (18–24),public,164828.8033105023,152795.54189497718,12033.261415525109,7.300460340573493,Actual charging time
Evening (18–24),work,3223.617694063927,3369.7503424657534,-146.13264840182654,-4.533187935744362,Actual charging time
Night (00–06),home,144328.73150766746,132235.00812575076,12093.723381916703,8.379290287931495,Charging cost
Night (00–06),public,83550.36019374583,78248.39031910575,5301.969874640091,6.345837243963157,Charging cost
Night (00–06),work,4044.4521463134097,3115.4686830799938,928.983463233416,22.96932760300307,Charging cost
Morning (06–12),home,34197.94532029041,32358.63410579515,1839.31121449526,5.378426093347646,Charging cost
Morning (06–12),public,285406.8493298417,265207.2856020119,20199.563727829776,7.077462848302338,Charging cost
Morning (06–12),work,181214.72674759742,161539.70039066096,19675.026356936465,10.857299906061481,Charging cost
Afternoon (12–18),home,269936.3795721278,252885.9362101355,17050.44336199227,6.31646737983916,Charging cost
Afternoon (12–18),public,441133.73937632295,408383.06960485264,32750.66977147026,7.424204237420905,Charging cost
Afternoon (12–18),work,39596.229822392335,36207.55003093532,3388.679791457006,8.558086986202538,Charging cost
Evening (18–24),home,385713.7214148272,354035.2556384331,31678.465776394118,8.212947587188523,Charging cost
Evening (18–24),public,196093.5137543341,182720.18237784534,13373.331376488786,6.819874416265952,Charging cost
Evening (18–24),work,1852.6460782173783,1884.7055528579601,-32.059474640581726,-1.7304694629764066,Charging cost
