HexID,chargerAccessType,chargingTime_min_day,chargingCost_SEK_day,energy_kWh_day,Scenario,Season
0,home,9248.125,1945.2027044008682,945.0,noVIPV,SPRING
0,work,0.0,0.0,0.0,noVIPV,SPRING
0,public,0.0,0.0,0.0,noVIPV,SPRING
1,home,10964.375,2556.439434945475,1135.7868502845038,noVIPV,SPRING
1,work,1186.5416666666667,580.0,145.0,noVIPV,SPRING
1,public,0.0,0.0,0.0,noVIPV,SPRING
2,home,2386.5416666666665,436.524848904751,235.0,noVIPV,SPRING
2,work,510.875,250.0,62.5,noVIPV,SPRING
2,public,0.0,0.0,0.0,noVIPV,SPRING
3,home,4554.458333333333,1138.4894291520093,450.0,noVIPV,SPRING
3,work,0.0,0.0,0.0,noVIPV,SPRING
3,public,0.0,0.0,0.0,noVIPV,SPRING
4,home,0.0,0.0,0.0,noVIPV,SPRING
4,work,0.0,0.0,0.0,noVIPV,SPRING
4,public,0.0,0.0,0.0,noVIPV,SPRING
5,home,7139.666666666667,2108.744348093996,768.0575256107171,noVIPV,SPRING
5,work,426.5416666666667,210.0,52.5,noVIPV,SPRING
5,public,0.0,0.0,0.0,noVIPV,SPRING
6,home,5192.916666666667,1206.7156367107114,530.0,noVIPV,SPRING
6,work,476.3333333333333,310.0,77.5,noVIPV,SPRING
6,public,0.0,0.0,0.0,noVIPV,SPRING
7,home,5971.291666666667,1361.2205456842162,598.9486797493065,noVIPV,SPRING
7,work,0.0,0.0,0.0,noVIPV,SPRING
7,public,0.0,0.0,0.0,noVIPV,SPRING
8,home,298.5833333333333,96.25,27.5,noVIPV,SPRING
8,work,0.0,0.0,0.0,noVIPV,SPRING
8,public,0.0,0.0,0.0,noVIPV,SPRING
9,home,1615.8333333333333,276.3267659306985,155.0,noVIPV,SPRING
9,work,0.0,0.0,0.0,noVIPV,SPRING
9,public,0.0,0.0,0.0,noVIPV,SPRING
10,home,11905.541666666666,2820.9165899048794,1222.5,noVIPV,SPRING
10,work,138.41666666666669,40.0,10.0,noVIPV,SPRING
10,public,0.0,0.0,0.0,noVIPV,SPRING
11,home,9292.041666666666,2100.4349100433988,965.2366545577313,noVIPV,SPRING
11,work,382.8333333333333,130.0,32.5,noVIPV,SPRING
11,public,0.0,0.0,0.0,noVIPV,SPRING
12,home,2904.25,461.06953792679263,302.5,noVIPV,SPRING
12,work,1275.1666666666667,830.0,207.5,noVIPV,SPRING
12,public,0.0,0.0,0.0,noVIPV,SPRING
13,home,445.75,117.21066967844804,45.0,noVIPV,SPRING
13,work,233.83333333333334,80.0,20.0,noVIPV,SPRING
13,public,0.0,0.0,0.0,noVIPV,SPRING
14,home,844.8333333333334,137.28784804813208,88.61410381978453,noVIPV,SPRING
14,work,0.0,0.0,0.0,noVIPV,SPRING
14,public,0.0,0.0,0.0,noVIPV,SPRING
15,home,574.2916666666666,116.70966362599772,52.5,noVIPV,SPRING
15,work,707.0,370.0,92.5,noVIPV,SPRING
15,public,0.0,0.0,0.0,noVIPV,SPRING
16,home,757.4166666666666,90.625,72.5,noVIPV,SPRING
16,work,0.0,0.0,0.0,noVIPV,SPRING
