TimeIndex,chargerAccessType,Hour,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
1,home,0.0,813.0,2032.5,noVIPV,SPRING
1,work,0.0,1.0,2.5,noVIPV,SPRING
1,public,0.0,154.0,385.0,noVIPV,SPRING
2,home,0.5,603.0,1507.5,noVIPV,SPRING
2,work,0.5,1.0,2.5,noVIPV,SPRING
2,public,0.5,119.0,297.5,noVIPV,SPRING
3,home,1.0,256.0,640.0,noVIPV,SPRING
3,work,1.0,0.0,0.0,noVIPV,SPRING
3,public,1.0,52.0,130.0,noVIPV,SPRING
4,home,1.5,91.0,227.5,noVIPV,SPRING
4,work,1.5,0.0,0.0,noVIPV,SPRING
4,public,1.5,25.0,62.5,noVIPV,SPRING
5,home,2.0,36.0,90.0,noVIPV,SPRING
5,work,2.0,0.0,0.0,noVIPV,SPRING
5,public,2.0,8.0,20.0,noVIPV,SPRING
6,home,2.5,8.0,20.0,noVIPV,SPRING
6,work,2.5,0.0,0.0,noVIPV,SPRING
6,public,2.5,0.0,0.0,noVIPV,SPRING
7,home,3.0,2.0,5.0,noVIPV,SPRING
7,work,3.0,0.0,0.0,noVIPV,SPRING
7,public,3.0,0.0,0.0,noVIPV,SPRING
8,home,3.5,0.0,0.0,noVIPV,SPRING
8,work,3.5,0.0,0.0,noVIPV,SPRING
8,public,3.5,0.0,0.0,noVIPV,SPRING
9,home,4.0,0.0,0.0,noVIPV,SPRING
9,work,4.0,4.0,10.0,noVIPV,SPRING
9,public,4.0,5.0,12.5,noVIPV,SPRING
10,home,4.5,0.0,0.0,noVIPV,SPRING
10,work,4.5,17.0,42.5,noVIPV,SPRING
10,public,4.5,6.0,15.0,noVIPV,SPRING
11,home,5.0,3.0,7.5,noVIPV,SPRING
11,work,5.0,39.0,97.5,noVIPV,SPRING
11,public,5.0,18.0,45.0,noVIPV,SPRING
12,home,5.5,3.0,7.5,noVIPV,SPRING
12,work,5.5,58.0,145.0,noVIPV,SPRING
12,public,5.5,27.0,67.5,noVIPV,SPRING
13,home,6.0,3.0,7.5,noVIPV,SPRING
13,work,6.0,130.0,325.0,noVIPV,SPRING
13,public,6.0,86.0,215.0,noVIPV,SPRING
14,home,6.5,4.0,10.0,noVIPV,SPRING
14,work,6.5,175.0,437.5,noVIPV,SPRING
14,public,6.5,97.0,242.5,noVIPV,SPRING
