TimeIndex,Hour,noVIPV,VIPV50_Wp700,Reduction,Reduction_pct
1,0.0,1522.335616438356,1390.3698630136985,131.96575342465758,8.668637322787177
2,0.5,1075.6164383561643,999.7260273972603,75.890410958904,7.055527254202741
3,1.0,459.54109589041093,440.16438356164383,19.3767123287671,4.21653525703128
4,1.5,177.13698630136986,173.99315068493152,3.143835616438338,1.7748047328126106
5,2.0,60.130136986301366,55.75342465753425,4.37671232876712,7.278733340927207
6,2.5,12.527397260273974,11.89041095890411,0.6369863013698644,5.084745762711876
7,3.0,3.1232876712328768,0.6232876712328768,2.5,80.04385964912281
8,3.5,0.0,0.6164383561643836,-0.6164383561643836,
9,4.0,20.63013698630137,13.10958904109589,7.520547945205479,36.45418326693227
10,4.5,45.65753424657534,44.36301369863014,1.294520547945197,2.835283528352817
11,5.0,158.75342465753425,124.36301369863014,34.39041095890411,21.662783674173788
12,5.5,215.84246575342465,201.06849315068493,14.773972602739718,6.844794211912541
13,6.0,518.5821917808219,443.43835616438355,75.14383561643831,14.490246060782157
14,6.5,685.9041095890411,626.0821917808219,59.82191780821927,8.721615306265116
15,7.0,1342.2465753424658,1209.445205479452,132.80136986301386,9.893962279555858
16,7.5,1580.623287671233,1404.3150684931506,176.30821917808225,11.154347816666743
17,8.0,1142.0753424657535,999.2328767123288,142.84246575342468,12.507271669575335
18,8.5,891.2945205479452,769.6095890410959,121.68493150684935,13.652606259942061
19,9.0,740.8082191780823,703.0890410958905,37.719178082191775,5.091625214963293
20,9.5,781.445205479452,755.7671232876712,25.678082191780845,3.2859734773119733
21,10.0,877.1917808219177,841.6986301369863,35.49315068493149,4.046224720855781
22,10.5,956.1986301369863,869.6917808219179,86.5068493150684,9.046953905662395
23,11.0,1114.7397260273972,1094.8561643835617,19.883561643835492,1.7836954384585024
24,11.5,1256.5068493150684,1170.8013698630136,85.70547945205476,6.8209321340964815
25,12.0,1417.3698630136987,1226.7945205479452,190.57534246575347,13.44570301929099
26,12.5,1407.6986301369864,1291.0342465753424,116.66438356164394,8.287596582394277
27,13.0,1320.6438356164383,1276.4315068493152,44.212328767123154,3.3477859491530597
28,13.5,1331.8082191780823,1280.0821917808219,51.726027397260395,3.8838945917590757
29,14.0,1533.8150684931506,1437.6849315068494,96.1301369863013,6.267387702791406
30,14.5,1358.431506849315,1312.3835616438357,46.04794520547921,3.38978777901587
31,15.0,1459.5616438356165,1323.9657534246576,135.59589041095887,9.290179074220069
32,15.5,1707.109589041096,1612.2123287671232,94.89726027397273,5.5589436602765305
33,16.0,1884.691780821918,1806.2260273972604,78.46575342465758,4.163320189704361
34,16.5,2048.020547945205,1837.5205479452054,210.49999999999977,10.278217189334162
35,17.0,1857.8150684931506,1773.2191780821918,84.59589041095887,4.553515139672835
36,17.5,1641.5410958904108,1494.6438356164383,146.8972602739725,8.94874095091064
37,18.0,1537.3013698630136,1402.5616438356165,134.73972602739718,8.764691729859294
38,18.5,1085.109589041096,1045.8013698630136,39.308219178082254,3.6225114564528607
39,19.0,856.0068493150685,795.2739726027397,60.73287671232879,7.094905462605122
40,19.5,802.9657534246576,731.445205479452,71.52054794520552,8.90704835669138
41,20.0,544.7945205479452,492.0273972602739,52.767123287671325,9.685692733216008
42,20.5,451.16438356164383,422.9109589041096,28.253424657534254,6.262334902079855
43,21.0,369.97945205479454,366.74657534246575,3.232876712328789,0.8737989892071073
44,21.5,310.486301369863,273.7260273972603,36.760273972602704,11.839579978381229
45,22.0,848.3150684931506,781.8972602739725,66.41780821917814,7.829379753580836
46,22.5,932.6712328767123,891.5273972602739,41.14383561643842,4.411397517808629
47,23.0,886.6301369863014,811.3356164383562,75.29452054794524,8.492213089425872
48,23.5,676.6164383561644,665.5753424657535,11.04109589041093,1.6318101755309413
