HexID,chargerAccessType,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
0,home,23.0,57.5,noVIPV,SPRING
0,work,0.0,0.0,noVIPV,SPRING
0,public,0.0,0.0,noVIPV,SPRING
1,home,31.0,77.5,noVIPV,SPRING
1,work,5.0,12.5,noVIPV,SPRING
1,public,0.0,0.0,noVIPV,SPRING
2,home,9.0,22.5,noVIPV,SPRING
2,work,2.0,5.0,noVIPV,SPRING
2,public,0.0,0.0,noVIPV,SPRING
3,home,13.0,32.5,noVIPV,SPRING
3,work,2.0,5.0,noVIPV,SPRING
3,public,0.0,0.0,noVIPV,SPRING
4,home,0.0,0.0,noVIPV,SPRING
4,work,0.0,0.0,noVIPV,SPRING
4,public,0.0,0.0,noVIPV,SPRING
5,home,22.0,55.0,noVIPV,SPRING
5,work,2.0,5.0,noVIPV,SPRING
5,public,0.0,0.0,noVIPV,SPRING
6,home,17.0,42.5,noVIPV,SPRING
6,work,1.0,2.5,noVIPV,SPRING
6,public,0.0,0.0,noVIPV,SPRING
7,home,19.0,47.5,noVIPV,SPRING
7,work,0.0,0.0,noVIPV,SPRING
7,public,0.0,0.0,noVIPV,SPRING
8,home,1.0,2.5,noVIPV,SPRING
8,work,0.0,0.0,noVIPV,SPRING
8,public,0.0,0.0,noVIPV,SPRING
9,home,5.0,12.5,noVIPV,SPRING
9,work,0.0,0.0,noVIPV,SPRING
9,public,0.0,0.0,noVIPV,SPRING
10,home,29.0,72.5,noVIPV,SPRING
10,work,1.0,2.5,noVIPV,SPRING
10,public,0.0,0.0,noVIPV,SPRING
11,home,28.0,70.0,noVIPV,SPRING
11,work,3.0,7.5,noVIPV,SPRING
11,public,0.0,0.0,noVIPV,SPRING
12,home,10.0,25.0,noVIPV,SPRING
12,work,3.0,7.5,noVIPV,SPRING
12,public,0.0,0.0,noVIPV,SPRING
13,home,3.0,7.5,noVIPV,SPRING
13,work,2.0,5.0,noVIPV,SPRING
13,public,0.0,0.0,noVIPV,SPRING
14,home,2.0,5.0,noVIPV,SPRING
14,work,0.0,0.0,noVIPV,SPRING
14,public,0.0,0.0,noVIPV,SPRING
15,home,2.0,5.0,noVIPV,SPRING
15,work,3.0,7.5,noVIPV,SPRING
15,public,0.0,0.0,noVIPV,SPRING
16,home,2.0,5.0,noVIPV,SPRING
16,work,0.0,0.0,noVIPV,SPRING
16,public,0.0,0.0,noVIPV,SPRING
17,home,12.0,30.0,noVIPV,SPRING
17,work,0.0,0.0,noVIPV,SPRING
17,public,0.0,0.0,noVIPV,SPRING
18,home,16.0,40.0,noVIPV,SPRING
18,work,1.0,2.5,noVIPV,SPRING
18,public,0.0,0.0,noVIPV,SPRING
19,home,11.0,27.5,noVIPV,SPRING
19,work,2.0,5.0,noVIPV,SPRING
19,public,0.0,0.0,noVIPV,SPRING
20,home,23.0,57.5,noVIPV,SPRING
20,work,6.0,15.0,noVIPV,SPRING
20,public,0.0,0.0,noVIPV,SPRING
21,home,6.0,15.0,noVIPV,SPRING
21,work,3.0,7.5,noVIPV,SPRING
21,public,0.0,0.0,noVIPV,SPRING
22,home,7.0,17.5,noVIPV,SPRING
22,work,0.0,0.0,noVIPV,SPRING
22,public,0.0,0.0,noVIPV,SPRING
23,home,4.0,10.0,noVIPV,SPRING
23,work,0.0,0.0,noVIPV,SPRING
23,public,2.0,5.0,noVIPV,SPRING
24,home,6.0,15.0,noVIPV,SPRING
24,work,0.0,0.0,noVIPV,SPRING
24,public,0.0,0.0,noVIPV,SPRING
25,home,4.0,10.0,noVIPV,SPRING
25,work,0.0,0.0,noVIPV,SPRING
25,public,4.0,10.0,noVIPV,SPRING
26,home,6.0,15.0,noVIPV,SPRING
26,work,0.0,0.0,noVIPV,SPRING
26,public,3.0,7.5,noVIPV,SPRING
27,home,2.0,5.0,noVIPV,SPRING
27,work,0.0,0.0,noVIPV,SPRING
27,public,3.0,7.5,noVIPV,SPRING
28,home,37.0,92.5,noVIPV,SPRING
28,work,0.0,0.0,noVIPV,SPRING
28,public,8.0,20.0,noVIPV,SPRING
29,home,0.0,0.0,noVIPV,SPRING
29,work,0.0,0.0,noVIPV,SPRING
29,public,0.0,0.0,noVIPV,SPRING
30,home,10.0,25.0,noVIPV,SPRING
30,work,0.0,0.0,noVIPV,SPRING
30,public,3.0,7.5,noVIPV,SPRING
