Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_pluggedTime_min,Annual_total_pluggedTime_min,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh,Annual_avg_daily_sessionStarts,Annual_total_sessionStarts
noVIPV,1,0.0,home,400795.6011415525,146290394.41666666,105857.3734018265,38637941.29166667,18980.230734801764,6927784.218202644,10736.104650012006,3918678.1972543825,1275.0684931506848,465400.0
noVIPV,1,0.0,public,67366.22328767124,24588671.5,11762.817922374428,4293428.541666666,14228.277010124659,5193321.1086955005,2586.9594563863,944240.2015809997,245.3972602739726,89570.0
noVIPV,1,0.0,work,37.8208904109589,13804.625,18.916780821917808,6904.625,6.607326935875174,2411.6743315944386,1.6518317339687936,602.9185828986097,1.86986301369863,682.5
noVIPV,2,0.5,home,432712.5648401827,157940086.1666667,126086.9116438356,46021722.74999999,21480.293627592095,7840307.1740711145,12698.555853233793,4634972.886430334,895.2808219178082,326777.5
noVIPV,2,0.5,public,73848.80136986301,26954812.5,15317.777168949775,5590988.666666668,18151.835925996238,6625420.112988627,3300.3338047265893,1204621.838725205,179.7054794520548,65592.5
noVIPV,2,0.5,work,82.9502283105023,30276.833333333336,64.0461187214612,23376.833333333336,20.946141895033488,7645.341791687223,5.236535473758372,1911.3354479218058,0.6301369863013698,230.0
noVIPV,3,1.0,home,447444.65753424657,163317300.0,126342.07648401828,46114857.91666667,21204.415841484453,7739611.782141825,12781.34255660839,4665190.033162062,378.1575342465753,138027.5
noVIPV,3,1.0,public,76976.19863013699,28096312.5,14931.683789954337,5450064.583333333,17929.553538966295,6544287.041722697,3259.918825266598,1189870.3712223084,81.38356164383562,29705.0
noVIPV,3,1.0,work,93.9041095890411,34275.0,46.98219178082192,17148.5,15.734270965825738,5743.008902526394,3.9335677414564345,1435.7522256315985,0.0,0.0
noVIPV,4,1.5,home,453337.3804794521,165468143.875,115893.74166666667,42301215.708333336,19432.56163765504,7092884.997744089,11854.701413634828,4326966.015976712,142.1027397260274,51867.5
