Scenario,VIPV_adoption_pct,VIPV_Wp,Fleet_avg_nominal_VIPV_Wp,Annual_chargingCost_MSEK,Annual_pluggedTime_million_h,Annual_chargingTime_million_h,Annual_energy_GWh,Annual_sessions_million,Annual_effective_price_SEK_per_kWh,Annual_charging_to_plugged_ratio,Cost_saving_MSEK,Cost_reduction_pct,Charging_time_saving_million_h,Plugged_time_saving_million_h,Plugged_time_reduction_pct,Charging_time_reduction_pct,Energy_reduction_pct,Session_reduction_pct,Cost_saving_SEK_per_VIPV_EV_year,Charging_time_saving_h_per_VIPV_EV_year,Plugged_time_saving_h_per_VIPV_EV_year
noVIPV,0,0,0.0,754.4802927712424,122.53499491041666,29.570852977083334,217.99071709445224,16.038365,3.4610661537680842,0.2413257779845023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
VIPV20_Wp400,20,400,80.0,738.3666561012404,119.49150998888891,28.920333082638894,213.56655971623135,15.7400475,3.45731399654664,0.2420283506780364,16.113636670001938,2.135726648447738,0.6505198944444395,3.0434849215277495,2.483767942172595,2.1998685494414922,2.02951641115248,1.8600243852786715,760.5076774590304,30.702279330018854,143.6419162510737
VIPV20_Wp700,20,700,140.0,733.2470759191141,117.97711899722222,28.610937593055557,211.63716724630345,15.549155,3.4646422717695935,0.24251259766505406,21.233216852128294,2.814283826306141,0.9599153840277772,4.557875913194437,3.7196524278852956,3.246153855526885,2.9145965171516393,3.05024857583674,1002.1340783522887,45.3046717022738,215.11591057175931
VIPV20_Wp1000,20,1000,200.0,722.9626713039675,117.09895847291666,28.351255036805554,209.25650286353968,15.416645,3.454911371501921,0.24211363966454746,31.51762146727492,4.177394925917705,1.2195979402777795,5.436036437499993,4.436313431501092,4.124324520577534,4.006690902864523,3.876454987774615,1487.5222516176573,57.56078630723898,256.56203688408505
VIPV50_Wp400,50,400,200.0,718.8820034692471,116.34731803958334,28.11011078263889,207.8846188181569,15.2883925,3.4580817357058793,0.24160514618029574,35.59828930199524,4.718253033653273,1.4607421944444425,6.1876768708333145,5.049722224542486,4.939804054947217,4.636022309113518,4.676115676379721,672.046239418449,27.576782979883756,116.81474175633971
VIPV50_Wp700,50,700,350.0,696.7197331241346,112.34243738125,27.196776528472228,201.42445185878037,14.8656275,3.458963034004471,0.24208818290256695,57.76055964710781,7.655675065408335,2.374076448611106,10.192557529166663,8.318078877481716,8.028434115346473,7.59952784067128,7.312076386838674,1090.4391098189128,44.8192646518993,192.42132394122453
VIPV50_Wp1000,50,1000,500.0,676.4190656105401,109.56346115902778,26.40940978611111,195.7549825096419,14.44272,3.4554372866459375,0.24104212761021407,78.06122716070229,10.3463573414197,3.161443190972225,12.971533751388876,10.585983017236957,10.691078791072627,10.200312601006724,9.948925591854278,1473.6875053936621,59.68365472856758,244.88453372453984
VIPV80_Wp400,80,400,320.0,694.1865178653994,112.79735524097224,27.312361285416667,201.5363107019033,14.875655,3.4444736804385876,0.2421365397004964,60.29377490584295,7.991431384427686,2.2584916916666664,9.73763966944442,7.946823416905064,7.637560179332469,7.548214259701476,7.249554427773647,711.4141838050188,26.64824065115474,114.8956917765294
VIPV80_Wp700,80,700,560.0,663.2189238206882,107.35491619583334,25.92756370833333,192.08962922375457,14.20031,3.4526534644311337,0.24151258859014074,91.26136895055413,12.095924814065949,3.643289268750003,15.180078714583317,12.388361974210898,12.320541688714426,11.881738918026999,11.460363946075544,1076.8049007758416,42.98764948024829,179.11174620756225
VIPV80_Wp1000,80,1000,800.0,631.0149887587968,102.03033659236111,24.577347038888888,182.58371467399874,13.557,3.4560310588787577,0.24088273997450446,123.46530401244559,16.364284819017815,4.9935059381944455,20.504658318055547,16.733716219636825,16.886580654485304,16.242435867171423,15.471433652993921,1456.7833680909664,58.9190336298193,241.93716157796334
