Scenario,Season,Status,Message
noVIPV,SPRING,SUCCESS,
noVIPV,SUMMER,SUCCESS,
noVIPV,AUTUMN,SUCCESS,
noVIPV,WINTER,SUCCESS,
VIPV20_Wp400,SPRING,SUCCESS,
VIPV20_Wp400,SUMMER,SUCCESS,
VIPV20_Wp400,AUTUMN,SUCCESS,
VIPV20_Wp400,WINTER,SUCCESS,
VIPV20_Wp700,SPRING,SUCCESS,
VIPV20_Wp700,SUMMER,SUCCESS,
VIPV20_Wp700,AUTUMN,SUCCESS,
VIPV20_Wp700,WINTER,SUCCESS,
VIPV20_Wp1000,SPRING,SUCCESS,
VIPV20_Wp1000,SUMMER,SUCCESS,
VIPV20_Wp1000,AUTUMN,SUCCESS,
VIPV20_Wp1000,WINTER,SUCCESS,
VIPV50_Wp400,SPRING,SUCCESS,
VIPV50_Wp400,SUMMER,SUCCESS,
VIPV50_Wp400,AUTUMN,SUCCESS,
VIPV50_Wp400,WINTER,SUCCESS,
VIPV50_Wp700,SPRING,SUCCESS,
VIPV50_Wp700,SUMMER,SUCCESS,
VIPV50_Wp700,AUTUMN,SUCCESS,
VIPV50_Wp700,WINTER,SUCCESS,
VIPV50_Wp1000,SPRING,SUCCESS,
VIPV50_Wp1000,SUMMER,SUCCESS,
VIPV50_Wp1000,AUTUMN,SUCCESS,
VIPV50_Wp1000,WINTER,SUCCESS,
VIPV80_Wp400,SPRING,SUCCESS,
VIPV80_Wp400,SUMMER,SUCCESS,
VIPV80_Wp400,AUTUMN,SUCCESS,
VIPV80_Wp400,WINTER,SUCCESS,
VIPV80_Wp700,SPRING,SUCCESS,
VIPV80_Wp700,SUMMER,SUCCESS,
VIPV80_Wp700,AUTUMN,SUCCESS,
VIPV80_Wp700,WINTER,SUCCESS,
VIPV80_Wp1000,SPRING,SUCCESS,
VIPV80_Wp1000,SUMMER,SUCCESS,
VIPV80_Wp1000,AUTUMN,SUCCESS,
VIPV80_Wp1000,WINTER,SUCCESS,
