Scenario,Season,TimeIndex,Hour,chargerAccessType,pluggedTime_min,chargingTime_min,chargingCost_SEK,energy_kWh,sessionStarts
noVIPV,SPRING,1,0.0,home,360127.4166666667,78454.75000000003,9961.3675395152,7969.0940316121505,2032.5
noVIPV,SPRING,1,0.0,work,25.291666666666668,25.291666666666668,13.647665652691444,3.411916413172861,2.5
noVIPV,SPRING,1,0.0,public,57300.0,8389.583333333332,9786.112217115178,1779.2931303845771,385.0
noVIPV,SPRING,2,0.5,home,414742.75,125182.0,15563.07376799204,12450.45901439365,1507.5
noVIPV,SPRING,2,0.5,work,106.54166666666667,106.54166666666667,45.83772836419056,11.45943209104764,2.5
noVIPV,SPRING,2,0.5,public,68062.5,18678.666666666668,21251.846648387662,3863.9721178886653,297.5
noVIPV,SPRING,3,1.0,home,439800.0,138970.875,17293.095409633665,13834.476327706916,640.0
noVIPV,SPRING,3,1.0,work,150.0,150.0,53.2322693071186,13.30806732677965,0.0
noVIPV,SPRING,3,1.0,public,73200.0,21532.666666666664,25338.660477238886,4607.029177679794,130.0
noVIPV,SPRING,4,1.5,home,449662.5,134866.08333333337,17001.352716928704,13601.08217354296,227.5
noVIPV,SPRING,4,1.5,work,150.0,86.0,42.34251390123416,10.58562847530854,0.0
noVIPV,SPRING,4,1.5,public,75562.5,18005.5,22299.354172552336,4054.428031373153,62.5
noVIPV,SPRING,5,2.0,home,452775.0,121994.8333333334,15604.66741260421,12483.733930083377,90.0
noVIPV,SPRING,5,2.0,work,150.0,64.75,34.93982277476525,8.734955693691312,0.0
noVIPV,SPRING,5,2.0,public,76425.0,11812.416666666664,15108.877715700932,2747.0686755819866,20.0
noVIPV,SPRING,6,2.5,home,453937.5,107886.08333333334,13958.4817850689,11166.78542805512,20.0
noVIPV,SPRING,6,2.5,work,150.0,0.0,0.0,0.0,0.0
noVIPV,SPRING,6,2.5,public,76575.0,5883.166666666667,7751.998235662582,1409.454224665924,0.0
noVIPV,SPRING,7,3.0,home,454041.7916666666,90640.7083333333,11850.224327085665,9480.179461668524,5.0
noVIPV,SPRING,7,3.0,work,150.0,0.0,0.0,0.0,0.0
noVIPV,SPRING,7,3.0,public,76575.0,1758.125,2340.140971969098,425.4801767216543,0.0
noVIPV,SPRING,8,3.5,home,454004.7916666666,73560.24999999999,9708.625547963082,7766.900438370469,0.0
noVIPV,SPRING,8,3.5,work,150.0,0.0,0.0,0.0,0.0
