Daily_pluggedTime_min,Daily_chargingTime_min,Daily_chargingCost_SEK,Daily_energy_kWh,Daily_sessionStarts,Charging_to_plugged_time_ratio,Effective_price_SEK_per_kWh,Mean_plugged_min_per_session,Mean_charging_min_per_session,Mean_cost_SEK_per_session,Scenario,Season,Source_rows,Unique_vehicles,Unique_chargers,Revised_CSV,Cost_reduction_pct,Plugged_time_reduction_pct,Charging_time_reduction_pct,Energy_reduction_pct,Session_reduction_pct
20002182.791666664,4818903.833333333,2076470.4631331903,594255.0983364829,43735.0,0.2409188978785351,3.4942408890490295,457.3495550855531,110.18415075644982,47.47846034373363,noVIPV,SPRING,26350,7755,8350,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\noVIPV_SPRING\ITERS\it.70\70.chargingStats_revised.csv,0.0,0.0,0.0,0.0,0.0
20546716.791666664,4899571.416666667,2091194.1023365445,599648.8834653646,44895.0,0.23846006475612858,3.4873642893347117,457.66158350967066,109.1340108401084,46.57966593911448,noVIPV,SUMMER,26212,7714,8278,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\noVIPV_SUMMER\ITERS\it.70\70.chargingStats_revised.csv,0.0,0.0,0.0,0.0,0.0
20052062.958333332,4882701.874999999,1987664.7729079826,597640.2575881176,43380.0,0.24350122404591906,3.3258548895778097,462.2421152220685,112.55652086214843,45.81984262120753,noVIPV,AUTUMN,26056,7754,8319,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\noVIPV_AUTUMN\ITERS\it.70\70.chargingStats_revised.csv,0.0,0.0,0.0,0.0,0.0
19965146.708333336,4842506.5,2113085.093482227,597403.1925351508,43742.5,0.24254800481775404,3.5371171762827407,456.4244546684194,110.70484082985655,48.30736911429907,noVIPV,WINTER,25488,7627,8176,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\noVIPV_WINTER\ITERS\it.70\70.chargingStats_revised.csv,0.0,0.0,0.0,0.0,0.0
19329508.583333336,4671633.666666666,2013662.1841522024,578188.453842705,42635.0,0.24168403694932694,3.4827090903825195,453.3718443375944,109.57273757867165,47.23026115051489,VIPV20_Wp400,SPRING,25772,7661,8186,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV20_Wp400_SPRING\ITERS\it.70\70.chargingStats_revised.csv,3.024761492933365,3.3630040048108087,3.0560926667174684,2.703661195125419,2.515148050760261
19772586.375,4712625.125,2026094.300978893,579469.0891024582,42965.0,0.23834135988190872,3.496466574458903,460.2021732805772,109.68521180030257,47.15685560290685,VIPV20_Wp400,SUMMER,25370,7550,8072,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV20_Wp400_SUMMER\ITERS\it.70\70.chargingStats_revised.csv,3.113044422079898,3.76765993572577,3.8155641742610302,3.36526839611333,4.298919701525782
19748880.666666664,4819414.875,1964517.0495785712,590566.2615183643,43172.5,0.24403483702924467,3.326497257949915,457.4412106472098,111.63159129075221,45.50389830513802,VIPV20_Wp400,AUTUMN,26151,7703,8246,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV20_Wp400_AUTUMN\ITERS\it.70\70.chargingStats_revised.csv,1.1645687766325856,1.511975562298292,1.2961471255092567,1.1836545446756992,0.47833102812355927
19721663.583333336,4814460.25,2088200.0884169969,592450.399634502,43735.0,0.24412039226085738,3.524683399159257,450.93548835791324,110.08254830227507,47.74665801799467,VIPV20_Wp400,WINTER,25506,7584,8133,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV20_Wp400_WINTER\ITERS\it.70\70.chargingStats_revised.csv,1.177662231492122,1.2195408756919957,0.5791680403526562,0.8290536379008996,0.017145796422243814
18944618.375,4599480.25,1984060.8173229764,568812.0075697683,41747.5,0.24278558474789017,3.488078294619368,453.7904874543386,110.17378884963172,47.525260610167706,VIPV20_Wp700,SPRING,25130,7581,8079,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV20_Wp700_SPRING\ITERS\it.70\70.chargingStats_revised.csv,4.450323154165014,5.287245035613154,4.553392035249503,4.281509883203053,4.544415228078198
19555864.416666664,4693851.708333333,2018654.8193376611,577959.3423012511,42820.0,0.24002271688552693,3.4927280720128455,456.6993091234625,109.61820897555658,47.142802880375086,VIPV20_Wp700,SUMMER,25109,7521,8039,C:\Users\omkarp\IdeaProjects\GotVIPV\output\10pct\VIPV20_Wp700_SUMMER\ITERS\it.70\70.chargingStats_revised.csv,3.4687972253667607,4.822436523785005,4.198728640499979,3.6170401983857308,4.6218955340238335
