Scenario,Season,chargerAccessType,Daily_pluggedTime_min,Daily_chargingTime_min,Daily_chargingCost_SEK,Daily_energy_kWh,Daily_sessionStarts
noVIPV,SPRING,home,13883922.625,3440578.458333334,823125.7598100593,349573.56136864086,23085.0
noVIPV,SPRING,work,2295974.041666667,480304.25,246409.99999999997,61602.49999999999,5130.0
noVIPV,SPRING,public,3822286.125,898021.125,1006934.703323131,183079.03696784202,15520.0
noVIPV,SUMMER,home,14429013.75,3553893.5,862123.359564347,360741.7029613287,24377.5
noVIPV,SUMMER,work,2202266.583333333,448455.58333333326,226450.00000000003,56612.50000000001,5000.0
noVIPV,SUMMER,public,3915436.458333333,897222.3333333333,1002620.7427721978,182294.68050403593,15517.5
noVIPV,AUTUMN,home,14117580.75,3575289.291666666,780405.1632721596,364153.0558361497,23462.5
noVIPV,AUTUMN,work,2066924.583333333,412951.5833333334,205120.0,51280.0,4720.0
noVIPV,AUTUMN,public,3867557.624999999,894461.0,1002139.6096358227,182207.20175196772,15197.5
noVIPV,WINTER,home,13993388.791666668,3499051.6666666665,871274.8340247921,356029.05445198086,23422.5
noVIPV,WINTER,work,2098758.041666667,445961.37499999994,228659.99999999997,57164.99999999999,4830.0
noVIPV,WINTER,public,3872999.875,897493.4583333334,1013150.2594574348,184209.1380831699,15490.0
VIPV20_Wp400,SPRING,home,13423486.291666668,3329050.9999999995,789212.8985344917,338690.40191221214,22567.5
VIPV20_Wp400,SPRING,work,2192890.833333333,476256.4583333334,247440.0,61860.0,4987.5
VIPV20_Wp400,SPRING,public,3713131.458333333,866326.2083333333,977009.2856177108,177638.0519304928,15080.0
VIPV20_Wp400,SUMMER,home,13954456.583333334,3421817.916666667,831861.5189416979,347755.1741866047,23230.0
VIPV20_Wp400,SUMMER,work,2012527.3333333333,420345.16666666674,213849.99999999988,53462.49999999997,4642.5
VIPV20_Wp400,SUMMER,public,3805602.458333333,870462.0416666667,980382.7820371952,178251.41491585362,15092.5
VIPV20_Wp400,AUTUMN,home,13997771.625,3545576.791666667,775538.7705414512,360837.93805706967,23455.0
VIPV20_Wp400,AUTUMN,work,1955289.2083333335,395903.5416666667,198740.0,49685.0,4520.0
VIPV20_Wp400,AUTUMN,public,3795819.833333333,877934.5416666666,990238.2790371202,180043.32346129458,15197.5
VIPV20_Wp400,WINTER,home,13806752.500000002,3493692.916666667,868188.8884090371,355767.2269057821,23592.5
VIPV20_Wp400,WINTER,work,2142611.375,432558.3333333335,217990.00000000006,54497.500000000015,4867.5
VIPV20_Wp400,WINTER,public,3772299.7083333335,888209.0,1002021.2000079596,182185.67272871986,15275.0
VIPV20_Wp700,SPRING,home,13170223.375,3298101.875,788138.826250203,335533.0091929004,22185.0
VIPV20_Wp700,SPRING,work,2109924.8333333335,448008.29166666674,232299.99999999994,58074.999999999985,4775.0
VIPV20_Wp700,SPRING,public,3664470.166666667,853370.0833333334,963621.9910727737,175203.99837686794,14787.5
