Scenario,Season,Source_rows,Session_starts_in_window,Unique_vehicles_in_window,Unknown_context_events
noVIPV,SPRING,26350,17494,7230,0
noVIPV,SUMMER,26212,17958,7294,0
noVIPV,AUTUMN,26056,17352,7293,0
noVIPV,WINTER,25488,17497,7253,0
VIPV20_Wp400,SPRING,25772,17054,7139,0
VIPV20_Wp400,SUMMER,25370,17186,7075,0
VIPV20_Wp400,AUTUMN,26151,17269,7193,0
VIPV20_Wp400,WINTER,25506,17494,7177,0
VIPV20_Wp700,SPRING,25130,16699,7056,0
VIPV20_Wp700,SUMMER,25109,17128,7092,0
VIPV20_Wp700,AUTUMN,25590,16978,7151,0
VIPV20_Wp700,WINTER,25519,17362,7116,0
VIPV20_Wp1000,SPRING,24610,16232,7007,0
VIPV20_Wp1000,SUMMER,24662,17015,7056,0
VIPV20_Wp1000,AUTUMN,25603,16884,7124,0
VIPV20_Wp1000,WINTER,25479,17461,7136,0
VIPV50_Wp400,SPRING,24534,16246,6893,0
VIPV50_Wp400,SUMMER,24422,16634,6945,0
VIPV50_Wp400,AUTUMN,25404,16807,7118,0
VIPV50_Wp400,WINTER,25404,17344,7125,0
VIPV50_Wp700,SPRING,23380,15451,6746,0
VIPV50_Wp700,SUMMER,23400,15947,6762,0
VIPV50_Wp700,AUTUMN,25011,16625,7028,0
VIPV50_Wp700,WINTER,25205,17164,7105,0
VIPV50_Wp1000,SPRING,22573,14986,6570,0
VIPV50_Wp1000,SUMMER,22646,15364,6604,0
VIPV50_Wp1000,AUTUMN,24446,16238,6939,0
VIPV50_Wp1000,WINTER,24553,16747,7022,0
VIPV80_Wp400,SPRING,23444,15577,6751,0
VIPV80_Wp400,SUMMER,23483,15965,6715,0
VIPV80_Wp400,AUTUMN,24878,16568,6977,0
VIPV80_Wp400,WINTER,25285,17119,7085,0
VIPV80_Wp700,SPRING,21813,14367,6438,0
VIPV80_Wp700,SUMMER,21778,14792,6458,0
VIPV80_Wp700,AUTUMN,24374,16156,6938,0
VIPV80_Wp700,WINTER,24826,16970,7022,0
VIPV80_Wp1000,SPRING,20451,13466,6127,0
VIPV80_Wp1000,SUMMER,20465,13958,6240,0
VIPV80_Wp1000,AUTUMN,23459,15562,6705,0
VIPV80_Wp1000,WINTER,24256,16485,6905,0
