Scenario,Season,chargerAccessType,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
noVIPV,SPRING,home,9234,23085.0
noVIPV,SPRING,work,2052,5130.0
noVIPV,SPRING,public,6208,15520.0
noVIPV,SUMMER,home,9751,24377.5
noVIPV,SUMMER,work,2000,5000.0
noVIPV,SUMMER,public,6207,15517.5
noVIPV,AUTUMN,home,9385,23462.5
noVIPV,AUTUMN,work,1888,4720.0
noVIPV,AUTUMN,public,6079,15197.5
noVIPV,WINTER,home,9369,23422.5
noVIPV,WINTER,work,1932,4830.0
noVIPV,WINTER,public,6196,15490.0
VIPV20_Wp400,SPRING,home,9027,22567.5
VIPV20_Wp400,SPRING,work,1995,4987.5
VIPV20_Wp400,SPRING,public,6032,15080.0
VIPV20_Wp400,SUMMER,home,9292,23230.0
VIPV20_Wp400,SUMMER,work,1857,4642.5
VIPV20_Wp400,SUMMER,public,6037,15092.5
VIPV20_Wp400,AUTUMN,home,9382,23455.0
VIPV20_Wp400,AUTUMN,work,1808,4520.0
VIPV20_Wp400,AUTUMN,public,6079,15197.5
VIPV20_Wp400,WINTER,home,9437,23592.5
VIPV20_Wp400,WINTER,work,1947,4867.5
VIPV20_Wp400,WINTER,public,6110,15275.0
VIPV20_Wp700,SPRING,home,8874,22185.0
VIPV20_Wp700,SPRING,work,1910,4775.0
VIPV20_Wp700,SPRING,public,5915,14787.5
VIPV20_Wp700,SUMMER,home,9309,23272.5
VIPV20_Wp700,SUMMER,work,1886,4715.0
VIPV20_Wp700,SUMMER,public,5933,14832.5
VIPV20_Wp700,AUTUMN,home,9186,22965.0
VIPV20_Wp700,AUTUMN,work,1773,4432.5
VIPV20_Wp700,AUTUMN,public,6019,15047.5
VIPV20_Wp700,WINTER,home,9349,23372.5
VIPV20_Wp700,WINTER,work,1895,4737.5
VIPV20_Wp700,WINTER,public,6118,15295.0
VIPV20_Wp1000,SPRING,home,8681,21702.5
VIPV20_Wp1000,SPRING,work,1885,4712.5
VIPV20_Wp1000,SPRING,public,5666,14165.0
VIPV20_Wp1000,SUMMER,home,9268,23170.0
VIPV20_Wp1000,SUMMER,work,1834,4585.0
VIPV20_Wp1000,SUMMER,public,5913,14782.5
VIPV20_Wp1000,AUTUMN,home,9044,22610.0
VIPV20_Wp1000,AUTUMN,work,1780,4450.0
VIPV20_Wp1000,AUTUMN,public,6060,15150.0
VIPV20_Wp1000,WINTER,home,9421,23552.5
VIPV20_Wp1000,WINTER,work,1893,4732.5
VIPV20_Wp1000,WINTER,public,6147,15367.5
VIPV50_Wp400,SPRING,home,8598,21495.0
VIPV50_Wp400,SPRING,work,1868,4670.0
VIPV50_Wp400,SPRING,public,5780,14450.0
VIPV50_Wp400,SUMMER,home,9002,22505.0
VIPV50_Wp400,SUMMER,work,1791,4477.5
VIPV50_Wp400,SUMMER,public,5841,14602.5
VIPV50_Wp400,AUTUMN,home,9113,22782.5
VIPV50_Wp400,AUTUMN,work,1753,4382.5
VIPV50_Wp400,AUTUMN,public,5941,14852.5
VIPV50_Wp400,WINTER,home,9352,23380.0
VIPV50_Wp400,WINTER,work,1917,4792.5
VIPV50_Wp400,WINTER,public,6075,15187.5
VIPV50_Wp700,SPRING,home,8268,20670.0
VIPV50_Wp700,SPRING,work,1737,4342.5
VIPV50_Wp700,SPRING,public,5446,13615.0
VIPV50_Wp700,SUMMER,home,8622,21555.0
VIPV50_Wp700,SUMMER,work,1705,4262.5
VIPV50_Wp700,SUMMER,public,5620,14050.0
VIPV50_Wp700,AUTUMN,home,9028,22570.0
VIPV50_Wp700,AUTUMN,work,1702,4255.0
VIPV50_Wp700,AUTUMN,public,5895,14737.5
VIPV50_Wp700,WINTER,home,9281,23202.5
VIPV50_Wp700,WINTER,work,1853,4632.5
VIPV50_Wp700,WINTER,public,6030,15075.0
VIPV50_Wp1000,SPRING,home,7972,19930.0
VIPV50_Wp1000,SPRING,work,1714,4285.0
VIPV50_Wp1000,SPRING,public,5300,13250.0
VIPV50_Wp1000,SUMMER,home,8409,21022.5
VIPV50_Wp1000,SUMMER,work,1604,4010.0
VIPV50_Wp1000,SUMMER,public,5351,13377.5
VIPV50_Wp1000,AUTUMN,home,8848,22120.0
VIPV50_Wp1000,AUTUMN,work,1589,3972.5
VIPV50_Wp1000,AUTUMN,public,5801,14502.5
VIPV50_Wp1000,WINTER,home,9110,22775.0
VIPV50_Wp1000,WINTER,work,1812,4530.0
VIPV50_Wp1000,WINTER,public,5825,14562.5
VIPV80_Wp400,SPRING,home,8379,20947.5
VIPV80_Wp400,SPRING,work,1769,4422.5
VIPV80_Wp400,SPRING,public,5429,13572.5
VIPV80_Wp400,SUMMER,home,8642,21605.0
VIPV80_Wp400,SUMMER,work,1725,4312.5
VIPV80_Wp400,SUMMER,public,5598,13995.0
VIPV80_Wp400,AUTUMN,home,9051,22627.5
VIPV80_Wp400,AUTUMN,work,1773,4432.5
VIPV80_Wp400,AUTUMN,public,5744,14360.0
VIPV80_Wp400,WINTER,home,9216,23040.0
VIPV80_Wp400,WINTER,work,1892,4730.0
VIPV80_Wp400,WINTER,public,6011,15027.5
VIPV80_Wp700,SPRING,home,7683,19207.5
VIPV80_Wp700,SPRING,work,1644,4110.0
VIPV80_Wp700,SPRING,public,5040,12600.0
VIPV80_Wp700,SUMMER,home,8221,20552.5
VIPV80_Wp700,SUMMER,work,1507,3767.5
VIPV80_Wp700,SUMMER,public,5064,12660.0
VIPV80_Wp700,AUTUMN,home,8818,22045.0
VIPV80_Wp700,AUTUMN,work,1713,4282.5
VIPV80_Wp700,AUTUMN,public,5625,14062.5
VIPV80_Wp700,WINTER,home,9104,22760.0
VIPV80_Wp700,WINTER,work,1856,4640.0
VIPV80_Wp700,WINTER,public,6010,15025.0
VIPV80_Wp1000,SPRING,home,7229,18072.5
VIPV80_Wp1000,SPRING,work,1453,3632.5
VIPV80_Wp1000,SPRING,public,4784,11960.0
VIPV80_Wp1000,SUMMER,home,7674,19185.0
VIPV80_Wp1000,SUMMER,work,1439,3597.5
VIPV80_Wp1000,SUMMER,public,4845,12112.5
VIPV80_Wp1000,AUTUMN,home,8490,21225.0
VIPV80_Wp1000,AUTUMN,work,1618,4045.0
VIPV80_Wp1000,AUTUMN,public,5454,13635.0
VIPV80_Wp1000,WINTER,home,8824,22060.0
VIPV80_Wp1000,WINTER,work,1830,4575.0
VIPV80_Wp1000,WINTER,public,5831,14577.5
