Scenario,Season,Period,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
noVIPV,SPRING,Night,2349,5872.5
noVIPV,SPRING,Morning,4834,12085.0
noVIPV,SPRING,Afternoon,7751,19377.5
noVIPV,SPRING,Evening,2560,6400.0
noVIPV,SUMMER,Night,627,1567.5
noVIPV,SUMMER,Morning,4904,12260.0
noVIPV,SUMMER,Afternoon,7692,19230.0
noVIPV,SUMMER,Evening,4735,11837.5
noVIPV,AUTUMN,Night,2370,5925.0
noVIPV,AUTUMN,Morning,4617,11542.5
noVIPV,AUTUMN,Afternoon,7490,18725.0
noVIPV,AUTUMN,Evening,2875,7187.5
noVIPV,WINTER,Night,649,1622.5
noVIPV,WINTER,Morning,4683,11707.5
noVIPV,WINTER,Afternoon,7433,18582.5
noVIPV,WINTER,Evening,4732,11830.0
VIPV20_Wp400,SPRING,Night,2352,5880.0
VIPV20_Wp400,SPRING,Morning,4780,11950.0
VIPV20_Wp400,SPRING,Afternoon,7425,18562.5
VIPV20_Wp400,SPRING,Evening,2497,6242.5
VIPV20_Wp400,SUMMER,Night,597,1492.5
VIPV20_Wp400,SUMMER,Morning,4615,11537.5
VIPV20_Wp400,SUMMER,Afternoon,7335,18337.5
VIPV20_Wp400,SUMMER,Evening,4639,11597.5
VIPV20_Wp400,AUTUMN,Night,2328,5820.0
VIPV20_Wp400,AUTUMN,Morning,4584,11460.0
VIPV20_Wp400,AUTUMN,Afternoon,7587,18967.5
VIPV20_Wp400,AUTUMN,Evening,2770,6925.0
VIPV20_Wp400,WINTER,Night,658,1645.0
VIPV20_Wp400,WINTER,Morning,4657,11642.5
VIPV20_Wp400,WINTER,Afternoon,7443,18607.5
VIPV20_Wp400,WINTER,Evening,4736,11840.0
VIPV20_Wp700,SPRING,Night,2308,5770.0
VIPV20_Wp700,SPRING,Morning,4656,11640.0
VIPV20_Wp700,SPRING,Afternoon,7282,18205.0
VIPV20_Wp700,SPRING,Evening,2453,6132.5
VIPV20_Wp700,SUMMER,Night,579,1447.5
VIPV20_Wp700,SUMMER,Morning,4623,11557.5
VIPV20_Wp700,SUMMER,Afternoon,7448,18620.0
VIPV20_Wp700,SUMMER,Evening,4478,11195.0
VIPV20_Wp700,AUTUMN,Night,2271,5677.5
VIPV20_Wp700,AUTUMN,Morning,4521,11302.5
VIPV20_Wp700,AUTUMN,Afternoon,7474,18685.0
VIPV20_Wp700,AUTUMN,Evening,2712,6780.0
VIPV20_Wp700,WINTER,Night,657,1642.5
VIPV20_Wp700,WINTER,Morning,4687,11717.5
VIPV20_Wp700,WINTER,Afternoon,7350,18375.0
VIPV20_Wp700,WINTER,Evening,4668,11670.0
