Scenario,Season,Period,chargerAccessType,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
noVIPV,SPRING,Night,home,1815,4537.5
noVIPV,SPRING,Night,work,120,300.0
noVIPV,SPRING,Night,public,414,1035.0
noVIPV,SPRING,Morning,home,847,2117.5
noVIPV,SPRING,Morning,work,1671,4177.5
noVIPV,SPRING,Morning,public,2316,5790.0
noVIPV,SPRING,Afternoon,home,4631,11577.5
noVIPV,SPRING,Afternoon,work,251,627.5
noVIPV,SPRING,Afternoon,public,2869,7172.5
noVIPV,SPRING,Evening,home,1941,4852.5
noVIPV,SPRING,Evening,work,10,25.0
noVIPV,SPRING,Evening,public,609,1522.5
noVIPV,SUMMER,Night,home,367,917.5
noVIPV,SUMMER,Night,work,132,330.0
noVIPV,SUMMER,Night,public,128,320.0
noVIPV,SUMMER,Morning,home,955,2387.5
noVIPV,SUMMER,Morning,work,1601,4002.5
noVIPV,SUMMER,Morning,public,2348,5870.0
noVIPV,SUMMER,Afternoon,home,4642,11605.0
noVIPV,SUMMER,Afternoon,work,253,632.5
noVIPV,SUMMER,Afternoon,public,2797,6992.5
noVIPV,SUMMER,Evening,home,3787,9467.5
noVIPV,SUMMER,Evening,work,14,35.0
noVIPV,SUMMER,Evening,public,934,2335.0
noVIPV,AUTUMN,Night,home,1832,4580.0
noVIPV,AUTUMN,Night,work,116,290.0
noVIPV,AUTUMN,Night,public,422,1055.0
noVIPV,AUTUMN,Morning,home,845,2112.5
noVIPV,AUTUMN,Morning,work,1529,3822.5
noVIPV,AUTUMN,Morning,public,2243,5607.5
noVIPV,AUTUMN,Afternoon,home,4531,11327.5
noVIPV,AUTUMN,Afternoon,work,234,585.0
noVIPV,AUTUMN,Afternoon,public,2725,6812.5
noVIPV,AUTUMN,Evening,home,2177,5442.5
noVIPV,AUTUMN,Evening,work,9,22.5
noVIPV,AUTUMN,Evening,public,689,1722.5
noVIPV,WINTER,Night,home,413,1032.5
noVIPV,WINTER,Night,work,110,275.0
noVIPV,WINTER,Night,public,126,315.0
noVIPV,WINTER,Morning,home,840,2100.0
noVIPV,WINTER,Morning,work,1546,3865.0
noVIPV,WINTER,Morning,public,2297,5742.5
noVIPV,WINTER,Afternoon,home,4408,11020.0
noVIPV,WINTER,Afternoon,work,267,667.5
noVIPV,WINTER,Afternoon,public,2758,6895.0
noVIPV,WINTER,Evening,home,3708,9270.0
noVIPV,WINTER,Evening,work,9,22.5
noVIPV,WINTER,Evening,public,1015,2537.5
VIPV20_Wp400,SPRING,Night,home,1816,4540.0
VIPV20_Wp400,SPRING,Night,work,110,275.0
VIPV20_Wp400,SPRING,Night,public,426,1065.0
VIPV20_Wp400,SPRING,Morning,home,898,2245.0
VIPV20_Wp400,SPRING,Morning,work,1611,4027.5
VIPV20_Wp400,SPRING,Morning,public,2271,5677.5
VIPV20_Wp400,SPRING,Afternoon,home,4422,11055.0
VIPV20_Wp400,SPRING,Afternoon,work,258,645.0
VIPV20_Wp400,SPRING,Afternoon,public,2745,6862.5
VIPV20_Wp400,SPRING,Evening,home,1891,4727.5
VIPV20_Wp400,SPRING,Evening,work,16,40.0
VIPV20_Wp400,SPRING,Evening,public,590,1475.0
VIPV20_Wp400,SUMMER,Night,home,362,905.0
VIPV20_Wp400,SUMMER,Night,work,105,262.5
VIPV20_Wp400,SUMMER,Night,public,130,325.0
VIPV20_Wp400,SUMMER,Morning,home,862,2155.0
VIPV20_Wp400,SUMMER,Morning,work,1449,3622.5
VIPV20_Wp400,SUMMER,Morning,public,2304,5760.0
VIPV20_Wp400,SUMMER,Afternoon,home,4418,11045.0
VIPV20_Wp400,SUMMER,Afternoon,work,293,732.5
VIPV20_Wp400,SUMMER,Afternoon,public,2624,6560.0
VIPV20_Wp400,SUMMER,Evening,home,3650,9125.0
VIPV20_Wp400,SUMMER,Evening,work,10,25.0
VIPV20_Wp400,SUMMER,Evening,public,979,2447.5
VIPV20_Wp400,AUTUMN,Night,home,1809,4522.5
VIPV20_Wp400,AUTUMN,Night,work,116,290.0
VIPV20_Wp400,AUTUMN,Night,public,403,1007.5
VIPV20_Wp400,AUTUMN,Morning,home,896,2240.0
VIPV20_Wp400,AUTUMN,Morning,work,1426,3565.0
VIPV20_Wp400,AUTUMN,Morning,public,2262,5655.0
VIPV20_Wp400,AUTUMN,Afternoon,home,4592,11480.0
VIPV20_Wp400,AUTUMN,Afternoon,work,257,642.5
VIPV20_Wp400,AUTUMN,Afternoon,public,2738,6845.0
VIPV20_Wp400,AUTUMN,Evening,home,2085,5212.5
VIPV20_Wp400,AUTUMN,Evening,work,9,22.5
VIPV20_Wp400,AUTUMN,Evening,public,676,1690.0
VIPV20_Wp400,WINTER,Night,home,410,1025.0
VIPV20_Wp400,WINTER,Night,work,116,290.0
VIPV20_Wp400,WINTER,Night,public,132,330.0
VIPV20_Wp400,WINTER,Morning,home,791,1977.5
VIPV20_Wp400,WINTER,Morning,work,1559,3897.5
VIPV20_Wp400,WINTER,Morning,public,2307,5767.5
VIPV20_Wp400,WINTER,Afternoon,home,4466,11165.0
VIPV20_Wp400,WINTER,Afternoon,work,265,662.5
VIPV20_Wp400,WINTER,Afternoon,public,2712,6780.0
VIPV20_Wp400,WINTER,Evening,home,3770,9425.0
VIPV20_Wp400,WINTER,Evening,work,7,17.5
VIPV20_Wp400,WINTER,Evening,public,959,2397.5
VIPV20_Wp700,SPRING,Night,home,1783,4457.5
VIPV20_Wp700,SPRING,Night,work,96,240.0
VIPV20_Wp700,SPRING,Night,public,429,1072.5
VIPV20_Wp700,SPRING,Morning,home,842,2105.0
VIPV20_Wp700,SPRING,Morning,work,1552,3880.0
VIPV20_Wp700,SPRING,Morning,public,2262,5655.0
VIPV20_Wp700,SPRING,Afternoon,home,4399,10997.5
VIPV20_Wp700,SPRING,Afternoon,work,253,632.5
VIPV20_Wp700,SPRING,Afternoon,public,2630,6575.0
VIPV20_Wp700,SPRING,Evening,home,1850,4625.0
VIPV20_Wp700,SPRING,Evening,work,9,22.5
VIPV20_Wp700,SPRING,Evening,public,594,1485.0
VIPV20_Wp700,SUMMER,Night,home,323,807.5
VIPV20_Wp700,SUMMER,Night,work,105,262.5
VIPV20_Wp700,SUMMER,Night,public,151,377.5
VIPV20_Wp700,SUMMER,Morning,home,872,2180.0
VIPV20_Wp700,SUMMER,Morning,work,1509,3772.5
VIPV20_Wp700,SUMMER,Morning,public,2242,5605.0
VIPV20_Wp700,SUMMER,Afternoon,home,4507,11267.5
VIPV20_Wp700,SUMMER,Afternoon,work,262,655.0
VIPV20_Wp700,SUMMER,Afternoon,public,2679,6697.5
VIPV20_Wp700,SUMMER,Evening,home,3607,9017.5
VIPV20_Wp700,SUMMER,Evening,work,10,25.0
VIPV20_Wp700,SUMMER,Evening,public,861,2152.5
VIPV20_Wp700,AUTUMN,Night,home,1758,4395.0
VIPV20_Wp700,AUTUMN,Night,work,104,260.0
VIPV20_Wp700,AUTUMN,Night,public,409,1022.5
VIPV20_Wp700,AUTUMN,Morning,home,847,2117.5
VIPV20_Wp700,AUTUMN,Morning,work,1413,3532.5
VIPV20_Wp700,AUTUMN,Morning,public,2261,5652.5
VIPV20_Wp700,AUTUMN,Afternoon,home,4536,11340.0
VIPV20_Wp700,AUTUMN,Afternoon,work,245,612.5
VIPV20_Wp700,AUTUMN,Afternoon,public,2693,6732.5
VIPV20_Wp700,AUTUMN,Evening,home,2045,5112.5
VIPV20_Wp700,AUTUMN,Evening,work,11,27.5
VIPV20_Wp700,AUTUMN,Evening,public,656,1640.0
VIPV20_Wp700,WINTER,Night,home,392,980.0
VIPV20_Wp700,WINTER,Night,work,117,292.5
VIPV20_Wp700,WINTER,Night,public,148,370.0
VIPV20_Wp700,WINTER,Morning,home,852,2130.0
VIPV20_Wp700,WINTER,Morning,work,1514,3785.0
VIPV20_Wp700,WINTER,Morning,public,2321,5802.5
VIPV20_Wp700,WINTER,Afternoon,home,4402,11005.0
VIPV20_Wp700,WINTER,Afternoon,work,246,615.0
VIPV20_Wp700,WINTER,Afternoon,public,2702,6755.0
VIPV20_Wp700,WINTER,Evening,home,3703,9257.5
VIPV20_Wp700,WINTER,Evening,work,18,45.0
VIPV20_Wp700,WINTER,Evening,public,947,2367.5
VIPV20_Wp1000,SPRING,Night,home,1769,4422.5
VIPV20_Wp1000,SPRING,Night,work,80,200.0
VIPV20_Wp1000,SPRING,Night,public,400,1000.0
VIPV20_Wp1000,SPRING,Morning,home,803,2007.5
VIPV20_Wp1000,SPRING,Morning,work,1517,3792.5
VIPV20_Wp1000,SPRING,Morning,public,2123,5307.5
VIPV20_Wp1000,SPRING,Afternoon,home,4289,10722.5
VIPV20_Wp1000,SPRING,Afternoon,work,275,687.5
VIPV20_Wp1000,SPRING,Afternoon,public,2586,6465.0
VIPV20_Wp1000,SPRING,Evening,home,1820,4550.0
VIPV20_Wp1000,SPRING,Evening,work,13,32.5
VIPV20_Wp1000,SPRING,Evening,public,557,1392.5
VIPV20_Wp1000,SUMMER,Night,home,347,867.5
VIPV20_Wp1000,SUMMER,Night,work,87,217.5
VIPV20_Wp1000,SUMMER,Night,public,145,362.5
VIPV20_Wp1000,SUMMER,Morning,home,857,2142.5
VIPV20_Wp1000,SUMMER,Morning,work,1479,3697.5
VIPV20_Wp1000,SUMMER,Morning,public,2236,5590.0
VIPV20_Wp1000,SUMMER,Afternoon,home,4389,10972.5
VIPV20_Wp1000,SUMMER,Afternoon,work,257,642.5
VIPV20_Wp1000,SUMMER,Afternoon,public,2634,6585.0
VIPV20_Wp1000,SUMMER,Evening,home,3675,9187.5
VIPV20_Wp1000,SUMMER,Evening,work,11,27.5
VIPV20_Wp1000,SUMMER,Evening,public,898,2245.0
VIPV20_Wp1000,AUTUMN,Night,home,1720,4300.0
VIPV20_Wp1000,AUTUMN,Night,work,124,310.0
VIPV20_Wp1000,AUTUMN,Night,public,392,980.0
VIPV20_Wp1000,AUTUMN,Morning,home,844,2110.0
VIPV20_Wp1000,AUTUMN,Morning,work,1379,3447.5
VIPV20_Wp1000,AUTUMN,Morning,public,2302,5755.0
VIPV20_Wp1000,AUTUMN,Afternoon,home,4412,11030.0
VIPV20_Wp1000,AUTUMN,Afternoon,work,264,660.0
VIPV20_Wp1000,AUTUMN,Afternoon,public,2726,6815.0
VIPV20_Wp1000,AUTUMN,Evening,home,2068,5170.0
VIPV20_Wp1000,AUTUMN,Evening,work,13,32.5
VIPV20_Wp1000,AUTUMN,Evening,public,640,1600.0
VIPV20_Wp1000,WINTER,Night,home,399,997.5
VIPV20_Wp1000,WINTER,Night,work,105,262.5
VIPV20_Wp1000,WINTER,Night,public,141,352.5
VIPV20_Wp1000,WINTER,Morning,home,833,2082.5
VIPV20_Wp1000,WINTER,Morning,work,1526,3815.0
VIPV20_Wp1000,WINTER,Morning,public,2304,5760.0
VIPV20_Wp1000,WINTER,Afternoon,home,4466,11165.0
VIPV20_Wp1000,WINTER,Afternoon,work,252,630.0
VIPV20_Wp1000,WINTER,Afternoon,public,2723,6807.5
VIPV20_Wp1000,WINTER,Evening,home,3723,9307.5
