Scenario,Season,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h
noVIPV,SPRING,Night,home,16463.839583333334
noVIPV,SPRING,Night,work,158.34444444444446
noVIPV,SPRING,Night,public,1506.7118055555557
noVIPV,SPRING,Morning,home,1877.09375
noVIPV,SPRING,Morning,work,6545.747222222222
noVIPV,SPRING,Morning,public,4811.860416666666
noVIPV,SPRING,Afternoon,home,18429.577777777777
noVIPV,SPRING,Afternoon,work,1265.2319444444445
noVIPV,SPRING,Afternoon,public,6494.478472222222
noVIPV,SPRING,Evening,home,20572.463194444445
noVIPV,SPRING,Evening,work,35.74722222222222
noVIPV,SPRING,Evening,public,2153.9680555555556
noVIPV,SUMMER,Night,home,11857.657638888888
noVIPV,SUMMER,Night,work,160.60208333333333
noVIPV,SUMMER,Night,public,739.1569444444444
noVIPV,SUMMER,Morning,home,2142.13125
noVIPV,SUMMER,Morning,work,6026.570138888888
noVIPV,SUMMER,Morning,public,4712.609722222222
noVIPV,SUMMER,Afternoon,home,18281.135416666664
noVIPV,SUMMER,Afternoon,work,1213.1402777777778
noVIPV,SUMMER,Afternoon,public,6504.606944444445
noVIPV,SUMMER,Evening,home,26950.634027777778
noVIPV,SUMMER,Evening,work,73.94722222222222
noVIPV,SUMMER,Evening,public,2997.3319444444446
noVIPV,AUTUMN,Night,home,16591.068055555555
noVIPV,AUTUMN,Night,work,154.2423611111111
noVIPV,AUTUMN,Night,public,1573.16875
noVIPV,AUTUMN,Morning,home,1867.8583333333333
noVIPV,AUTUMN,Morning,work,5534.717361111111
noVIPV,AUTUMN,Morning,public,4496.676388888889
noVIPV,AUTUMN,Afternoon,home,17875.2875
noVIPV,AUTUMN,Afternoon,work,1145.3020833333333
noVIPV,AUTUMN,Afternoon,public,6291.884722222222
noVIPV,AUTUMN,Evening,home,23253.940972222223
noVIPV,AUTUMN,Evening,work,48.264583333333334
noVIPV,AUTUMN,Evening,public,2545.953472222222
noVIPV,WINTER,Night,home,12063.400694444445
noVIPV,WINTER,Night,work,136.51180555555555
noVIPV,WINTER,Night,public,780.1805555555554
noVIPV,WINTER,Morning,home,1866.7631944444443
noVIPV,WINTER,Morning,work,5947.913888888888
noVIPV,WINTER,Morning,public,4636.178472222222
noVIPV,WINTER,Afternoon,home,17313.400694444445
noVIPV,WINTER,Afternoon,work,1291.3041666666666
noVIPV,WINTER,Afternoon,public,6240.674305555556
noVIPV,WINTER,Evening,home,27073.963194444445
noVIPV,WINTER,Evening,work,56.959722222222226
noVIPV,WINTER,Evening,public,3301.1909722222217
VIPV20_Wp400,SPRING,Night,home,16360.635416666666
VIPV20_Wp400,SPRING,Night,work,128.80208333333334
VIPV20_Wp400,SPRING,Night,public,1572.4430555555555
VIPV20_Wp400,SPRING,Morning,home,2015.4291666666666
VIPV20_Wp400,SPRING,Morning,work,6419.4326388888885
VIPV20_Wp400,SPRING,Morning,public,4564.177083333333
VIPV20_Wp400,SPRING,Afternoon,home,17868.3625
VIPV20_Wp400,SPRING,Afternoon,work,1319.2368055555557
VIPV20_Wp400,SPRING,Afternoon,public,6289.0472222222215
VIPV20_Wp400,SPRING,Evening,home,19239.75625
VIPV20_Wp400,SPRING,Evening,work,70.13611111111112
VIPV20_Wp400,SPRING,Evening,public,2013.1027777777776
VIPV20_Wp400,SUMMER,Night,home,11377.063888888888
VIPV20_Wp400,SUMMER,Night,work,125.33888888888889
VIPV20_Wp400,SUMMER,Night,public,758.5041666666666
VIPV20_Wp400,SUMMER,Morning,home,2003.838888888889
VIPV20_Wp400,SUMMER,Morning,work,5421.534722222223
VIPV20_Wp400,SUMMER,Morning,public,4660.797916666666
VIPV20_Wp400,SUMMER,Afternoon,home,17630.57222222222
VIPV20_Wp400,SUMMER,Afternoon,work,1404.5083333333332
