Scenario,chargerAccessType,Fullscale_avg_daily_sessions,Annual_total_sessions
noVIPV,home,23588.116438356163,8609662.5
noVIPV,work,4921.041095890411,1796180.0
noVIPV,public,15431.568493150686,5632522.5
VIPV20_Wp400,home,23208.49315068493,8471100.0
VIPV20_Wp400,work,4754.397260273972,1735354.9999999998
VIPV20_Wp400,public,15160.527397260274,5533592.5
VIPV20_Wp700,home,22946.383561643837,8375430.000000001
VIPV20_Wp700,work,4665.239726027397,1702812.5
VIPV20_Wp700,public,14988.801369863013,5470912.5
VIPV20_Wp1000,home,22754.80821917808,8305505.0
VIPV20_Wp1000,work,4619.8493150684935,1686245.0000000002
VIPV20_Wp1000,public,14862.72602739726,5424895.0
VIPV50_Wp400,home,22535.36301369863,8225407.499999999
VIPV50_Wp400,work,4580.006849315068,1671702.5
VIPV50_Wp400,public,14770.63698630137,5391282.5
VIPV50_Wp700,home,21991.219178082192,8026795.0
VIPV50_Wp700,work,4372.027397260274,1595789.9999999998
VIPV50_Wp700,public,14364.5,5243042.5
VIPV50_Wp1000,home,21452.87671232877,7830300.000000001
VIPV50_Wp1000,work,4198.184931506849,1532337.5
VIPV50_Wp1000,public,13918.034246575342,5080082.5
VIPV80_Wp400,home,22048.034246575342,8047532.5
VIPV80_Wp400,work,4473.08904109589,1632677.4999999998
VIPV80_Wp400,public,14234.09589041096,5195445.0
VIPV80_Wp700,home,21129.904109589042,7712415.000000001
VIPV80_Wp700,work,4197.36301369863,1532037.5
VIPV80_Wp700,public,13577.691780821919,4955857.5
VIPV80_Wp1000,home,20122.095890410958,7344564.999999999
VIPV80_Wp1000,work,3958.917808219178,1445005.0
VIPV80_Wp1000,public,13061.452054794521,4767430.0
