Scenario,Period,Fullscale_avg_daily_sessions,Annual_total_sessions
noVIPV,Night,3752.5479452054797,1369680.0
noVIPV,Morning,11900.77397260274,4343782.5
noVIPV,Afternoon,18981.616438356163,6928289.999999999
noVIPV,Evening,9305.787671232876,3396612.5
VIPV20_Wp400,Night,3714.904109589041,1355940.0
VIPV20_Wp400,Morning,11648.04109589041,4251535.0
VIPV20_Wp400,Afternoon,18617.85616438356,6795517.499999999
VIPV20_Wp400,Evening,9142.616438356165,3337055.0
VIPV20_Wp700,Night,3639.6917808219177,1328487.5
VIPV20_Wp700,Morning,11554.171232876712,4217272.5
VIPV20_Wp700,Afternoon,18471.19178082192,6741985.0
VIPV20_Wp700,Evening,8935.369863013699,3261410.0
VIPV20_Wp1000,Night,3573.301369863014,1304255.0
VIPV20_Wp1000,Morning,11375.513698630137,4152062.5
VIPV20_Wp1000,Afternoon,18293.369863013697,6677079.999999999
VIPV20_Wp1000,Evening,8995.198630136987,3283247.5000000005
VIPV50_Wp400,Night,3568.568493150685,1302527.5
VIPV50_Wp400,Morning,11396.780821917808,4159825.0
VIPV50_Wp400,Afternoon,18095.904109589042,6605005.000000001
VIPV50_Wp400,Evening,8824.753424657534,3221035.0
VIPV50_Wp700,Night,3456.671232876712,1261685.0
VIPV50_Wp700,Morning,10902.424657534246,3979384.9999999995
VIPV50_Wp700,Afternoon,17683.45205479452,6454460.0
VIPV50_Wp700,Evening,8685.198630136987,3170097.5000000005
VIPV50_Wp1000,Night,3414.609589041096,1246332.5
VIPV50_Wp1000,Morning,10567.171232876712,3857017.4999999995
VIPV50_Wp1000,Afternoon,17190.445205479453,6274512.5
VIPV50_Wp1000,Evening,8396.869863013699,3064857.5
VIPV80_Wp400,Night,3546.9657534246576,1294642.5
VIPV80_Wp400,Morning,10985.356164383562,4009655.0
VIPV80_Wp400,Afternoon,17580.287671232876,6416805.0
VIPV80_Wp400,Evening,8642.609589041096,3154552.5
VIPV80_Wp700,Night,3331.671232876712,1216060.0
VIPV80_Wp700,Morning,10376.130136986301,3787287.5
VIPV80_Wp700,Afternoon,16874.821917808218,6159310.0
VIPV80_Wp700,Evening,8322.335616438357,3037652.5
VIPV80_Wp1000,Night,3145.3424657534247,1148050.0
VIPV80_Wp1000,Morning,9843.342465753425,3592820.0
VIPV80_Wp1000,Afternoon,16159.054794520547,5898055.0
VIPV80_Wp1000,Evening,7994.726027397261,2918075.0
