Scenario,Period,chargerAccessType,Fullscale_avg_daily_sessions,Annual_total_sessions
noVIPV,Night,home,2771.4109589041095,1011565.0
noVIPV,Night,work,298.90410958904107,109099.99999999999
noVIPV,Night,public,682.2328767123288,249015.0
noVIPV,Morning,home,2179.9931506849316,795697.5
noVIPV,Morning,work,3967.828767123288,1448257.5
noVIPV,Morning,public,5752.95205479452,2099827.5
noVIPV,Afternoon,home,11384.63698630137,4155392.5
noVIPV,Afternoon,work,628.027397260274,229230.00000000003
noVIPV,Afternoon,public,6968.95205479452,2543667.5
noVIPV,Evening,home,7252.075342465753,2647007.5
noVIPV,Evening,work,26.28082191780822,9592.5
noVIPV,Evening,public,2027.4315068493152,740012.5
VIPV20_Wp400,Night,home,2752.705479452055,1004737.5000000001
VIPV20_Wp400,Night,work,279.28767123287673,101940.00000000001
VIPV20_Wp400,Night,public,682.9109589041096,249262.50000000003
VIPV20_Wp400,Morning,home,2155.109589041096,786615.0000000001
VIPV20_Wp400,Morning,work,3778.054794520548,1378990.0
VIPV20_Wp400,Morning,public,5714.876712328767,2085930.0
VIPV20_Wp400,Afternoon,home,11185.561643835616,4082729.9999999995
VIPV20_Wp400,Afternoon,work,670.7465753424658,244822.50000000003
VIPV20_Wp400,Afternoon,public,6761.54794520548,2467965.0
VIPV20_Wp400,Evening,home,7115.1164383561645,2597017.5
VIPV20_Wp400,Evening,work,26.30821917808219,9602.5
VIPV20_Wp400,Evening,public,2001.1917808219177,730435.0
VIPV20_Wp700,Night,home,2664.4520547945203,972524.9999999999
VIPV20_Wp700,Night,work,263.6027397260274,96215.0
VIPV20_Wp700,Night,public,711.6369863013699,259747.50000000003
VIPV20_Wp700,Morning,home,2133.1849315068494,778612.5
VIPV20_Wp700,Morning,work,3742.8424657534247,1366137.5
VIPV20_Wp700,Morning,public,5678.143835616438,2072522.5
VIPV20_Wp700,Afternoon,home,11152.794520547945,4070769.9999999995
VIPV20_Wp700,Afternoon,work,628.8698630136986,229537.5
VIPV20_Wp700,Afternoon,public,6689.527397260274,2441677.5
VIPV20_Wp700,Evening,home,6995.95205479452,2553522.5
VIPV20_Wp700,Evening,work,29.924657534246574,10922.5
VIPV20_Wp700,Evening,public,1909.4931506849316,696965.0
VIPV20_Wp1000,Night,home,2651.3835616438355,967755.0
VIPV20_Wp1000,Night,work,247.24657534246575,90245.0
VIPV20_Wp1000,Night,public,674.6712328767123,246255.0
VIPV20_Wp1000,Morning,home,2085.5753424657532,761234.9999999999
VIPV20_Wp1000,Morning,work,3688.0890410958905,1346152.5
VIPV20_Wp1000,Morning,public,5601.8493150684935,2044675.0000000002
VIPV20_Wp1000,Afternoon,home,10971.287671232876,4004520.0
VIPV20_Wp1000,Afternoon,work,655.1232876712329,239120.0
VIPV20_Wp1000,Afternoon,public,6666.958904109589,2433440.0
VIPV20_Wp1000,Evening,home,7046.561643835616,2571995.0
VIPV20_Wp1000,Evening,work,29.39041095890411,10727.5
VIPV20_Wp1000,Evening,public,1919.2465753424658,700525.0
VIPV50_Wp400,Night,home,2658.150684931507,970225.0
VIPV50_Wp400,Night,work,262.7054794520548,95887.50000000001
VIPV50_Wp400,Night,public,647.7123287671233,236415.0
VIPV50_Wp400,Morning,home,2103.931506849315,767935.0
VIPV50_Wp400,Morning,work,3691.3630136986303,1347347.5
VIPV50_Wp400,Morning,public,5601.486301369863,2044542.5
VIPV50_Wp400,Afternoon,home,10926.520547945205,3988180.0
VIPV50_Wp400,Afternoon,work,599.7054794520548,218892.5
VIPV50_Wp400,Afternoon,public,6569.678082191781,2397932.5
VIPV50_Wp400,Evening,home,6846.760273972603,2499067.5
