Scenario,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h,Annual_total_actual_charging_h
noVIPV,Night,home,14249.509589041096,5201071.0
noVIPV,Night,work,152.50739155251142,55665.19791666667
noVIPV,Night,public,1150.669948630137,419994.53125
noVIPV,Morning,home,1939.0479337899544,707752.4958333333
noVIPV,Morning,work,6015.410211187214,2195624.7270833333
noVIPV,Morning,public,4664.9448401826485,1702704.8666666667
noVIPV,Afternoon,home,17978.747503805174,6562242.838888888
noVIPV,Afternoon,work,1228.6304356925418,448450.10902777774
noVIPV,Afternoon,public,6383.939878234399,2330138.0555555555
noVIPV,Evening,home,24451.754138127853,8924890.260416666
noVIPV,Evening,work,53.72696156773211,19610.34097222222
noVIPV,Evening,public,2747.146721841704,1002708.5534722221
VIPV20_Wp400,Night,home,14042.043491248098,5125345.874305556
VIPV20_Wp400,Night,work,136.18207762557077,49706.45833333333
VIPV20_Wp400,Night,public,1148.9562442922374,419369.0291666667
VIPV20_Wp400,Morning,home,1939.7603919330288,708012.5430555556
VIPV20_Wp400,Morning,work,5707.582450532725,2083267.5944444444
VIPV20_Wp400,Morning,public,4603.231914003044,1680179.648611111
VIPV20_Wp400,Afternoon,home,17739.33802130898,6474858.377777778
VIPV20_Wp400,Afternoon,work,1297.837049086758,473710.5229166667
VIPV20_Wp400,Afternoon,public,6171.435456621004,2252573.9416666664
VIPV20_Wp400,Evening,home,23729.07685692542,8661113.052777778
VIPV20_Wp400,Evening,work,47.65969178082192,17395.787500000002
VIPV20_Wp400,Evening,public,2670.6856221461185,974800.2520833332
VIPV20_Wp700,Night,home,13778.793268645359,5029259.543055556
VIPV20_Wp700,Night,work,126.03020357686454,46001.024305555555
VIPV20_Wp700,Night,public,1142.8440106544901,417138.0638888889
VIPV20_Wp700,Morning,home,1934.6389060121762,706143.2006944444
VIPV20_Wp700,Morning,work,5757.657315449011,2101544.920138889
VIPV20_Wp700,Morning,public,4635.084689878235,1691805.9118055557
VIPV20_Wp700,Afternoon,home,17569.32389459665,6412803.221527778
