Scenario,chargerAccessType,Fullscale_avg_daily_sessions,Annual_total_sessions,noVIPV_value,Absolute_change_vs_noVIPV,Change_vs_noVIPV_pct,Reduction_vs_noVIPV_pct
noVIPV,home,23588.116438356163,8609662.5,23588.116438356163,0.0,0.0,-0.0
noVIPV,work,4921.041095890411,1796180.0,4921.041095890411,0.0,0.0,-0.0
noVIPV,public,15431.568493150686,5632522.5,15431.568493150686,0.0,0.0,-0.0
VIPV20_Wp400,home,23208.49315068493,8471100.0,23588.116438356163,-379.6232876712311,-1.6093836430870474,1.6093836430870474
VIPV20_Wp400,work,4754.397260273972,1735354.9999999998,4921.041095890411,-166.643835616439,-3.386353260809063,3.386353260809063
VIPV20_Wp400,public,15160.527397260274,5533592.5,15431.568493150686,-271.0410958904122,-1.7564066543897594,1.7564066543897594
VIPV20_Wp700,home,22946.383561643837,8375430.000000001,23588.116438356163,-641.7328767123254,-2.7205770261029256,2.7205770261029256
VIPV20_Wp700,work,4665.239726027397,1702812.5,4921.041095890411,-255.80136986301386,-5.198114888262872,5.198114888262872
VIPV20_Wp700,public,14988.801369863013,5470912.5,15431.568493150686,-442.7671232876728,-2.8692295503480114,2.8692295503480114
VIPV20_Wp1000,home,22754.80821917808,8305505.0,23588.116438356163,-833.3082191780813,-3.532745911933246,3.532745911933246
VIPV20_Wp1000,work,4619.8493150684935,1686245.0000000002,4921.041095890411,-301.19178082191775,-6.120489037846985,6.120489037846985
VIPV20_Wp1000,public,14862.72602739726,5424895.0,15431.568493150686,-568.8424657534251,-3.6862258428617047,3.6862258428617047
VIPV50_Wp400,home,22535.36301369863,8225407.499999999,23588.116438356163,-1052.7534246575342,-4.463066932066153,4.463066932066153
VIPV50_Wp400,work,4580.006849315068,1671702.5,4921.041095890411,-341.0342465753429,-6.9301239296729795,6.9301239296729795
VIPV50_Wp400,public,14770.63698630137,5391282.5,15431.568493150686,-660.9315068493161,-4.28298333473147,4.28298333473147
VIPV50_Wp700,home,21991.219178082192,8026795.0,23588.116438356163,-1596.8972602739705,-6.7699227466814085,6.7699227466814085
VIPV50_Wp700,work,4372.027397260274,1595789.9999999998,4921.041095890411,-549.0136986301377,-11.156454252914532,11.156454252914532
VIPV50_Wp700,public,14364.5,5243042.5,15431.568493150686,-1067.0684931506858,-6.914841440935216,6.914841440935216
VIPV50_Wp1000,home,21452.87671232877,7830300.000000001,23588.116438356163,-2135.2397260273938,-9.052184101293156,9.052184101293156
VIPV50_Wp1000,work,4198.184931506849,1532337.5,4921.041095890411,-722.8561643835619,-14.68909018027147,14.68909018027147
VIPV50_Wp1000,public,13918.034246575342,5080082.5,15431.568493150686,-1513.5342465753438,-9.808038938148945,9.808038938148945
VIPV80_Wp400,home,22048.034246575342,8047532.5,23588.116438356163,-1540.0821917808207,-6.529059646647004,6.529059646647004
VIPV80_Wp400,work,4473.08904109589,1632677.4999999998,4921.041095890411,-447.95205479452125,-9.102790366221662,9.102790366221662
VIPV80_Wp400,public,14234.09589041096,5195445.0,15431.568493150686,-1197.4726027397264,-7.75988910829917,7.75988910829917
VIPV80_Wp700,home,21129.904109589042,7712415.000000001,23588.116438356163,-2458.21232876712,-10.421401535774473,10.421401535774473
VIPV80_Wp700,work,4197.36301369863,1532037.5,4921.041095890411,-723.678082191781,-14.705792292531932,14.705792292531932
VIPV80_Wp700,public,13577.691780821919,4955857.5,15431.568493150686,-1853.876712328767,-12.013533900663512,12.013533900663512
VIPV80_Wp1000,home,20122.095890410958,7344564.999999999,23588.116438356163,-3466.020547945205,-14.693926736384846,14.693926736384846
VIPV80_Wp1000,work,3958.917808219178,1445005.0,4921.041095890411,-962.1232876712334,-19.551214243561347,19.551214243561347
VIPV80_Wp1000,public,13061.452054794521,4767430.0,15431.568493150686,-2370.1164383561645,-15.35888227699046,15.35888227699046
