Scenario,Period,Fullscale_avg_daily_sessions,Annual_total_sessions,noVIPV_value,Absolute_change_vs_noVIPV,Change_vs_noVIPV_pct,Reduction_vs_noVIPV_pct
noVIPV,Night,3752.5479452054797,1369680.0,3752.5479452054797,0.0,0.0,-0.0
noVIPV,Morning,11900.77397260274,4343782.5,11900.77397260274,0.0,0.0,-0.0
noVIPV,Afternoon,18981.616438356163,6928289.999999999,18981.616438356163,0.0,0.0,-0.0
noVIPV,Evening,9305.787671232876,3396612.5,9305.787671232876,0.0,0.0,-0.0
VIPV20_Wp400,Night,3714.904109589041,1355940.0,3752.5479452054797,-37.64383561643854,-1.0031540213772607,1.0031540213772607
VIPV20_Wp400,Morning,11648.04109589041,4251535.0,11900.77397260274,-252.73287671232902,-2.1236675639261424,2.1236675639261424
VIPV20_Wp400,Afternoon,18617.85616438356,6795517.499999999,18981.616438356163,-363.7602739726026,-1.9163819643808206,1.9163819643808206
VIPV20_Wp400,Evening,9142.616438356165,3337055.0,9305.787671232876,-163.17123287671166,-1.7534381681749025,1.7534381681749025
VIPV20_Wp700,Night,3639.6917808219177,1328487.5,3752.5479452054797,-112.85616438356192,-3.0074542958939388,3.0074542958939388
VIPV20_Wp700,Morning,11554.171232876712,4217272.5,11900.77397260274,-346.6027397260277,-2.9124386407468634,2.9124386407468634
VIPV20_Wp700,Afternoon,18471.19178082192,6741985.0,18981.616438356163,-510.42465753424403,-2.6890473695529358,2.6890473695529358
VIPV20_Wp700,Evening,8935.369863013699,3261410.0,9305.787671232876,-370.41780821917746,-3.980509993412548,3.980509993412548
VIPV20_Wp1000,Night,3573.301369863014,1304255.0,3752.5479452054797,-179.2465753424658,-4.776663162198471,4.776663162198471
VIPV20_Wp1000,Morning,11375.513698630137,4152062.5,11900.77397260274,-525.2602739726026,-4.413664818622939,4.413664818622939
VIPV20_Wp1000,Afternoon,18293.369863013697,6677079.999999999,18981.616438356163,-688.2465753424658,-3.625858617350025,3.625858617350025
VIPV20_Wp1000,Evening,8995.198630136987,3283247.5000000005,9305.787671232876,-310.5890410958891,-3.3375900253561315,3.3375900253561315
VIPV50_Wp400,Night,3568.568493150685,1302527.5,3752.5479452054797,-183.97945205479482,-4.902787512411666,4.902787512411666
VIPV50_Wp400,Morning,11396.780821917808,4159825.0,11900.77397260274,-503.9931506849316,-4.234961119715364,4.234961119715364
VIPV50_Wp400,Afternoon,18095.904109589042,6605005.000000001,18981.616438356163,-885.7123287671202,-4.666158604792797,4.666158604792797
VIPV50_Wp400,Evening,8824.753424657534,3221035.0,9305.787671232876,-481.03424657534197,-5.169194307563781,5.169194307563781
VIPV50_Wp700,Night,3456.671232876712,1261685.0,3752.5479452054797,-295.87671232876755,-7.8846883943694985,7.8846883943694985
VIPV50_Wp700,Morning,10902.424657534246,3979384.9999999995,11900.77397260274,-998.3493150684935,-8.388944428041693,8.388944428041693
VIPV50_Wp700,Afternoon,17683.45205479452,6454460.0,18981.616438356163,-1298.1643835616414,-6.83906129795374,6.83906129795374
VIPV50_Wp700,Evening,8685.198630136987,3170097.5000000005,9305.787671232876,-620.5890410958891,-6.668850214735992,6.668850214735992
VIPV50_Wp1000,Night,3414.609589041096,1246332.5,3752.5479452054797,-337.93835616438355,-9.00557064423807,9.00557064423807
VIPV50_Wp1000,Morning,10567.171232876712,3857017.4999999995,11900.77397260274,-1333.6027397260277,-11.206016875844961,11.206016875844961
VIPV50_Wp1000,Afternoon,17190.445205479453,6274512.5,18981.616438356163,-1791.1712328767098,-9.436347208329893,9.436347208329893
VIPV50_Wp1000,Evening,8396.869863013699,3064857.5,9305.787671232876,-908.9178082191775,-9.767231322383694,9.767231322383694
VIPV80_Wp400,Night,3546.9657534246576,1294642.5,3752.5479452054797,-205.5821917808221,-5.478469423514986,5.478469423514986
VIPV80_Wp400,Morning,10985.356164383562,4009655.0,11900.77397260274,-915.4178082191775,-7.692086332591464,7.692086332591464
VIPV80_Wp400,Afternoon,17580.287671232876,6416805.0,18981.616438356163,-1401.3287671232865,-7.382557600793263,7.382557600793263
VIPV80_Wp400,Evening,8642.609589041096,3154552.5,9305.787671232876,-663.17808219178,-7.126512076370198,7.126512076370198
VIPV80_Wp700,Night,3331.671232876712,1216060.0,3752.5479452054797,-420.87671232876755,-11.215758425325633,11.215758425325633
VIPV80_Wp700,Morning,10376.130136986301,3787287.5,11900.77397260274,-1524.643835616438,-12.811299829123579,12.811299829123579
VIPV80_Wp700,Afternoon,16874.821917808218,6159310.0,18981.616438356163,-2106.7945205479446,-11.09913124306286,11.09913124306286
VIPV80_Wp700,Evening,8322.335616438357,3037652.5,9305.787671232876,-983.4520547945194,-10.568176381615496,10.568176381615496
VIPV80_Wp1000,Night,3145.3424657534247,1148050.0,3752.5479452054797,-607.205479452055,-16.181151801880738,16.181151801880738
VIPV80_Wp1000,Morning,9843.342465753425,3592820.0,11900.77397260274,-2057.4315068493142,-17.28821597306034,17.28821597306034
VIPV80_Wp1000,Afternoon,16159.054794520547,5898055.0,18981.616438356163,-2822.5616438356155,-14.869975130948616,14.869975130948616
VIPV80_Wp1000,Evening,7994.726027397261,2918075.0,9305.787671232876,-1311.0616438356155,-14.08866922558872,14.08866922558872
