Scenario,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h,Annual_total_actual_charging_h,noVIPV_value,Absolute_change_vs_noVIPV,Change_vs_noVIPV_pct,Reduction_vs_noVIPV_pct
noVIPV,Night,home,14249.509589041096,5201071.0,14249.509589041096,0.0,0.0,-0.0
noVIPV,Night,work,152.50739155251142,55665.19791666667,152.50739155251142,0.0,0.0,-0.0
noVIPV,Night,public,1150.669948630137,419994.53125,1150.669948630137,0.0,0.0,-0.0
noVIPV,Morning,home,1939.0479337899544,707752.4958333333,1939.0479337899544,0.0,0.0,-0.0
noVIPV,Morning,work,6015.410211187214,2195624.7270833333,6015.410211187214,0.0,0.0,-0.0
noVIPV,Morning,public,4664.9448401826485,1702704.8666666667,4664.9448401826485,0.0,0.0,-0.0
noVIPV,Afternoon,home,17978.747503805174,6562242.838888888,17978.747503805174,0.0,0.0,-0.0
noVIPV,Afternoon,work,1228.6304356925418,448450.10902777774,1228.6304356925418,0.0,0.0,-0.0
noVIPV,Afternoon,public,6383.939878234399,2330138.0555555555,6383.939878234399,0.0,0.0,-0.0
noVIPV,Evening,home,24451.754138127853,8924890.260416666,24451.754138127853,0.0,0.0,-0.0
noVIPV,Evening,work,53.72696156773211,19610.34097222222,53.72696156773211,0.0,0.0,-0.0
noVIPV,Evening,public,2747.146721841704,1002708.5534722221,2747.146721841704,0.0,0.0,-0.0
VIPV20_Wp400,Night,home,14042.043491248098,5125345.874305556,14249.509589041096,-207.46609779299797,-1.4559525469743493,1.4559525469743493
VIPV20_Wp400,Night,work,136.18207762557077,49706.45833333333,152.50739155251142,-16.32531392694065,-10.70460504291001,10.70460504291001
VIPV20_Wp400,Night,public,1148.9562442922374,419369.0291666667,1150.669948630137,-1.7137043378995713,-0.14893100666613585,0.14893100666613585
VIPV20_Wp400,Morning,home,1939.7603919330288,708012.5430555556,1939.0479337899544,0.7124581430744001,0.03674267823188204,-0.03674267823188204
VIPV20_Wp400,Morning,work,5707.582450532725,2083267.5944444444,6015.410211187214,-307.8277606544898,-5.1173195151679645,5.1173195151679645
VIPV20_Wp400,Morning,public,4603.231914003044,1680179.648611111,4664.9448401826485,-61.71292617960444,-1.3229079505512045,1.3229079505512045
VIPV20_Wp400,Afternoon,home,17739.33802130898,6474858.377777778,17978.747503805174,-239.40948249619396,-1.3316249224008698,1.3316249224008698
VIPV20_Wp400,Afternoon,work,1297.837049086758,473710.5229166667,1228.6304356925418,69.20661339421622,5.632825899775676,-5.632825899775676
VIPV20_Wp400,Afternoon,public,6171.435456621004,2252573.9416666664,6383.939878234399,-212.5044216133947,-3.32873469466581,3.32873469466581
VIPV20_Wp400,Evening,home,23729.07685692542,8661113.052777778,24451.754138127853,-722.6772812024319,-2.9555232607036332,2.9555232607036332
VIPV20_Wp400,Evening,work,47.65969178082192,17395.787500000002,53.72696156773211,-6.067269786910188,-11.292784125268923,11.292784125268923
VIPV20_Wp400,Evening,public,2670.6856221461185,974800.2520833332,2747.146721841704,-76.46109969558574,-2.7832914451808293,2.7832914451808293
VIPV20_Wp700,Night,home,13778.793268645359,5029259.543055556,14249.509589041096,-470.71632039573706,-3.3033861092156602,3.3033861092156602
VIPV20_Wp700,Night,work,126.03020357686454,46001.024305555555,152.50739155251142,-26.477187975646885,-17.361248990040096,17.361248990040096
VIPV20_Wp700,Night,public,1142.8440106544901,417138.0638888889,1150.669948630137,-7.825937975646866,-0.680120132185913,0.680120132185913
VIPV20_Wp700,Morning,home,1934.6389060121762,706143.2006944444,1939.0479337899544,-4.409027777778192,-0.22738106165124827,0.22738106165124827
VIPV20_Wp700,Morning,work,5757.657315449011,2101544.920138889,6015.410211187214,-257.75289573820373,-4.284876453792718,4.284876453792718
VIPV20_Wp700,Morning,public,4635.084689878235,1691805.9118055557,4664.9448401826485,-29.860150304413764,-0.6400965354875372,0.6400965354875372
VIPV20_Wp700,Afternoon,home,17569.32389459665,6412803.221527778,17978.747503805174,-409.423609208523,-2.2772643596105295,2.2772643596105295
VIPV20_Wp700,Afternoon,work,1198.6566248097413,437509.66805555555,1228.6304356925418,-29.973810882800535,-2.4396116205525384,2.4396116205525384
VIPV20_Wp700,Afternoon,public,6113.984942922374,2231604.5041666664,6383.939878234399,-269.95493531202465,-4.228657231444446,4.228657231444446
VIPV20_Wp700,Evening,home,23498.329404490105,8576890.232638888,24451.754138127853,-953.4247336377484,-3.899207918793295,3.899207918793295
VIPV20_Wp700,Evening,work,55.09483257229832,20109.61388888889,53.72696156773211,1.3678710045662115,2.5459675452552326,-2.5459675452552326
VIPV20_Wp700,Evening,public,2575.6922983257227,940127.6888888888,2747.146721841704,-171.4544235159815,-6.241181883472076,6.241181883472076
VIPV20_Wp1000,Night,home,13681.1487652207,4993619.299305555,14249.509589041096,-568.360823820396,-3.988634277333352,3.988634277333352
VIPV20_Wp1000,Night,work,131.7592085235921,48092.11111111112,152.50739155251142,-20.74818302891933,-13.604706511405583,13.604706511405583
VIPV20_Wp1000,Night,public,1098.2489136225267,400860.8534722223,1150.669948630137,-52.42103500761027,-4.555696885107418,4.555696885107418
VIPV20_Wp1000,Morning,home,1879.5896175799087,686050.2104166667,1939.0479337899544,-59.45831621004572,-3.066366497388841,3.066366497388841
VIPV20_Wp1000,Morning,work,5589.804315068493,2040278.5750000002,6015.410211187214,-425.6058961187209,-7.075259727544373,7.075259727544373
VIPV20_Wp1000,Morning,public,4540.058293378995,1657121.277083333,4664.9448401826485,-124.8865468036538,-2.677128049358973,2.677128049358973
VIPV20_Wp1000,Afternoon,home,17318.476023592084,6321243.74861111,17978.747503805174,-660.2714802130904,-3.6725110026343324,3.6725110026343324
VIPV20_Wp1000,Afternoon,work,1249.926719939117,456223.2527777777,1228.6304356925418,21.29628424657517,1.7333352347381088,-1.7333352347381088
VIPV20_Wp1000,Afternoon,public,6027.300643074582,2199964.734722222,6383.939878234399,-356.63923515981696,-5.586506796151915,5.586506796151915
VIPV20_Wp1000,Evening,home,23500.441563926943,8577661.170833334,24451.754138127853,-951.3125742009106,-3.8905698496187635,3.8905698496187635
VIPV20_Wp1000,Evening,work,69.16385464231355,25244.806944444448,53.72696156773211,15.436893074581441,28.732116286011397,-28.732116286011397
VIPV20_Wp1000,Evening,public,2588.7534151445966,944894.9965277778,2747.146721841704,-158.39330669710762,-5.765738882374647,5.765738882374647
VIPV50_Wp400,Night,home,13676.11276065449,4991781.157638889,14249.509589041096,-573.3968283866052,-4.023975876528333,4.023975876528333
VIPV50_Wp400,Night,work,134.1711815068493,48972.48125,152.50739155251142,-18.336210045662114,-12.023161539254694,12.023161539254694
VIPV50_Wp400,Night,public,1099.4460882800608,401297.8222222222,1150.669948630137,-51.223860350076166,-4.451655351828537,4.451655351828537
VIPV50_Wp400,Morning,home,1885.7498877473363,688298.7090277778,1939.0479337899544,-53.298046042618125,-2.7486708870803804,2.7486708870803804
VIPV50_Wp400,Morning,work,5586.398519786911,2039035.4597222223,6015.410211187214,-429.0116914003038,-7.131877566760873,7.131877566760873
VIPV50_Wp400,Morning,public,4487.2539345509895,1637847.6861111112,4664.9448401826485,-177.690905631659,-3.809067667876257,3.809067667876257
VIPV50_Wp400,Afternoon,home,17279.978474124808,6307192.1430555545,17978.747503805174,-698.7690296803667,-3.8866390972589904,3.8866390972589904
VIPV50_Wp400,Afternoon,work,1177.1597850076103,429663.32152777776,1228.6304356925418,-51.47065068493157,-4.189270360693866,4.189270360693866
VIPV50_Wp400,Afternoon,public,5948.9748820395735,2171375.831944444,6383.939878234399,-434.9649961948253,-6.813425635128682,6.813425635128682
VIPV50_Wp400,Evening,home,23039.656995814308,8409474.803472223,24451.754138127853,-1412.0971423135452,-5.775034111404093,5.775034111404093
VIPV50_Wp400,Evening,work,56.515743911719944,20628.24652777778,53.72696156773211,2.788782343987833,5.190657097688451,-5.190657097688451
VIPV50_Wp400,Evening,public,2642.5838907914767,964543.1201388891,2747.146721841704,-104.56283105022749,-3.806233945165037,3.806233945165037
VIPV50_Wp700,Night,home,13067.290308219179,4769560.9625,14249.509589041096,-1182.219280821917,-8.29656117941862,8.29656117941862
VIPV50_Wp700,Night,work,117.95629566210044,43054.04791666666,152.50739155251142,-34.55109589041098,-22.65535823456421,22.65535823456421
VIPV50_Wp700,Night,public,1096.0264973363776,400049.6715277778,1150.669948630137,-54.643451293759426,-4.748837958166197,4.748837958166197
VIPV50_Wp700,Morning,home,1801.7526445966514,657639.7152777778,1939.0479337899544,-137.295289193303,-7.080551584145386,7.080551584145386
VIPV50_Wp700,Morning,work,5292.870262557078,1931897.6458333333,6015.410211187214,-722.5399486301367,-12.011482563340175,12.011482563340175
VIPV50_Wp700,Morning,public,4266.056230974124,1557110.5243055555,4664.9448401826485,-398.88860920852403,-8.550767969914649,8.550767969914649
VIPV50_Wp700,Afternoon,home,16719.03533105023,6102447.895833333,17978.747503805174,-1259.7121727549456,-7.006673698978917,7.006673698978917
VIPV50_Wp700,Afternoon,work,1116.36849695586,407474.5013888889,1228.6304356925418,-112.26193873668171,-9.13716081544106,9.13716081544106
VIPV50_Wp700,Afternoon,public,5859.865003805174,2138850.7263888884,6383.939878234399,-524.074874429225,-8.209270206569803,8.209270206569803
VIPV50_Wp700,Evening,home,22571.740574581432,8238685.309722222,24451.754138127853,-1880.0135635464212,-7.6886654140485495,7.6886654140485495
VIPV50_Wp700,Evening,work,56.162505707762556,20499.314583333333,53.72696156773211,2.4355441400304443,4.533187935744366,-4.533187935744366
VIPV50_Wp700,Evening,public,2546.592364916286,929506.2131944444,2747.146721841704,-200.55435692541823,-7.300460340573487,7.300460340573487
VIPV50_Wp1000,Night,home,12781.027520928463,4665075.045138889,14249.509589041096,-1468.482068112633,-10.305491981576699,10.305491981576699
VIPV50_Wp1000,Night,work,119.2090525114155,43511.30416666666,152.50739155251142,-33.298339041095915,-21.83391814791522,21.83391814791522
VIPV50_Wp1000,Night,public,1016.6758751902587,371086.69444444444,1150.669948630137,-133.99407343987832,-11.644874674914135,11.644874674914135
VIPV50_Wp1000,Morning,home,1788.8596042617958,652933.7555555555,1939.0479337899544,-150.18832952815865,-7.745467603506271,7.745467603506271
VIPV50_Wp1000,Morning,work,5145.602307838661,1878144.8423611112,6015.410211187214,-869.8079033485537,-14.459660651752737,14.459660651752737
VIPV50_Wp1000,Morning,public,4158.64891933029,1517906.8555555558,4664.9448401826485,-506.2959208523589,-10.853202732243576,10.853202732243576
VIPV50_Wp1000,Afternoon,home,16183.806714231358,5907089.4506944455,17978.747503805174,-1794.9407895738168,-9.983680949932248,9.983680949932248
VIPV50_Wp1000,Afternoon,work,1082.2075970319636,395005.7729166667,1228.6304356925418,-146.42283866057824,-11.91756564113147,11.91756564113147
VIPV50_Wp1000,Afternoon,public,5706.302676940639,2082800.477083333,6383.939878234399,-677.63720129376,-10.614717779597473,10.614717779597473
VIPV50_Wp1000,Evening,home,21910.545019025874,7997348.931944444,24451.754138127853,-2541.209119101979,-10.392747713504313,10.392747713504313
VIPV50_Wp1000,Evening,work,47.01947298325724,17162.10763888889,53.72696156773211,-6.7074885844748735,-12.484399617534534,12.484399617534534
VIPV50_Wp1000,Evening,public,2414.6425989345507,881344.548611111,2747.146721841704,-332.5041229071535,-12.10361719173997,12.10361719173997
VIPV80_Wp400,Night,home,13316.894210426177,4860666.386805555,14249.509589041096,-932.6153786149189,-6.544894564877992,6.544894564877992
VIPV80_Wp400,Night,work,133.07486681887366,48572.32638888888,152.50739155251142,-19.432524733637763,-12.742021574047278,12.742021574047278
VIPV80_Wp400,Night,public,1056.0628862252663,385462.9534722222,1150.669948630137,-94.6070624048707,-8.221911288940815,8.221911288940815
VIPV80_Wp400,Morning,home,1811.41923325723,661168.020138889,1939.0479337899544,-127.62870053272445,-6.582029165378524,6.582029165378524
VIPV80_Wp400,Morning,work,5389.5947241248095,1967202.0743055556,6015.410211187214,-625.8154870624048,-10.403537998099262,10.403537998099262
VIPV80_Wp400,Morning,public,4254.1449999999995,1552762.9249999998,4664.9448401826485,-410.79984018264895,-8.806102842720101,8.806102842720101
VIPV80_Wp400,Afternoon,home,16646.36223934551,6075922.217361112,17978.747503805174,-1332.3852644596627,-7.410890353611482,7.410890353611482
