Scenario,Fullscale_avg_daily_sessions,Total_session_reduction_pct,home,public,work,Afternoon,Evening,Morning,Night,home_session_change_pct,work_session_change_pct,public_session_change_pct,Night_session_change_pct,Morning_session_change_pct,Afternoon_session_change_pct,Evening_session_change_pct
noVIPV,43940.726027397264,0.0,23588.116438356163,15431.568493150686,4921.041095890411,18981.616438356163,9305.787671232876,11900.77397260274,3752.5479452054797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIPV20_Wp400,43123.41780821918,1.8600243852786802,23208.49315068493,15160.527397260274,4754.397260273972,18617.85616438356,9142.616438356165,11648.04109589041,3714.904109589041,-1.6093836430870474,-3.386353260809063,-1.7564066543897594,-1.0031540213772607,-2.1236675639261424,-1.9163819643808206,-1.7534381681749025
VIPV20_Wp700,42600.42465753425,3.0502485758367577,22946.383561643837,14988.801369863013,4665.239726027397,18471.19178082192,8935.369863013699,11554.171232876712,3639.6917808219177,-2.7205770261029256,-5.198114888262872,-2.8692295503480114,-3.0074542958939388,-2.9124386407468634,-2.6890473695529358,-3.980509993412548
VIPV20_Wp1000,42237.38356164384,3.8764549877746317,22754.80821917808,14862.72602739726,4619.8493150684935,18293.369863013697,8995.198630136987,11375.513698630137,3573.301369863014,-3.532745911933246,-6.120489037846985,-3.6862258428617047,-4.776663162198471,-4.413664818622939,-3.625858617350025,-3.3375900253561315
VIPV50_Wp400,41886.00684931507,4.67611567637974,22535.36301369863,14770.63698630137,4580.006849315068,18095.904109589042,8824.753424657534,11396.780821917808,3568.568493150685,-4.463066932066153,-6.9301239296729795,-4.28298333473147,-4.902787512411666,-4.234961119715364,-4.666158604792797,-5.169194307563781
VIPV50_Wp700,40727.74657534246,7.3120763868387,21991.219178082192,14364.5,4372.027397260274,17683.45205479452,8685.198630136987,10902.424657534246,3456.671232876712,-6.7699227466814085,-11.156454252914532,-6.914841440935216,-7.8846883943694985,-8.388944428041693,-6.83906129795374,-6.668850214735992
VIPV50_Wp1000,39569.09589041096,9.948925591854293,21452.87671232877,13918.034246575342,4198.184931506849,17190.445205479453,8396.869863013699,10567.171232876712,3414.609589041096,-9.052184101293156,-14.68909018027147,-9.808038938148945,-9.00557064423807,-11.206016875844961,-9.436347208329893,-9.767231322383694
VIPV80_Wp400,40755.21917808219,7.24955442777367,22048.034246575342,14234.09589041096,4473.08904109589,17580.287671232876,8642.609589041096,10985.356164383562,3546.9657534246576,-6.529059646647004,-9.102790366221662,-7.75988910829917,-5.478469423514986,-7.692086332591464,-7.382557600793263,-7.126512076370198
VIPV80_Wp700,38904.95890410959,11.460363946075557,21129.904109589042,13577.691780821919,4197.36301369863,16874.821917808218,8322.335616438357,10376.130136986301,3331.671232876712,-10.421401535774473,-14.705792292531932,-12.013533900663512,-11.215758425325633,-12.811299829123579,-11.09913124306286,-10.568176381615496
VIPV80_Wp1000,37142.46575342466,15.471433652993937,20122.095890410958,13061.452054794521,3958.917808219178,16159.054794520547,7994.726027397261,9843.342465753425,3145.3424657534247,-14.693926736384846,-19.551214243561347,-15.35888227699046,-16.181151801880738,-17.28821597306034,-14.869975130948616,-14.08866922558872
