Scenario,Adoption_pct,System_Wp,Fleet_nominal_Wp_per_EV,Annual_external_demand_GWh,Annual_home_GWh,Annual_public_GWh,Annual_home_share,Annual_public_share,Weighted_peak_MW,Mean_seasonal_load_factor,Seasonal_demand_range_pct,Avoided_external_charging_GWh,Avoided_external_charging_pct,VIPV_equipped_vehicles,Avoided_external_charging_kWh_per_equipped_vehicle_year,Avoided_specific_displacement_kWh_per_kWp_year,Avoided_external_charging_km_per_equipped_vehicle_year,Implied_useful_VIPV_kWh_per_equipped_vehicle_year,Implied_specific_yield_kWh_per_kWp_year,Implied_VIPV_km_per_equipped_vehicle_year,Observed_vehicle_count_max,Expected_equipped_sample_vehicles,Installed_VIPV_kWp_full,PV_produced_annual_kWh_full,PV_stored_annual_kWh_full,PV_wasted_annual_kWh_full,Accounting_error_abs_kWh_week_sample,Produced_VIPV_kWh_per_equipped_vehicle_year,Produced_specific_yield_kWh_per_kWp_year,Stored_VIPV_kWh_per_equipped_vehicle_year,Stored_specific_yield_kWh_per_kWp_year,Wasted_VIPV_kWh_per_equipped_vehicle_year,Wasted_specific_yield_kWh_per_kWp_year,PV_stored_share,PV_wasted_share,Behavioural_capture_ratio_avoided_to_stored,Behavioural_capture_ratio_avoided_to_produced
noVIPV,0,0,0.0,208.58764480915713,122.48725088642908,86.10039392272805,0.5872219852642577,0.4127780147357423,42.52996990350188,0.5608495927093956,0.007746741885661581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
VIPV20_Wp400,20,400,80.0,203.86792346907467,119.65795335037559,84.2099701186991,0.5869385988449863,0.4130614011550138,41.35134783420473,0.5636542873211103,0.02464608235653437,4.719721340082458,0.022627041713811323,21188.0,222.75445252418623,556.8861313104655,1178.5949869004562,222.75445252418623,556.8861313104655,1178.5949869004562,2119.0,2118.8,8475.2,4197884.780306875,3921896.912246708,275987.8681778048,9.003377608003549e-07,198.12557958782682,495.31394896956704,185.09991090460204,462.749777261505,13.025668688776893,32.56417172194223,0.9342554923482221,0.06574450767980095,1.2034281995899547,1.1243094051136477
VIPV20_Wp700,20,700,140.0,202.40547910473802,118.51755216125365,83.88792694348439,0.5855451773611563,0.4144548226388437,40.84957071663157,0.5668182160469418,0.034304373146056236,6.182165704419106,0.029638216156452353,21188.0,291.77674648004086,416.8239235429155,1543.7923094182056,291.77674648004086,416.8239235429155,1543.7923094182056,2119.0,2118.8,14831.6,7282818.155820562,6810007.078522916,472811.07742988,1.012351083429111e-06,343.7237188890203,491.0338841271718,321.4086784275494,459.15525489649906,22.31504046771191,31.878629239588445,0.9350785551442382,0.06492144487391886,0.9078060614527307,0.8488699802944009
VIPV20_Wp1000,20,1000,200.0,200.06019005925745,117.72450700682026,82.33568305243718,0.5884454422039211,0.41155455779607875,40.406198668454316,0.5659109701154595,0.055195833317293753,8.527454749899675,0.04088187849142115,21188.0,402.4662426798035,402.4662426798035,2129.4510194698596,402.4662426798035,402.4662426798035,2129.4510194698596,2119.0,2118.8,21188.0,10446108.017849637,9721524.388121841,724583.6298864416,1.2147740041967115e-06,493.0200121696072,493.0200121696072,458.82218180676995,458.82218180676995,34.19783037032479,34.19783037032479,0.9306360197989841,0.06936398021620299,0.8771725924299353,0.8163284100957514
VIPV50_Wp400,50,400,200.0,198.59318731180392,116.5877144914024,82.00547282040155,0.5870680463391339,0.41293195366086627,40.66695869088959,0.5588521832316491,0.0610272226313693,9.99445749735321,0.04791490649648702,52970.0,188.68147059379288,471.7036764844822,998.3146592264173,188.68147059379288,471.7036764844822,998.3146592264173,5297.0,5297.0,21188.0,10416293.04626146,9746052.419159481,670240.6273940998,2.2356421357399353e-06,196.6451396311395,491.61284907784875,183.99192786783993,459.97981966959986,12.65321176881442,31.63302942203605,0.9356545918854946,0.06434540814255008,1.02548776340515,0.9595023347524144
VIPV50_Wp700,50,700,350.0,192.67328884597046,113.33048094841347,79.34280789755698,0.588200272218396,0.4117997277816039,39.55287612477354,0.5573015436640059,0.09690364135425748,15.914355963186665,0.0762957747461369,52970.0,300.44092813265365,429.201325903791,1589.634540384411,300.44092813265365,429.201325903791,1589.634540384411,5297.0,5297.0,37079.0,18267993.19348908,17084040.95196075,1183952.2418572146,2.5177936319330772e-06,344.8743287424783,492.6776124892548,322.52295548349537,460.74707926213625,22.351373265191892,31.93053323598842,0.9351898027885021,0.0648101972295013,0.931533470795161,0.8711606028438156
VIPV50_Wp1000,50,1000,500.0,186.80141958672854,109.8445050005939,76.95691458613464,0.5880282132952157,0.4119717867047843,38.39361705347849,0.5570481279393875,0.1275434268046306,21.786225222428584,0.10444638388031771,52970.0,411.2936609860031,411.2936609860031,2176.156936433879,411.2936609860031,411.2936609860031,2176.156936433879,5297.0,5297.0,52970.0,25991160.467626944,24204989.31372523,1786171.154298577,3.039010160726586e-06,490.67699580190566,490.67699580190566,456.95656623985707,456.95656623985707,33.72042956954081,33.72042956954081,0.931277745134679,0.06872225488059013,0.9000716728296547,0.8382167179323994
VIPV80_Wp400,80,400,320.0,192.30915735279072,113.75305214596669,78.55610520682401,0.5915113648867327,0.4084886351132672,38.9110847554144,0.5653280336426992,0.10213462921960789,16.278487456366406,0.07804147494574794,84752.0,192.07201548478392,480.18003871195975,1016.254050184042,192.07201548478392,480.18003871195975,1016.254050184042,8475.0,8475.2,33900.8,16675363.392011857,15620800.335706774,1054563.0567714903,3.5696295921718607e-06,196.75480687195414,491.8870171798853,184.31187860707445,460.7796965176861,12.442928270382884,31.107320675957208,0.9367592158854986,0.06324078414247132,1.0421032921825562,0.9761998628566279
VIPV80_Wp700,80,700,560.0,183.3900795702709,108.0622999633949,75.32777960687599,0.5892483400226014,0.4107516599773986,37.21886872896038,0.563823679215105,0.16071815895490602,25.197565238886227,0.12080085214030874,84752.0,297.30938784791186,424.7276969255884,1573.065544168846,297.30938784791186,424.7276969255884,1573.065544168846,8475.0,8475.2,59326.4,29156728.856864356,27266679.315705754,1890049.541685324,4.032306679489758e-06,344.0240803386865,491.4629719124092,321.72313710243714,459.6044815749102,22.30094324246418,31.858490346377394,0.9351762143676269,0.0648237856504383,0.924115655857378,0.8642109806825595
VIPV80_Wp1000,80,1000,800.0,174.03819358630346,102.24291529712308,71.79527828918044,0.5874740089532245,0.4125259910467757,35.7995698743969,0.556307917638882,0.2222801125521358,34.54945122285366,0.1656351758248383,84752.0,407.653521130518,407.653521130518,2156.896937198508,407.653521130518,407.653521130518,2156.896937198508,8475.0,8475.2,84752.0,41664560.280939676,38821113.77158384,2843446.5099913147,4.866170828779229e-06,491.60562914078344,491.60562914078344,458.0554296250689,458.0554296250689,33.550199523212605,33.550199523212605,0.9317538337094456,0.06824616630580664,0.8899654818286811,0.8292287495629476
