Scenario,Season,Adoption_pct,System_Wp,Rows,Observed_vehicle_count,Expected_equipped_sample_vehicles,Installed_VIPV_kWp_sample,Installed_VIPV_kWp_full,PV_produced_week_kWh_sample,PV_stored_week_kWh_sample,PV_wasted_week_kWh_sample,PV_produced_annual_kWh_full,PV_stored_annual_kWh_full,PV_wasted_annual_kWh_full,PV_stored_share,PV_wasted_share,Accounting_error_abs_kWh_week_sample,Mean_start_SoC_frac,Mean_end_SoC_frac,High_start_SoC_event_share_ge_90pct
VIPV20_Wp400,SPRING,20,400,75995,2119,2118.8,847.5200000000001,8475.2,12805.39709330777,11951.273323315334,854.123770273731,1682995.046549021,1570738.7796357295,112256.26695026178,0.9332997045098421,0.0667002955121247,2.8135249781411277e-07,0.6944697830395987,0.7240874359683713,0.20303967366274098
VIPV20_Wp400,SUMMER,20,400,76331,2119,2118.8,847.5200000000001,8475.2,11760.171641945044,10981.902329577351,778.2693126560514,1545622.5586556343,1443335.7347444517,102286.82394908104,0.9338216026038398,0.06617839742068012,2.884159232059174e-07,0.6884026218093783,0.7146245725367888,0.19686627975527637
VIPV20_Wp400,AUTUMN,20,400,69380,2119,2118.8,847.5200000000001,8475.2,4929.833075986822,4616.565200810272,313.2678753659974,640878.2998782869,600153.4761053353,40724.82379757966,0.9364546688806816,0.06354533115774705,1.89462073717189e-07,0.6901965438566466,0.7087203667881768,0.21187662150475642
VIPV20_Wp400,WINTER,20,400,53719,2117,2118.8,847.5200000000001,8475.2,2554.1356961861425,2392.9805025870446,161.15519374019576,328388.87522393255,307668.9217611914,20719.95348088231,0.9369042162326238,0.06309578382261917,1.4110726606313583e-07,0.6866075607985834,0.7023498074514689,0.20355926208604033
VIPV20_Wp700,SPRING,20,700,76100,2119,2118.8,1483.1600000000003,14831.6,22424.2315643379,20932.788049415918,1491.4435151925163,2947184.7198844096,2751166.429351806,196018.29056815928,0.9334896488808169,0.06651035113124747,2.7067198851762367e-07,0.6988770154032974,0.7390996969240775,0.1890801576872536
VIPV20_Wp700,SUMMER,20,700,75826,2119,2118.8,1483.1600000000003,14831.6,20172.805946627122,18895.92087191072,1276.8850750385097,2651283.067270993,2483463.8860225515,167819.18129077554,0.9367026541525871,0.06329734586338019,3.2215080950281107e-07,0.6938682084594884,0.7301701794073436,0.19118771925197162
VIPV20_Wp700,AUTUMN,20,700,69121,2119,2118.8,1483.1600000000003,14831.6,8499.687851865896,7943.763766544495,555.9240856077838,1104959.4207425665,1032689.2896507845,72270.13112901189,0.9345947645360457,0.06540523549764765,2.8639542956136903e-07,0.6902856385655094,0.7139744039258915,0.20067707353770922
VIPV20_Wp700,WINTER,20,700,53931,2119,2118.8,1483.1600000000003,14831.6,4506.374039397944,4220.902571649351,285.47146788170335,579390.9479225927,542687.4734977736,36703.474441933286,0.9366516260628173,0.06334837396672084,1.3313285584730737e-07,0.6869587203704958,0.7048736855277505,0.20455767554838591
VIPV20_Wp1000,SPRING,20,1000,75878,2119,2118.8,2118.8,21188.0,32091.94003661498,29747.14767296286,2344.792363991326,4217797.833383682,3909625.122732261,308172.7106960028,0.9269351631289087,0.07306483688166121,3.3929980304187747e-07,0.7084551114223249,0.7590187793017978,0.1938374759482327
VIPV20_Wp1000,SUMMER,20,1000,76162,2118,2118.8,2118.8,21188.0,29312.57209727745,27257.713357185483,2054.858740483551,3852509.4756421787,3582442.3269443773,270067.1487492667,0.9298983817157819,0.07010161829757704,3.9165573190607837e-07,0.7080869845733605,0.7524223155842579,0.19373178225361729
VIPV20_Wp1000,AUTUMN,20,1000,69085,2118,2118.8,2118.8,21188.0,12046.095431654245,11294.724652921725,751.3707790120499,1565992.4061150518,1468314.2048798243,97678.20127156649,0.9376253672407328,0.06237463278247223,2.795636560876659e-07,0.6922679576232914,0.7196603203223721,0.20331475718318015
VIPV20_Wp1000,WINTER,20,1000,53572,2116,2118.8,2118.8,21188.0,6298.5090210678645,5919.999038841833,378.5099824302656,809808.3027087253,761142.7335653784,48665.56916960557,0.9399048281172647,0.06009517191516098,2.0425481316108963e-07,0.6827392765485103,0.7027094848904838,0.19989920107518852
VIPV50_Wp400,SPRING,50,400,190169,5297,5297.0,2118.8,21188.0,31859.566780295554,29736.559452403533,2123.0073285968037,4187257.348267415,3908233.5280301785,279023.8203298656,0.933363584554293,0.06663641546782856,7.049196443135732e-07,0.6915202493192569,0.720577038734979,0.1977346465512255
VIPV50_Wp400,SUMMER,50,400,190099,5297,5297.0,2118.8,21188.0,29229.91227111288,27415.6040698207,1814.3082020085708,3841645.6127748354,3603193.677747863,238451.93512112641,0.9379297418184449,0.06207025820606386,7.165306161000563e-07,0.6855827198771145,0.711058321585888,0.18900152026049585
VIPV50_Wp400,AUTUMN,50,400,173271,5296,5297.0,2118.8,21188.0,12083.65753898912,11323.41694538559,760.2405940696443,1570875.4800685856,1472044.2029001268,98831.27722905375,0.9370852251356397,0.06291477490293419,4.6616140770230345e-07,0.6885950113479131,0.7061714691941781,0.20729377680050326
VIPV50_Wp400,WINTER,50,400,134168,5293,5297.0,2118.8,21188.0,6350.669151171514,5931.18563707688,419.483514442643,816514.6051506231,762581.0104813131,53933.594714054096,0.9339465646675592,0.06605343538723954,3.4803046762400205e-07,0.685330262819863,0.700485882535037,0.2041992129270765
VIPV50_Wp700,SPRING,50,700,189816,5297,5297.0,3707.9,37079.0,55913.71006817916,52235.793246998255,3677.916821843764,7348659.037532118,6865275.683891199,483383.3537280375,0.9342215564537537,0.06577844355810131,6.631778810366277e-07,0.6988604013338136,0.7387922825376761,0.1911113920849665
VIPV50_Wp700,SUMMER,50,700,189932,5297,5297.0,3707.9,37079.0,51083.97023748192,47766.41903323481,3317.5512050574716,6713893.231211908,6277872.215796574,436021.0155218391,0.9350569035878712,0.0649430964279922,8.10466527885583e-07,0.6930945864254853,0.7290016060172549,0.18884653454920708
VIPV50_Wp700,AUTUMN,50,700,173829,5297,5297.0,3707.9,37079.0,21390.525845402837,20032.984361843948,1357.5414842766738,2780768.359902369,2604287.967039713,176480.3929559676,0.936535385180788,0.06346461485276815,7.178216296789432e-07,0.6907298473085788,0.7128579512943877,0.20284877667132642
VIPV50_Wp700,WINTER,50,700,134022,5296,5297.0,3707.9,37079.0,11080.786615443101,10395.817329592048,684.9692861773251,1424672.5648426842,1336605.0852332632,88067.47965137036,0.9381840559138263,0.06181594411561858,3.263275933319235e-07,0.6845293747915222,0.7027706571568725,0.20176538180298756
VIPV50_Wp1000,SPRING,50,1000,190108,5297,5297.0,5297.0,52970.0,79913.3473544185,74036.62943140372,5876.7179238631625,10502897.08086643,9730528.439555917,772368.6414220156,0.9264613720039617,0.07353862800665466,8.486320683304043e-07,0.70946382368622,0.760313835040768,0.19939192459023292
VIPV50_Wp1000,SUMMER,50,1000,189632,5297,5297.0,5297.0,52970.0,72461.35880219156,67471.0799825025,4990.27882066199,9523492.871145176,8867627.654843185,655865.2164298615,0.9311318625239728,0.06886813748945404,9.731308017718144e-07,0.7022634437907922,0.7483195626349063,0.18849139385757677
