hour_of_day,mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,Scenario,Season,Adoption_pct,System_Wp,Annual_factor_full,pvEnergyProduced_annual_kWh_full,pvEnergyStored_annual_kWh_full,pvEnergyWasted_annual_kWh_full
2,PARKED_OPEN,3045.5392883780983,2643.533582795539,402.00570567590916,VIPV20_Wp400,SPRING,20,400,131.42857142857142,400270.87790112145,347435.8423102708,52835.03560311948
3,DRIVING,4.073299999999957e-05,4.0663988950351874e-05,6.901216053962941e-08,VIPV20_Wp400,SPRING,20,400,131.42857142857142,0.0053534799999999435,0.00534440997633196,9.070169670922722e-06
3,PARKED_OPEN,4.992320074001714,4.992320074008802,1.4268854262461845e-10,VIPV20_Wp400,SPRING,20,400,131.42857142857142,656.1334954402253,656.1334954411568,1.8753351316378425e-08
4,DRIVING,0.07618207488888758,0.07592624035937888,0.00025583453541416486,VIPV20_Wp400,SPRING,20,400,131.42857142857142,10.012501271110938,9.978877304375509,0.03362396751157595
4,PARKED_OPEN,36.44137692000094,32.38240411913702,4.058972801475781,VIPV20_Wp400,SPRING,20,400,131.42857142857142,4789.438109485837,4255.973112800865,533.4649967653883
5,DRIVING,1.348296536333299,1.3458126697222492,0.002483866766933275,VIPV20_Wp400,SPRING,20,400,131.42857142857142,177.20468763237642,176.87823659206703,0.3264510607969447
5,PARKED_OPEN,274.5003149082889,257.745127472786,16.75518744043677,VIPV20_Wp400,SPRING,20,400,131.42857142857142,36077.1842450894,33875.0738964233,2202.110349314547
6,DRIVING,15.258535705777701,15.217216373045456,0.04131933487539062,VIPV20_Wp400,SPRING,20,400,131.42857142857142,2005.407549902212,1999.9770090288312,5.430541155051338
6,PARKED_OPEN,1004.4418063188348,951.6401894640865,52.801616868584915,VIPV20_Wp400,SPRING,20,400,131.42857142857142,132012.35168761827,125072.71061527992,6939.641074156874
7,DRIVING,85.35097656466621,85.11953881047002,0.2314377559173065,VIPV20_Wp400,SPRING,20,400,131.42857142857142,11217.556919927558,11187.139386518917,30.417533634845995
7,PARKED_OPEN,2211.3319846112963,2061.7079327534807,149.62405188375934,VIPV20_Wp400,SPRING,20,400,131.42857142857142,290632.2036917703,270967.32830474316,19664.87539043694
8,DRIVING,66.86489055799942,66.66868063138817,0.19620992907840587,VIPV20_Wp400,SPRING,20,400,131.42857142857142,8787.957044765637,8762.169454411016,25.787590678876196
8,PARKED_OPEN,1397.756462941709,1323.4451590122007,74.31130394468198,VIPV20_Wp400,SPRING,20,400,131.42857142857142,183705.13512948176,173938.50661303208,9766.628518443917
9,DRIVING,62.354824862666455,62.20833576419855,0.14648909852845565,VIPV20_Wp400,SPRING,20,400,131.42857142857142,8195.205553379019,8175.952700437523,19.25285294945417
9,PARKED_OPEN,674.3504010559783,630.2097029779691,44.140698083100986,VIPV20_Wp400,SPRING,20,400,131.42857142857142,88628.90985307143,82827.56096281878,5801.348890921843
10,DRIVING,101.09650601022213,100.88655581697765,0.20995019329668005,VIPV20_Wp400,SPRING,20,400,131.42857142857142,13286.96936134348,13259.375907374204,27.59345397613509
10,PARKED_OPEN,711.3759852838912,685.3548556238634,26.021129666303224,VIPV20_Wp400,SPRING,20,400,131.42857142857142,93495.12949445426,90075.20959627918,3419.919898999852
11,DRIVING,119.86165509833391,119.66747021293422,0.1941848854247763,VIPV20_Wp400,SPRING,20,400,131.42857142857142,15753.24609863817,15727.724656557068,25.52144208439917
11,PARKED_OPEN,752.7638462519182,720.4788328854573,32.28501337655495,VIPV20_Wp400,SPRING,20,400,131.42857142857142,98934.67693596637,94691.5037506601,4243.1731866329355
12,DRIVING,119.88883032999922,119.7630062930355,0.12582403711699003,VIPV20_Wp400,SPRING,20,400,131.42857142857142,15756.817700514182,15740.280827084665,16.536873449661545
12,PARKED_OPEN,687.4736622628226,662.9238057840674,24.54985649254871,VIPV20_Wp400,SPRING,20,400,131.42857142857142,90353.68132597096,87127.12876019171,3226.552567592116
13,DRIVING,105.62650344577781,105.52191610705323,0.10458734011849839,VIPV20_Wp400,SPRING,20,400,131.42857142857142,13882.340452873654,13868.594688355566,13.745764701288358
13,PARKED_OPEN,526.1998670451665,509.1170854029874,17.082781659755685,VIPV20_Wp400,SPRING,20,400,131.42857142857142,69157.69681165044,66912.53122439263,2245.16558956789
14,DRIVING,78.27357432644398,78.18208477479578,0.09148955439715731,VIPV20_Wp400,SPRING,20,400,131.42857142857142,10287.384054332637,10275.359713258873,12.024341435054959
14,PARKED_OPEN,309.6584930476853,303.4007672317704,6.257725831204033,VIPV20_Wp400,SPRING,20,400,131.42857142857142,40697.97337198149,39875.5294076041,822.4439663868158
15,DRIVING,70.33510368633209,70.25779880638295,0.07730488304527972,VIPV20_Wp400,SPRING,20,400,131.42857142857142,9244.042198775074,9233.8821288389,10.160070343093905
15,PARKED_OPEN,196.30097587842286,194.1522949208668,2.148680969941167,VIPV20_Wp400,SPRING,20,400,131.42857142857142,25799.556829735575,25517.158761028208,282.39807033512477
16,DRIVING,36.858853463444056,36.8023166765721,0.056536787099674086,VIPV20_Wp400,SPRING,20,400,131.42857142857142,4844.306455195504,4836.875906063761,7.4305491616714505
16,PARKED_OPEN,80.24709516877269,79.75087848442992,0.49621669562196524,VIPV20_Wp400,SPRING,20,400,131.42857142857142,10546.76107932441,10481.544029382218,65.21705142460114
17,DRIVING,8.86337660522209,8.853642214061207,0.009734392908968267,VIPV20_Wp400,SPRING,20,400,131.42857142857142,1164.9009252577603,1163.6215481337586,1.279377353750115
17,PARKED_OPEN,16.91034820755388,16.817973655501145,0.09237456138671526,VIPV20_Wp400,SPRING,20,400,131.42857142857142,2222.5029072785096,2210.3622518658644,12.140656639396862
18,DRIVING,1.1086992580000001,1.1076004912923452,0.0010987672975032662,VIPV20_Wp400,SPRING,20,400,131.42857142857142,145.71475962285714,145.5703502841368,0.1444094162432864
18,PARKED_OPEN,1.929585256222479,1.926052348679273,0.0035329138335403586,VIPV20_Wp400,SPRING,20,400,131.42857142857142,253.60263367495435,253.13830868356158,0.4643258181224471
19,DRIVING,0.006172153888888847,0.006167932961319026,4.222211387445842e-06,VIPV20_Wp400,SPRING,20,400,131.42857142857142,0.8111973682539626,0.8106426177733577,0.0005549192109214534
19,PARKED_OPEN,0.010258284111111224,0.010247829262949355,1.0456858434888408e-05,VIPV20_Wp400,SPRING,20,400,131.42857142857142,1.3482316260317608,1.3468575602733437,0.0013743299657281906
2,PARKED_OPEN,2821.549694474006,2448.3443156655976,373.20537890585007,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,370832.24555944075,321782.3957731928,49049.84979905457
3,DRIVING,0.00048348299999999354,0.00048266400337219244,8.189999999999998e-07,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,0.06354347999999914,0.06343584044320243,0.00010763999999999997
3,PARKED_OPEN,6.083151432000903,6.083151432019671,2.0296567759814364e-10,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,799.4999024915471,799.4999024940138,2.667548905575602e-08
4,DRIVING,0.15236798888888542,0.15195123465753177,0.0004167542935087087,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,20.025507111110652,19.97073369784703,0.05477342143257314
4,PARKED_OPEN,27.415774008332413,24.467383489248814,2.948390519654505,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,3603.2160125236883,3215.7132585869867,387.5027540117349
5,DRIVING,2.044781978777733,2.0403998469315976,0.004382131932608572,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,268.7427743536449,268.16683702529565,0.5759373397142694
5,PARKED_OPEN,245.13604836489694,231.99259767005566,13.143450699231659,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,32217.880642243596,30490.455693778742,1727.424949041875
6,DRIVING,16.88952140544418,16.837224096538208,0.05229731062992367,VIPV20_Wp400,SUMMER,20,400,131.42857142857142,2219.7656704298065,2212.8923098307355,6.87336082564711
