Scenario,Annual_spatial_rank_correlation_vs_noVIPV,Top10pct_hotspot_Jaccard_vs_noVIPV,Cells_reduced_gt_5pct,Cells_reduced_gt_10pct,Cells_reduced_gt_20pct
noVIPV,0.9999999999999998,1.0,0,0,0
VIPV20_Wp400,0.9937151802385918,0.9032258064516129,220,140,63
VIPV20_Wp700,0.9940451821216928,0.873015873015873,244,160,72
VIPV20_Wp1000,0.9942207176831749,0.8153846153846154,259,179,79
VIPV50_Wp400,0.9942836005411356,0.873015873015873,282,178,74
VIPV50_Wp700,0.9940179642895008,0.873015873015873,335,232,94
VIPV50_Wp1000,0.9933162599360428,0.7878787878787878,369,296,117
VIPV80_Wp400,0.9937607280130327,0.873015873015873,342,241,95
VIPV80_Wp700,0.9930395408351972,0.7878787878787878,402,311,138
VIPV80_Wp1000,0.9925063138209458,0.7611940298507462,453,394,208
