from_HexID,to_HexID,distance
0,1,1344.07696036742
0,10,1204.9844166781559
0,11,1104.0564101422065
1,0,1344.0769603674198
1,2,1308.9175603243752
1,11,1166.4749107702646
1,12,1253.9483721831248
2,1,1308.9175603243755
2,3,1140.4361087794503
2,12,1218.0788218722023
2,13,1172.8059674476744
3,2,1140.4361087794503
3,4,1232.2549702198637
3,13,1147.5387928719954
3,14,1091.0650860513722
4,3,1232.2549702198637
4,14,1296.1264487907533
4,15,1179.4370209288188
5,6,1389.2022272286233
5,16,1178.4725970203713
6,5,1389.202227228624
6,16,1179.6132026839337
7,8,1277.5513782374815
7,17,929.1277287335656
7,18,1166.8106510538464
8,7,1277.5513782374812
8,18,1296.9672925649152
8,19,1303.250707343989
9,19,1199.631631927103
9,20,1170.347287444365
10,0,1204.9844166781554
10,11,967.269598012543
10,23,1466.8756235785681
11,0,1104.056410142206
11,1,1166.4749107702642
11,10,967.2695980125427
12,1,1253.948372183125
12,2,1218.0788218722023
12,24,1287.1279921616867
12,25,1159.8316236006276
13,2,1172.8059674476744
13,3,1147.5387928719956
13,14,1226.7318312441612
13,25,1394.4958591272452
13,26,1166.5626135706054
14,3,1091.065086051372
14,4,1296.1264487907536
14,13,1226.7318312441603
14,15,1356.023104049776
14,26,1114.7610650267954
14,27,1112.2106478150592
15,4,1179.4370209288188
15,14,1356.0231040497756
15,27,1137.6317570172785
15,28,1249.5754304275292
16,5,1178.4725970203708
16,6,1179.6132026839334
16,29,1121.1854560419495
17,7,929.1277287335656
17,18,1105.2067686073697
17,30,1088.0999856180788
17,31,1465.566322256431
18,7,1166.8106510538455
18,8,1296.9672925649154
18,17,1105.2067686073701
18,19,1425.1900107110705
19,8,1303.2507073439888
19,9,1199.631631927103
19,18,1425.1900107110707
19,20,1100.7279377682855
19,32,1048.4477509619664
19,33,1033.7654186457864
20,9,1170.3472874443648
20,19,1100.7279377682855
20,21,965.5398492267027
20,33,1327.6668415838344
20,34,1316.5234586410043
21,20,965.5398492267028
21,34,1431.1941778413316
23,10,1466.8756235785681
23,24,1415.6974086153916
23,36,1117.86837147199
24,12,1287.1279921616876
24,23,1415.6974086153923
25,12,1159.8316236006274
25,13,1394.4958591272443
25,26,1326.4667816867736
25,37,1120.5406452654472
25,38,1274.0820633401563
26,13,1166.5626135706057
26,14,1114.7610650267954
26,25,1326.4667816867743
26,27,1088.5496367392993
26,38,1226.0596788583173
26,39,1276.7602517470402
27,14,1112.2106478150597
27,15,1137.6317570172785
27,26,1088.5496367392986
27,28,1163.6472715431469
28,15,1249.5754304275295
28,27,1163.6472715431466
28,41,1085.0992145991524
29,16,1121.1854560419492
29,42,1204.6372078065522
29,43,1486.8374912974014
30,17,1088.099985618079
30,31,1214.3458016521674
30,43,1071.5938692494728
31,17,1465.5663222564315
31,30,1214.345801652167
32,19,1048.4477509619664
32,33,1088.491516977411
32,45,933.3380476688102
32,46,1168.9250785935126
33,19,1033.7654186457867
33,20,1327.6668415838344
33,32,1088.491516977411
33,46,1058.456780148081
34,20,1316.5234586410043
34,21,1431.194177841331
35,47,1497.4703756627432
36,23,1117.86837147199
36,37,1202.5476845892283
37,25,1120.5406452654472
37,36,1202.547684589228
37,38,1395.2621597782108
37,50,1460.0986425343597
38,25,1274.0820633401563
38,26,1226.059678858317
38,37,1395.2621597782104
38,50,1122.6961460116834
39,26,1276.760251747041
39,40,1292.4927526083789
40,39,1292.4927526083784
40,52,1250.687440655457
40,53,1055.1924725826577
41,28,1085.099214599152
41,53,1096.2164027781448
42,29,1204.6372078065515
42,54,1392.4190219081102
42,55,1299.9070980165043
43,29,1486.837491297402
43,30,1071.5938692494726
43,44,1225.470945040081
43,56,1220.1338951247385
44,43,1225.4709450400808
44,56,1254.1421434846732
45,32,933.3380476688101
45,46,1480.9938629160401
45,58,1497.4379637183486
46,32,1168.9250785935124
46,33,1058.4567801480803
46,45,1480.9938629160397
46,58,994.1906656058243
46,59,1317.871345172942
47,35,1497.4703756627432
48,49,1026.4984291065937
49,48,1026.4984291065934
49,50,1410.7682454617309
49,60,1162.9158483028734
49,61,947.1154757534027
50,37,1460.09864253436
50,38,1122.6961460116827
50,49,1410.768245461731
51,63,1484.1521533051907
52,40,1250.6874406554566
52,53,1194.9641654857055
52,64,1043.2901487128383
53,40,1055.1924725826582
53,41,1096.216402778145
