HexID,Month,TimeIndex,ChargerType,Served_kWh_slot,InstalledCapacity_kWh_slot,UtilizationRatio,Binding95
2,March,19,medium,11.0,11.0,1.0,True
2,March,20,medium,11.0,11.0,1.0,True
2,April,19,medium,11.0,11.0,1.0,True
2,April,20,medium,11.0,11.0,1.0,True
2,May,19,medium,11.0,11.0,1.0,True
2,May,20,medium,11.0,11.0,1.0,True
2,June,19,medium,11.0,11.0,1.0,True
2,June,20,medium,11.0,11.0,1.0,True
2,June,21,medium,11.0,11.0,1.0,True
2,June,22,medium,11.0,11.0,1.0,True
2,June,23,medium,11.0,11.0,1.0,True
2,June,24,medium,11.0,11.0,1.0,True
2,July,19,medium,11.0,11.0,1.0,True
2,July,20,medium,11.0,11.0,1.0,True
2,July,21,medium,11.0,11.0,1.0,True
2,July,22,medium,11.0,11.0,1.0,True
2,July,23,medium,11.0,11.0,1.0,True
2,July,24,medium,11.0,11.0,1.0,True
2,August,19,medium,11.0,11.0,1.0,True
2,August,20,medium,11.0,11.0,1.0,True
2,August,21,medium,11.0,11.0,1.0,True
2,August,22,medium,11.0,11.0,1.0,True
2,August,23,medium,11.0,11.0,1.0,True
2,August,24,medium,11.0,11.0,1.0,True
3,January,18,medium,22.0,22.0,1.0,True
3,January,19,medium,22.0,22.0,1.0,True
3,January,20,medium,22.0,22.0,1.0,True
3,February,18,medium,22.0,22.0,1.0,True
3,February,19,medium,22.0,22.0,1.0,True
3,February,20,medium,22.0,22.0,1.0,True
3,December,18,medium,22.0,22.0,1.0,True
3,December,19,medium,22.0,22.0,1.0,True
3,December,20,medium,22.0,22.0,1.0,True
10,January,1,fast,25.0,25.0,1.0,True
10,January,2,fast,25.0,25.0,1.0,True
10,January,36,fast,25.0,25.0,1.0,True
10,January,37,fast,25.0,25.0,1.0,True
10,January,45,fast,25.0,25.0,1.0,True
10,January,46,fast,25.0,25.0,1.0,True
10,January,47,fast,25.0,25.0,1.0,True
10,January,48,fast,25.0,25.0,1.0,True
10,February,1,fast,25.0,25.0,1.0,True
10,February,2,fast,25.0,25.0,1.0,True
10,February,36,fast,25.0,25.0,1.0,True
10,February,37,fast,25.0,25.0,1.0,True
10,February,45,fast,25.0,25.0,1.0,True
10,February,46,fast,25.0,25.0,1.0,True
10,February,47,fast,25.0,25.0,1.0,True
10,February,48,fast,25.0,25.0,1.0,True
10,March,36,fast,25.0,25.0,1.0,True
10,April,36,fast,25.0,25.0,1.0,True
10,May,36,fast,25.0,25.0,1.0,True
10,June,1,fast,25.0,25.0,1.0,True
10,June,2,fast,25.0,25.0,1.0,True
10,June,46,fast,25.0,25.0,1.0,True
10,June,47,fast,25.0,25.0,1.0,True
10,June,48,fast,25.0,25.0,1.0,True
10,July,1,fast,25.0,25.0,1.0,True
10,July,2,fast,25.0,25.0,1.0,True
10,July,46,fast,25.0,25.0,1.0,True
10,July,47,fast,25.0,25.0,1.0,True
10,July,48,fast,25.0,25.0,1.0,True
10,August,1,fast,25.0,25.0,1.0,True
10,August,2,fast,25.0,25.0,1.0,True
10,August,46,fast,25.0,25.0,1.0,True
10,August,47,fast,25.0,25.0,1.0,True
10,August,48,fast,25.0,25.0,1.0,True
10,September,2,fast,25.0,25.0,1.0,True
10,September,3,fast,25.0,25.0,1.0,True
10,September,35,fast,25.0,25.0,1.0,True
10,September,36,fast,25.0,25.0,1.0,True
10,September,41,fast,25.0,25.0,1.0,True
10,October,2,fast,25.0,25.0,1.0,True
10,October,3,fast,25.0,25.0,1.0,True
10,October,35,fast,25.0,25.0,1.0,True
10,October,36,fast,25.0,25.0,1.0,True
10,October,41,fast,25.0,25.0,1.0,True
10,November,2,fast,25.0,25.0,1.0,True
10,November,3,fast,25.0,25.0,1.0,True
10,November,35,fast,25.0,25.0,1.0,True
10,November,36,fast,25.0,25.0,1.0,True
10,November,41,fast,25.0,25.0,1.0,True
10,December,1,fast,25.0,25.0,1.0,True
10,December,2,fast,25.0,25.0,1.0,True
10,December,36,fast,25.0,25.0,1.0,True
10,December,37,fast,25.0,25.0,1.0,True
10,December,45,fast,25.0,25.0,1.0,True
10,December,46,fast,25.0,25.0,1.0,True
10,December,47,fast,25.0,25.0,1.0,True
10,December,48,fast,25.0,25.0,1.0,True
13,January,17,medium,11.0,11.0,1.0,True
13,January,18,medium,11.0,11.0,1.0,True
13,January,19,medium,11.0,11.0,1.0,True
13,January,20,medium,11.0,11.0,1.0,True
13,January,21,medium,11.0,11.0,1.0,True
13,January,22,medium,11.0,11.0,1.0,True
13,February,17,medium,11.0,11.0,1.0,True
13,February,18,medium,11.0,11.0,1.0,True
13,February,19,medium,11.0,11.0,1.0,True
13,February,20,medium,11.0,11.0,1.0,True
13,February,21,medium,11.0,11.0,1.0,True
13,February,22,medium,11.0,11.0,1.0,True
13,September,17,medium,11.0,11.0,1.0,True
13,September,18,medium,11.0,11.0,1.0,True
13,September,19,medium,11.0,11.0,1.0,True
13,September,20,medium,11.0,11.0,1.0,True
13,October,17,medium,11.0,11.0,1.0,True
13,October,18,medium,11.0,11.0,1.0,True
13,October,19,medium,11.0,11.0,1.0,True
13,October,20,medium,11.0,11.0,1.0,True
13,November,17,medium,11.0,11.0,1.0,True
13,November,18,medium,11.0,11.0,1.0,True
13,November,19,medium,11.0,11.0,1.0,True
13,November,20,medium,11.0,11.0,1.0,True
13,December,17,medium,11.0,11.0,1.0,True
13,December,18,medium,11.0,11.0,1.0,True
13,December,19,medium,11.0,11.0,1.0,True
13,December,20,medium,11.0,11.0,1.0,True
13,December,21,medium,11.0,11.0,1.0,True
13,December,22,medium,11.0,11.0,1.0,True
15,March,18,medium,22.0,22.0,1.0,True
15,April,18,medium,22.0,22.0,1.0,True
15,May,18,medium,22.0,22.0,1.0,True
19,January,20,medium,11.0,11.0,1.0,True
19,January,21,medium,11.0,11.0,1.0,True
19,January,22,medium,11.0,11.0,1.0,True
19,January,23,medium,11.0,11.0,1.0,True
19,January,24,medium,11.0,11.0,1.0,True
19,February,20,medium,11.0,11.0,1.0,True
