Method,Metric,Value,Unit,Source
Monolithic,hex_cells,587.0,count,preprocessing
Monolithic,representative_months,12.0,count,preprocessing
Monolithic,time_slots_per_day,48.0,count,preprocessing
Monolithic,month_slot_blocks,576.0,count,preprocessing
Monolithic,public_charger_types,3.0,count,preprocessing
Monolithic,demand_classes,2.0,count,preprocessing
Monolithic,spatial_redirection_arcs,1464.0,count,preprocessing
Monolithic,active_redirection_arc_slots,435756.0,count,preprocessing
Monolithic,origin_slot_records,184677.0,count,preprocessing
Monolithic,destination_slot_records,184677.0,count,preprocessing
Monolithic,demand_event_records,676224.0,count,preprocessing
Monolithic,battery_big_m_records,587.0,count,preprocessing
Monolithic,type_pair_arc_slot_records,3921804.0,count,preprocessing
Monolithic,arc_slots_average_per_month_slot,756.5208333333334,count,preprocessing
Monolithic,arc_slots_median_per_month_slot,885.0,count,preprocessing
Monolithic,arc_slots_p95_per_month_slot,1116.0,count,preprocessing
Monolithic,arc_slots_max_per_month_slot,1158.0,count,preprocessing
Monolithic,input_load_seconds,1.4162226000335068,s,phase_timing
Monolithic,preprocessing_seconds,2.7132841001730412,s,phase_timing
Monolithic,model_build_seconds,141.99291489995085,s,phase_timing
Monolithic,solve_seconds,337.2598300999962,s,phase_timing
Monolithic,export_seconds,199.7730296999216,s,phase_timing
Monolithic,figure_generation_seconds,10.752162500051782,s,phase_timing
Monolithic,total_runtime_seconds,741.4383787999395,s,phase_timing
Monolithic,peak_process_tree_rss_MB,22092.8984375,MB,resource_monitor
Monolithic,final_process_tree_rss_MB,17812.26953125,MB,resource_monitor
Monolithic,solver_mip_gap_requested,0.0001,fraction,run
Monolithic,main_model_variables_total,11760823.0,count,pyomo_model
Monolithic,main_model_variables_continuous,10548264.0,count,pyomo_model
Monolithic,main_model_variables_integer_nonbinary,438691.0,count,pyomo_model
Monolithic,main_model_variables_binary,773868.0,count,pyomo_model
Monolithic,main_model_variable_components,18.0,count,pyomo_model
Monolithic,main_model_constraints_active,10570215.0,count,pyomo_model
Monolithic,main_model_constraint_components,28.0,count,pyomo_model
Monolithic,main_model_objectives_active,1.0,count,pyomo_model
