HexID,slow_chargers,slow_footprint,slow_capacity_kWh_slot,medium_chargers,medium_footprint,medium_capacity_kWh_slot,fast_chargers,fast_footprint,fast_capacity_kWh_slot,PV_panels,Battery_units,Total_charger_footprint,Total_public_capacity_kWh_slot
0,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
1,0.0,0.0,0.0,6.0,30.0,66.0,0.0,0.0,0.0,70.0,8.0,30.0,66.0
2,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
3,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,52.0,4.0,11.0,27.5
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
6,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,36.0,3.0,15.0,33.0
7,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,4.0,20.0,44.0,1.0,150.0,25.0,0.0,0.0,170.0,69.0
11,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,24.0,2.0,15.0,33.0
12,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,100.0,5.0,20.0,44.0
13,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
16,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
17,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
18,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
19,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
