Metric,Value
dataset,full
vipv_scenario,noVIPV
annual_profit_SEK,410293657.9938137
revenue_all_chargers_SEK,585275260.5167804
grid_cost_SEK,115563839.1509667
grid_direct_cost_SEK,109734240.49954253
grid_to_battery_cost_SEK,5829598.651424163
redirection_distance_cost_SEK,0.0
redirection_price_compensation_SEK,0.0
redirection_total_cost_SEK,0.0
slack_penalty_SEK,0.0
capex_chargers_SEK,24078474.139499996
capex_PV_SEK,27305064.540000003
capex_BESS_SEK,8034224.692500001
capex_PV_BESS_SEK,35339289.2325
grid_direct_kWh,63431710.35418706
grid_to_battery_kWh,4070459.6901877937
grid_total_kWh,67502170.04437485
pv_direct_kWh,22127606.656029448
pv_to_battery_kWh,6547584.826004824
pv_used_total_kWh,28675191.482034273
battery_discharge_kWh,9557125.875236627
annual_public_demand_kWh,86100393.92272803
annual_home_demand_total_kWh,122487250.88642909
annual_home_private_served_kWh,113471201.923704
annual_home_residual_demand_kWh,9016048.962725092
annual_optimizer_boundary_demand_kWh,95116442.88545312
annual_total_MATSim_charging_demand_kWh,208587644.80915713
implied_stationary_PV_yield_kWh_per_kWp_year,951.07784
pvgis_detected_input_unit,W
energy_redirected_kWh,0.0
share_redirected_public_demand,0.0
active_redirection_arcs,0
public_charger_capacity_kWh_per_slot,36146.0
annual_slack_kWh,0.0
redirection_trip_equivalents_annual,0.0
redirection_full_trip_bundles_annual,0.0
PV_panels_installed,69810.0
battery_units_installed,2295.0
chargers_slow_installed,606.0
energy_slow_kWh,1559544.0011946468
revenue_slow_SEK,8577492.006570559
capex_chargers_slow_SEK,2058394.14
capacity_upper_bound_slow_kWh,58394160.0
capacity_ratio_slow,0.02670719128753024
chargers_medium_installed,2608.0
energy_medium_kWh,62844148.474940754
revenue_medium_SEK,377064890.84964454
capex_chargers_medium_SEK,14173708.031999998
capacity_upper_bound_medium_kWh,502613760.0
capacity_ratio_medium,0.12503467568206003
chargers_fast_installed,165.0
energy_fast_kWh,30712750.409317728
revenue_fast_SEK,199632877.66056526
capex_chargers_fast_SEK,7846371.9675
capacity_upper_bound_fast_kWh,72270000.0
capacity_ratio_fast,0.4249723316634527
max_abs_soc_gap_Jan0_Dec48_kWh,2.3877406536502557
