HexID,AnnualPublicDemand_kWh,AnnualSlack_kWh,AnnualRedirectionOut_kWh,AnnualRedirectionIn_kWh,NetRedirectionIn_kWh,ChargerFootprintUsed,ParkingFootprintLimit,FootprintBinding,InstalledCapacity_kWh_slot
271,2236502.5,0.0,0.0,0.0,0.0,158.0,160.5,False,473.0
246,1397850.0,0.0,0.0,0.0,0.0,125.0,186.0,False,275.0
248,1387427.5,0.0,0.0,0.0,0.0,165.0,245.0,False,363.0
361,1197820.0,0.0,0.0,0.0,0.0,351.0,385.0,False,470.5
272,1111677.5,0.0,0.0,0.0,0.0,260.0,340.5,False,267.0
227,1038563.542867974,0.0,0.0,0.0,0.0,208.0,208.5,False,228.5
292,980910.0,0.0,0.0,0.0,0.0,261.0,353.0,False,272.5
294,903985.0,0.0,0.0,0.0,0.0,225.0,239.0,False,190.0
156,885482.5,0.0,0.0,0.0,0.0,364.0,365.5,False,237.0
225,880527.5,0.0,0.0,0.0,0.0,95.0,176.0,False,209.0
211,719725.0,0.0,0.0,0.0,0.0,241.0,281.0,False,228.5
245,716259.254306437,0.0,0.0,0.0,0.0,207.0,208.5,False,173.5
321,700687.5,0.0,0.0,0.0,0.0,201.0,240.5,False,140.5
470,683637.4091864305,0.0,0.0,0.0,0.0,216.0,264.5,False,173.5
445,658312.0386284861,0.0,0.0,0.0,0.0,205.0,271.0,False,146.0
315,657170.0,0.0,0.0,0.0,0.0,206.0,244.0,False,151.5
247,644060.0,0.0,0.0,0.0,0.0,75.0,161.5,False,165.0
293,639555.0,0.0,0.0,0.0,0.0,190.0,191.0,False,162.5
267,620413.5886703597,0.0,0.0,0.0,0.0,206.0,234.0,False,151.5
160,613362.1256088713,0.0,0.0,0.0,0.0,365.0,380.0,False,193.0
291,613312.5,0.0,0.0,0.0,0.0,76.0,107.5,False,170.5
230,601018.1990607094,0.0,0.0,0.0,0.0,205.0,280.5,False,146.0
142,592689.0308376575,0.0,0.0,0.0,0.0,205.0,299.0,False,146.0
213,580367.5,0.0,0.0,0.0,0.0,181.0,182.5,False,129.5
273,541272.5,0.0,0.0,0.0,0.0,331.0,344.0,False,121.5
135,537839.9569208245,0.0,0.0,0.0,0.0,331.0,337.0,False,121.5
118,528610.7089859851,0.0,0.0,0.0,0.0,340.0,348.0,False,138.0
468,514758.07042043214,0.0,0.0,0.0,0.0,190.0,231.5,False,113.0
352,506986.75753075944,0.0,0.0,0.0,0.0,200.0,236.5,False,135.0
111,498212.5,0.0,0.0,0.0,0.0,201.0,272.5,False,140.5
324,478577.5,0.0,0.0,0.0,0.0,191.0,223.5,False,118.5
577,471383.9078027329,0.0,0.0,0.0,0.0,210.0,211.0,False,157.0
349,469660.0,0.0,0.0,0.0,0.0,60.0,112.0,False,132.0
249,469232.5,0.0,0.0,0.0,0.0,201.0,205.0,False,140.5
347,450100.0,0.0,0.0,0.0,0.0,185.0,187.5,False,168.0
386,444227.5,0.0,0.0,0.0,0.0,230.0,297.0,False,201.0
159,441667.5,0.0,0.0,0.0,0.0,190.0,275.5,False,113.0
287,435750.76323251415,0.0,0.0,0.0,0.0,174.0,175.0,False,107.5
178,422545.0,0.0,0.0,0.0,0.0,201.0,261.5,False,140.5
110,416815.0,0.0,0.0,0.0,0.0,320.0,328.0,False,94.0
549,409905.0,0.0,0.0,0.0,0.0,190.0,299.0,False,113.0
419,400285.81043956045,0.0,0.0,0.0,0.0,168.0,168.5,False,91.0
268,399520.0,0.0,0.0,0.0,0.0,220.0,265.5,False,179.0
340,391905.0,0.0,0.0,0.0,0.0,185.0,297.5,False,102.0
229,388947.5,0.0,0.0,0.0,0.0,181.0,293.5,False,96.5
75,388145.0,0.0,0.0,0.0,0.0,86.0,89.5,False,192.5
215,387632.5,0.0,0.0,0.0,0.0,45.0,105.0,False,99.0
76,387407.5,0.0,0.0,0.0,0.0,51.0,108.5,False,115.5
299,385575.0,0.0,0.0,0.0,0.0,50.0,112.5,False,110.0
362,385275.0,0.0,0.0,0.0,0.0,345.0,377.0,False,149.0
197,384158.30809522036,0.0,0.0,0.0,0.0,335.0,336.0,False,127.0
191,377140.0,0.0,0.0,0.0,0.0,194.0,195.5,False,135.0
134,370329.4843812575,0.0,0.0,0.0,0.0,190.0,314.0,False,113.0
94,368402.5,0.0,0.0,0.0,0.0,349.0,349.5,False,171.0
316,366257.5,0.0,0.0,0.0,0.0,326.0,385.0,False,110.5
228,363837.5,0.0,0.0,0.0,0.0,70.0,121.5,False,154.0
192,360315.2005347594,0.0,0.0,0.0,0.0,186.0,248.5,False,107.5
214,359545.0,0.0,0.0,0.0,0.0,330.0,351.5,False,116.0
345,359242.5,0.0,0.0,0.0,0.0,335.0,345.0,False,127.0
322,358160.0,0.0,0.0,0.0,0.0,165.0,166.0,False,91.0
212,356945.0,0.0,0.0,0.0,0.0,195.0,239.5,False,124.0
175,356647.5,0.0,0.0,0.0,0.0,326.0,385.0,False,110.5
86,352041.8275154004,0.0,0.0,0.0,0.0,46.0,123.0,False,104.5
370,351806.47295935504,0.0,0.0,0.0,0.0,205.0,221.0,False,146.0
93,348967.5,0.0,0.0,0.0,0.0,180.0,297.0,False,91.0
274,346452.5,0.0,0.0,0.0,0.0,52.0,54.0,False,121.0
424,343222.5,0.0,0.0,0.0,0.0,45.0,132.5,False,99.0
586,342338.71798052476,0.0,0.0,0.0,0.0,206.0,260.0,False,151.5
143,340655.0,0.0,0.0,0.0,0.0,186.0,314.0,False,107.5
365,337975.0,0.0,0.0,0.0,0.0,180.0,226.5,False,91.0
89,333357.5,0.0,0.0,0.0,0.0,201.0,305.0,False,140.5
388,332121.0236220473,0.0,0.0,0.0,0.0,176.0,288.0,False,85.5
314,331407.5,0.0,0.0,0.0,0.0,341.0,367.0,False,143.5
269,330485.0,0.0,0.0,0.0,0.0,185.0,248.0,False,102.0
421,330065.0,0.0,0.0,0.0,0.0,200.0,283.5,False,135.0
161,327291.8003718953,0.0,0.0,0.0,0.0,40.0,145.0,False,88.0
312,323717.5,0.0,0.0,0.0,0.0,205.0,221.0,False,146.0
113,321537.5,0.0,0.0,0.0,0.0,326.0,384.0,False,110.5
499,319827.79356768884,0.0,0.0,0.0,0.0,40.0,152.0,False,88.0
261,316252.5,0.0,0.0,0.0,0.0,201.0,248.0,False,140.5
377,315517.5,0.0,0.0,0.0,0.0,340.0,351.0,False,138.0
320,309168.4808665054,0.0,0.0,0.0,0.0,167.0,168.0,False,85.5
515,307277.5,0.0,0.0,0.0,0.0,175.0,217.5,False,80.0
288,305607.5,0.0,0.0,0.0,0.0,40.0,152.0,False,88.0
500,305197.5,0.0,0.0,0.0,0.0,206.0,212.0,False,151.5
254,303095.0,0.0,0.0,0.0,0.0,80.0,125.5,False,176.0
367,300806.379350348,0.0,0.0,0.0,0.0,36.0,107.0,False,82.5
171,300332.1301775148,0.0,0.0,0.0,0.0,41.0,156.0,False,93.5
323,297862.5,0.0,0.0,0.0,0.0,325.0,346.0,False,105.0
381,297492.5,0.0,0.0,0.0,0.0,41.0,58.5,False,93.5
331,295737.5,0.0,0.0,0.0,0.0,41.0,133.5,False,93.5
100,295212.6761774696,0.0,0.0,0.0,0.0,35.0,52.5,False,77.0
458,291865.0,0.0,0.0,0.0,0.0,321.0,385.5,False,99.5
138,275167.5,0.0,0.0,0.0,0.0,41.0,148.0,False,93.5
280,273962.5,0.0,0.0,0.0,0.0,195.0,199.5,False,124.0
403,272777.5,0.0,0.0,0.0,0.0,185.0,366.5,False,102.0
56,272765.0,0.0,0.0,0.0,0.0,175.0,310.0,False,80.0
125,270585.0,0.0,0.0,0.0,0.0,172.0,173.5,False,113.0
114,269447.5,0.0,0.0,0.0,0.0,191.0,385.5,False,118.5
355,268545.43252611323,0.0,0.0,0.0,0.0,36.0,132.0,False,82.5
486,265872.5,0.0,0.0,0.0,0.0,55.0,133.5,False,121.0
375,263783.632218845,0.0,0.0,0.0,0.0,31.0,135.0,False,71.5
139,261462.5,0.0,0.0,0.0,0.0,31.0,103.0,False,71.5
450,260555.0,0.0,0.0,0.0,0.0,40.0,152.5,False,88.0
270,260432.5,0.0,0.0,0.0,0.0,191.0,217.5,False,118.5
148,258240.0,0.0,0.0,0.0,0.0,164.0,164.5,False,69.0
460,258228.5734248205,0.0,0.0,0.0,0.0,190.0,244.5,False,113.0
289,255455.0,0.0,0.0,0.0,0.0,326.0,385.0,False,110.5
423,251037.5,0.0,0.0,0.0,0.0,61.0,144.0,False,137.5
209,249732.5,0.0,0.0,0.0,0.0,31.0,57.5,False,71.5
193,249686.24516790378,0.0,0.0,0.0,0.0,40.0,143.0,False,88.0
318,247875.0,0.0,0.0,0.0,0.0,65.0,122.5,False,143.0
378,246667.7122835944,0.0,0.0,0.0,0.0,46.0,90.0,False,104.5
198,246525.0,0.0,0.0,0.0,0.0,56.0,140.5,False,126.5
569,246005.7112928812,0.0,0.0,0.0,0.0,220.0,271.5,False,179.0
566,242912.5,0.0,0.0,0.0,0.0,35.0,138.5,False,77.0
441,242092.5,0.0,0.0,0.0,0.0,171.0,310.5,False,74.5
85,240525.0,0.0,0.0,0.0,0.0,175.0,301.0,False,80.0
164,240455.0,0.0,0.0,0.0,0.0,180.0,290.5,False,91.0
88,236845.0,0.0,0.0,0.0,0.0,181.0,312.5,False,96.5
469,235865.0,0.0,0.0,0.0,0.0,189.0,191.0,False,124.0
