HexID,DemandClass,AnnualDemand_kWh,AnnualSlack_kWh,SlackShare
0,home,55218.62087350886,0.0,0.0
0,public,0.0,0.0,0.0
1,home,141273.4260979654,0.0,0.0
1,public,44497.5,0.0,0.0
2,home,3266.133186664173,0.0,0.0
2,public,12650.0,0.0,0.0
3,home,323.6226132717286,0.0,0.0
3,public,47852.5,0.0,0.0
4,home,0.0,0.0,0.0
4,public,0.0,0.0,0.0
5,home,40230.4751730683,0.0,0.0
5,public,11907.5,0.0,0.0
6,home,30742.43669786151,0.0,0.0
6,public,25300.0,0.0,0.0
7,home,24806.626154391794,0.0,0.0
7,public,0.0,0.0,0.0
8,home,0.0,0.0,0.0
8,public,0.0,0.0,0.0
9,home,0.0,0.0,0.0
9,public,0.0,0.0,0.0
10,home,121203.78443152597,0.0,0.0
10,public,5500.0,0.0,0.0
11,home,47606.39075369003,0.0,0.0
11,public,15420.0,0.0,0.0
12,home,5221.334817519301,0.0,0.0
12,public,73205.0,0.0,0.0
13,home,0.0,0.0,0.0
13,public,15870.0,0.0,0.0
14,home,0.0,0.0,0.0
14,public,0.0,0.0,0.0
15,home,0.0,0.0,0.0
15,public,25437.499999999996,0.0,0.0
16,home,0.0,0.0,0.0
16,public,10882.5,0.0,0.0
17,home,12294.154642210779,0.0,0.0
17,public,0.0,0.0,0.0
18,home,9266.882440693775,0.0,0.0
18,public,919.9999999999999,0.0,0.0
19,home,4.819171823385915,0.0,0.0
19,public,16170.0,0.0,0.0
20,home,80484.02849119635,0.0,0.0
20,public,59927.5,0.0,0.0
21,home,0.0,0.0,0.0
21,public,21487.499999999996,0.0,0.0
22,home,0.0,0.0,0.0
22,public,0.0,0.0,0.0
23,home,0.0,0.0,0.0
23,public,15350.0,0.0,0.0
24,home,0.0,0.0,0.0
24,public,0.0,0.0,0.0
25,home,0.0,0.0,0.0
25,public,49257.5,0.0,0.0
26,home,0.0,0.0,0.0
26,public,74216.05265478921,0.0,0.0
27,home,0.0,0.0,0.0
27,public,28695.0,0.0,0.0
28,home,5324.069748777291,0.0,0.0
28,public,127707.5,0.0,0.0
29,home,0.0,0.0,0.0
29,public,3599.9999999999995,0.0,0.0
30,home,0.0,0.0,0.0
30,public,54325.0,0.0,0.0
31,home,0.0,0.0,0.0
31,public,18985.0,0.0,0.0
32,home,0.0,0.0,0.0
32,public,0.0,0.0,0.0
33,home,0.0,0.0,0.0
33,public,0.0,0.0,0.0
34,home,0.0,0.0,0.0
34,public,10120.0,0.0,0.0
35,home,0.0,0.0,0.0
35,public,0.0,0.0,0.0
36,home,0.0,0.0,0.0
36,public,80862.5,0.0,0.0
37,home,0.0,0.0,0.0
37,public,26462.500000000004,0.0,0.0
38,home,0.0,0.0,0.0
38,public,86632.5,0.0,0.0
39,home,0.0,0.0,0.0
39,public,87147.5,0.0,0.0
40,home,0.0,0.0,0.0
40,public,51120.0,0.0,0.0
41,home,0.0,0.0,0.0
41,public,0.0,0.0,0.0
42,home,0.0,0.0,0.0
42,public,48295.0,0.0,0.0
43,home,0.0,0.0,0.0
43,public,210082.5,0.0,0.0
44,home,0.0,0.0,0.0
44,public,0.0,0.0,0.0
45,home,0.0,0.0,0.0
45,public,55040.0,0.0,0.0
46,home,0.0,0.0,0.0
46,public,180655.0,0.0,0.0
47,home,0.0,0.0,0.0
47,public,0.0,0.0,0.0
48,home,0.0,0.0,0.0
48,public,0.0,0.0,0.0
49,home,0.0,0.0,0.0
49,public,0.0,0.0,0.0
50,home,0.0,0.0,0.0
50,public,0.0,0.0,0.0
51,home,0.0,0.0,0.0
51,public,900.0,0.0,0.0
52,home,0.0,0.0,0.0
52,public,25027.5,0.0,0.0
53,home,0.0,0.0,0.0
53,public,160150.0,0.0,0.0
54,home,0.0,0.0,0.0
54,public,95935.73943661971,0.0,0.0
55,home,0.0,0.0,0.0
55,public,2287.5,0.0,0.0
56,home,0.0,0.0,0.0
56,public,272765.0,0.0,0.0
57,home,0.0,0.0,0.0
57,public,234259.28614702693,0.0,0.0
58,home,0.0,0.0,0.0
58,public,33985.0,0.0,0.0
59,home,0.0,0.0,0.0
59,public,81180.0,0.0,0.0
60,home,0.0,0.0,0.0
60,public,19510.0,0.0,0.0
61,home,0.0,0.0,0.0
61,public,29415.0,0.0,0.0
62,home,222.5010665935481,0.0,0.0
62,public,18510.0,0.0,0.0
63,home,0.0,0.0,0.0
63,public,0.0,0.0,0.0
64,home,0.0,0.0,0.0
64,public,25185.0,0.0,0.0
65,home,0.0,0.0,0.0
65,public,0.0,0.0,0.0
66,home,0.0,0.0,0.0
66,public,0.0,0.0,0.0
67,home,0.0,0.0,0.0
67,public,28600.0,0.0,0.0
68,home,0.0,0.0,0.0
68,public,183505.0,0.0,0.0
69,home,0.0,0.0,0.0
69,public,103310.0,0.0,0.0
70,home,0.0,0.0,0.0
70,public,121882.5,0.0,0.0
71,home,0.0,0.0,0.0
71,public,123052.5,0.0,0.0
72,home,0.0,0.0,0.0
72,public,179557.5,0.0,0.0
73,home,0.0,0.0,0.0
73,public,0.0,0.0,0.0
74,home,0.0,0.0,0.0
74,public,168497.5,0.0,0.0
75,home,0.0,0.0,0.0
75,public,388145.0,0.0,0.0
76,home,0.0,0.0,0.0
76,public,387407.5,0.0,0.0
77,home,0.0,0.0,0.0
77,public,44382.5,0.0,0.0
78,home,0.0,0.0,0.0
78,public,6605.0,0.0,0.0
79,home,0.0,0.0,0.0
79,public,3450.0,0.0,0.0
80,home,0.0,0.0,0.0
80,public,83217.5,0.0,0.0
81,home,2503.463705806482,0.0,0.0
81,public,0.0,0.0,0.0
82,home,0.0,0.0,0.0
82,public,36200.0,0.0,0.0
83,home,0.0,0.0,0.0
83,public,9407.5,0.0,0.0
84,home,0.0,0.0,0.0
84,public,89755.0,0.0,0.0
85,home,0.0,0.0,0.0
85,public,240525.0,0.0,0.0
86,home,0.0,0.0,0.0
86,public,352041.8275154004,0.0,0.0
87,home,0.0,0.0,0.0
87,public,83417.5,0.0,0.0
88,home,0.0,0.0,0.0
88,public,236845.0,0.0,0.0
89,home,0.0,0.0,0.0
89,public,333357.5,0.0,0.0
90,home,0.0,0.0,0.0
90,public,140397.5,0.0,0.0
91,home,0.0,0.0,0.0
91,public,178862.5,0.0,0.0
92,home,0.0,0.0,0.0
92,public,153092.5,0.0,0.0
93,home,32016.47814556513,0.0,0.0
93,public,348967.5,0.0,0.0
94,home,0.0,0.0,0.0
94,public,368402.5,0.0,0.0
95,home,0.0,0.0,0.0
95,public,147157.5,0.0,0.0
96,home,2955.607117627587,0.0,0.0
96,public,115137.5,0.0,0.0
97,home,0.0,0.0,0.0
97,public,23702.5,0.0,0.0
98,home,0.0,0.0,0.0
98,public,57605.0,0.0,0.0
99,home,0.0,0.0,0.0
99,public,75367.5,0.0,0.0
100,home,0.0,0.0,0.0
100,public,295212.6761774696,0.0,0.0
101,home,47522.989633375844,0.0,0.0
101,public,7317.5,0.0,0.0
102,home,0.0,0.0,0.0
102,public,0.0,0.0,0.0
103,home,0.0,0.0,0.0
103,public,6617.5,0.0,0.0
104,home,0.0,0.0,0.0
104,public,0.0,0.0,0.0
105,home,0.0,0.0,0.0
105,public,20515.0,0.0,0.0
106,home,0.0,0.0,0.0
106,public,5505.0,0.0,0.0
107,home,0.0,0.0,0.0
107,public,178701.54426340357,0.0,0.0
108,home,0.0,0.0,0.0
108,public,186535.0,0.0,0.0
109,home,0.0,0.0,0.0
109,public,71745.0,0.0,0.0
110,home,0.0,0.0,0.0
110,public,416815.0,0.0,0.0
111,home,0.0,0.0,0.0
111,public,498212.5,0.0,0.0
112,home,0.0,0.0,0.0
112,public,221880.0,0.0,0.0
113,home,0.0,0.0,0.0
113,public,321537.5,0.0,0.0
114,home,0.0,0.0,0.0
114,public,269447.5,0.0,0.0
115,home,0.0,0.0,0.0
115,public,224970.0,0.0,0.0
116,home,0.0,0.0,0.0
116,public,32540.0,0.0,0.0
117,home,0.0,0.0,0.0
117,public,220790.0,0.0,0.0
118,home,0.0,0.0,0.0
118,public,528610.7089859851,0.0,0.0
119,home,0.0,0.0,0.0
119,public,157160.0,0.0,0.0
120,home,0.0,0.0,0.0
