HexID,Month,TimeIndex,ChargerType,Served_kWh_slot,InstalledCapacity_kWh_slot,UtilizationRatio,Binding95
1,January,48,medium,77.0,77.0,1.0,True
1,February,48,medium,77.0,77.0,1.0,True
1,December,48,medium,77.0,77.0,1.0,True
6,September,34,medium,33.0,33.0,1.0,True
6,October,34,medium,33.0,33.0,1.0,True
6,November,34,medium,33.0,33.0,1.0,True
10,March,35,medium,33.0,33.0,1.0,True
10,April,35,medium,33.0,33.0,1.0,True
10,May,35,medium,33.0,33.0,1.0,True
10,September,36,medium,33.0,33.0,1.0,True
10,October,36,medium,33.0,33.0,1.0,True
10,November,36,medium,33.0,33.0,1.0,True
11,January,47,medium,22.0,22.0,1.0,True
11,February,47,medium,22.0,22.0,1.0,True
11,December,47,medium,22.0,22.0,1.0,True
12,March,19,medium,22.0,22.0,1.0,True
12,March,20,medium,22.0,22.0,1.0,True
12,March,21,medium,22.0,22.0,1.0,True
12,March,22,medium,22.0,22.0,1.0,True
12,March,23,medium,22.0,22.0,1.0,True
12,April,19,medium,22.0,22.0,1.0,True
12,April,20,medium,22.0,22.0,1.0,True
12,April,21,medium,22.0,22.0,1.0,True
12,April,22,medium,22.0,22.0,1.0,True
12,April,23,medium,22.0,22.0,1.0,True
12,May,19,medium,22.0,22.0,1.0,True
12,May,20,medium,22.0,22.0,1.0,True
12,May,21,medium,22.0,22.0,1.0,True
12,May,22,medium,22.0,22.0,1.0,True
12,May,23,medium,22.0,22.0,1.0,True
12,June,28,medium,22.0,22.0,1.0,True
12,June,29,medium,22.0,22.0,1.0,True
12,June,30,medium,22.0,22.0,1.0,True
12,June,31,medium,22.0,22.0,1.0,True
12,July,28,medium,22.0,22.0,1.0,True
12,July,29,medium,22.0,22.0,1.0,True
12,July,30,medium,22.0,22.0,1.0,True
12,July,31,medium,22.0,22.0,1.0,True
12,August,28,medium,22.0,22.0,1.0,True
12,August,29,medium,22.0,22.0,1.0,True
12,August,30,medium,22.0,22.0,1.0,True
12,August,31,medium,22.0,22.0,1.0,True
19,January,20,medium,11.0,11.0,1.0,True
19,January,21,medium,11.0,11.0,1.0,True
19,January,22,medium,11.0,11.0,1.0,True
19,January,23,medium,11.0,11.0,1.0,True
19,January,24,medium,11.0,11.0,1.0,True
19,January,25,medium,11.0,11.0,1.0,True
19,February,20,medium,11.0,11.0,1.0,True
19,February,21,medium,11.0,11.0,1.0,True
19,February,22,medium,11.0,11.0,1.0,True
19,February,23,medium,11.0,11.0,1.0,True
19,February,24,medium,11.0,11.0,1.0,True
19,February,25,medium,11.0,11.0,1.0,True
19,September,20,medium,11.0,11.0,1.0,True
19,October,20,medium,11.0,11.0,1.0,True
19,November,20,medium,11.0,11.0,1.0,True
19,December,20,medium,11.0,11.0,1.0,True
19,December,21,medium,11.0,11.0,1.0,True
19,December,22,medium,11.0,11.0,1.0,True
