Method,Metric,Value,Unit,Source
Monolithic,hex_cells,587.0,count,preprocessing
Monolithic,representative_months,12.0,count,preprocessing
Monolithic,time_slots_per_day,48.0,count,preprocessing
Monolithic,month_slot_blocks,576.0,count,preprocessing
Monolithic,public_charger_types,3.0,count,preprocessing
Monolithic,demand_classes,2.0,count,preprocessing
Monolithic,spatial_redirection_arcs,1464.0,count,preprocessing
Monolithic,active_redirection_arc_slots,425004.0,count,preprocessing
Monolithic,origin_slot_records,181557.0,count,preprocessing
Monolithic,destination_slot_records,181557.0,count,preprocessing
Monolithic,demand_event_records,676224.0,count,preprocessing
Monolithic,battery_big_m_records,587.0,count,preprocessing
Monolithic,type_pair_arc_slot_records,3825036.0,count,preprocessing
Monolithic,arc_slots_average_per_month_slot,737.8541666666666,count,preprocessing
Monolithic,arc_slots_median_per_month_slot,886.0,count,preprocessing
Monolithic,arc_slots_p95_per_month_slot,1082.0,count,preprocessing
Monolithic,arc_slots_max_per_month_slot,1138.0,count,preprocessing
Monolithic,input_load_seconds,1.4809963000006974,s,phase_timing
Monolithic,preprocessing_seconds,2.7941238000057638,s,phase_timing
Monolithic,model_build_seconds,131.5463952999562,s,phase_timing
Monolithic,solve_seconds,458.1253764999565,s,phase_timing
Monolithic,export_seconds,195.58146949997172,s,phase_timing
Monolithic,figure_generation_seconds,10.868696300080046,s,phase_timing
Monolithic,total_runtime_seconds,835.5444921001326,s,phase_timing
Monolithic,peak_process_tree_rss_MB,21922.96484375,MB,resource_monitor
Monolithic,final_process_tree_rss_MB,17669.3125,MB,resource_monitor
Monolithic,solver_mip_gap_requested,0.0001,fraction,run
Monolithic,main_model_variables_total,11621047.0,count,pyomo_model
Monolithic,main_model_variables_continuous,10429992.0,count,pyomo_model
Monolithic,main_model_variables_integer_nonbinary,427939.0,count,pyomo_model
Monolithic,main_model_variables_binary,763116.0,count,pyomo_model
Monolithic,main_model_variable_components,18.0,count,pyomo_model
Monolithic,main_model_constraints_active,10474503.0,count,pyomo_model
Monolithic,main_model_constraint_components,28.0,count,pyomo_model
Monolithic,main_model_objectives_active,1.0,count,pyomo_model
