HexID,slow_chargers,slow_resources,slow_capacity_kWh_slot,medium_chargers,medium_resources,medium_capacity_kWh_slot,fast_chargers,fast_resources,fast_capacity_kWh_slot,PV_panels,Battery_units,Total_charger_resources,Total_public_capacity_kWh_slot
0,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
1,1.0,1.0,5.5,7.0,35.0,77.0,0.0,0.0,0.0,64.0,5.0,36.0,82.5
2,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
3,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
6,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
7,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
11,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,9.0,1.0,11.0,27.5
12,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,91.0,2.0,11.0,27.5
13,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,31.0,3.0,15.0,33.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
16,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
17,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
18,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
19,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
20,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,55.0,4.0,20.0,44.0
