Metric,Value
dataset,full
vipv_scenario,VIPV50_Wp700
annual_profit_SEK,373249169.05761856
revenue_all_chargers_SEK,534697014.05360895
grid_cost_SEK,106080617.30570298
grid_direct_cost_SEK,100728616.7668447
grid_to_battery_cost_SEK,5352000.538858276
redirection_distance_cost_SEK,0.0
redirection_price_compensation_SEK,0.0
redirection_total_cost_SEK,0.0
slack_penalty_SEK,20201.09578742573
capex_chargers_SEK,22988136.430499997
capex_PV_SEK,24895287.966000002
capex_BESS_SEK,7463602.198
capex_PV_BESS_SEK,32358890.164
grid_direct_kWh,58141772.77098207
grid_to_battery_kWh,3735751.377660954
grid_total_kWh,61877524.148643024
pv_direct_kWh,19775757.498040408
pv_to_battery_kWh,6162465.067809009
pv_used_total_kWh,25938222.565849416
battery_discharge_kWh,8908154.273034496
annual_public_demand_kWh,79342807.89755698
annual_home_demand_total_kWh,113330480.94841348
annual_home_private_served_kWh,105847603.21196236
annual_home_residual_demand_kWh,7482877.736451125
annual_optimizer_boundary_demand_kWh,86825685.6340081
annual_total_MATSim_charging_demand_kWh,192673288.84597045
implied_stationary_PV_yield_kWh_per_kWp_year,951.07784
pvgis_detected_input_unit,W
energy_redirected_kWh,0.0
share_redirected_public_demand,0.0
active_redirection_arcs,0
public_charger_capacity_kWh_per_slot,34066.5
annual_slack_kWh,1.091951123644634
redirection_trip_equivalents_annual,0.0
redirection_full_trip_bundles_annual,0.0
PV_panels_installed,63649.0
battery_units_installed,2132.0
chargers_slow_installed,617.0
energy_slow_kWh,1785396.327557751
revenue_slow_SEK,9819679.80156763
capex_chargers_slow_SEK,2095757.73
capacity_upper_bound_slow_kWh,59454120.0
capacity_ratio_slow,0.030029816731922884
chargers_medium_installed,2418.0
energy_medium_kWh,55769078.28440728
revenue_medium_SEK,334614469.70644367
capex_chargers_medium_SEK,13141114.272
capacity_upper_bound_medium_kWh,465996960.0
capacity_ratio_medium,0.11967691438246138
chargers_fast_installed,163.0
energy_fast_kWh,29271209.93009194
revenue_fast_SEK,190262864.5455976
capex_chargers_fast_SEK,7751264.428499999
capacity_upper_bound_fast_kWh,71394000.0
capacity_ratio_fast,0.40999537678365044
max_abs_soc_gap_Jan0_Dec48_kWh,0.0
