month,month_name,detected_input_unit,panel_kw,n_days_in_input,raw_input_min,raw_input_mean,raw_input_max,max_capacity_factor,avg_kwh_per_kwp_day,avg_kwh_per_panel_day,annualized_kwh_per_kwp,annualized_kwh_per_panel
1,January,W,0.5,31,0.0,11.187560483870968,289.06,0.13531354838709678,0.5370029032258065,0.26850145161290323,16.64709,8.323545
2,February,W,0.5,28,0.0,35.81090773809524,387.775,0.2852385714285714,1.7189235714285713,0.8594617857142857,48.129859999999994,24.064929999999997
3,March,W,0.5,31,0.0,46.575940860215056,445.565,0.3444209677419355,2.2356451612903228,1.1178225806451614,69.305,34.6525
4,April,W,0.5,30,0.0,94.10353472222222,444.74,0.59891,4.516969666666666,2.258484833333333,135.50909,67.754545
5,May,W,0.5,31,0.0,119.57985215053763,447.42,0.7179922580645162,5.739832903225807,2.8699164516129034,177.93482,88.96741
6,June,W,0.5,30,0.0,106.36974305555555,421.41,0.606809,5.105747666666667,2.5528738333333334,153.17243,76.586215
7,July,W,0.5,31,0.0,73.19233870967741,387.26,0.40680064516129033,3.5132322580645163,1.7566161290322582,108.9102,54.4551
8,August,W,0.5,31,0.0,58.970571236559145,376.88,0.34920870967741935,2.830587419354839,1.4152937096774194,87.74821,43.874105
9,September,W,0.5,30,0.0,53.855444444444444,398.015,0.40482466666666667,2.5850613333333334,1.2925306666666667,77.55184,38.77592
10,October,W,0.5,31,0.0,29.61202956989247,368.36,0.23183451612903225,1.4213774193548387,0.7106887096774194,44.0627,22.03135
11,November,W,0.5,30,0.0,15.4029375,277.875,0.18044,0.739341,0.3696705,22.18023,11.090115
12,December,W,0.5,31,0.0,6.67094758064516,252.47,0.1010341935483871,0.32020548387096776,0.16010274193548388,9.92637,4.963185
