HexID,AnnualPublicDemand_kWh,AnnualSlack_kWh,AnnualRedirectionOut_kWh,AnnualRedirectionIn_kWh,NetRedirectionIn_kWh,ChargerResourcesUsed,AvailableResources,ResourcesBinding,InstalledCapacity_kWh_slot
213,575486.0985695127,1.091951123644634,0.0,0.0,0.0,182.0,182.5,False,135.0
271,1997812.5,0.0,0.0,0.0,0.0,158.0,160.5,False,423.5
246,1362389.8669587518,0.0,0.0,0.0,0.0,120.0,186.0,False,264.0
248,1219997.5,0.0,0.0,0.0,0.0,243.0,245.0,False,289.0
227,1020486.8921011874,0.0,0.0,0.0,0.0,207.0,208.5,False,239.5
272,1005665.0,0.0,0.0,0.0,0.0,271.0,340.5,False,294.5
361,941887.5,0.0,0.0,0.0,0.0,351.0,385.0,False,470.5
156,830565.0797503467,0.0,0.0,0.0,0.0,365.0,365.5,False,193.0
225,817575.0,0.0,0.0,0.0,0.0,81.0,176.0,False,181.5
292,817440.0,0.0,0.0,0.0,0.0,250.0,353.0,False,245.0
294,810987.5,0.0,0.0,0.0,0.0,215.0,239.0,False,168.0
267,682873.0365723438,0.0,0.0,0.0,0.0,200.0,234.0,False,135.0
245,673032.5506947052,0.0,0.0,0.0,0.0,206.0,208.5,False,184.5
230,650602.5,0.0,0.0,0.0,0.0,215.0,280.5,False,168.0
160,630766.1990465246,0.0,0.0,0.0,0.0,356.0,380.0,False,176.5
211,622652.5,0.0,0.0,0.0,0.0,256.0,281.0,False,261.5
470,605121.8771603297,0.0,0.0,0.0,0.0,200.0,264.5,False,135.0
315,592157.5,0.0,0.0,0.0,0.0,201.0,244.0,False,140.5
291,587175.5130220026,0.0,0.0,0.0,0.0,65.0,107.5,False,143.0
445,578638.012575889,0.0,0.0,0.0,0.0,210.0,271.0,False,157.0
118,554801.6633713298,0.0,0.0,0.0,0.0,348.0,348.0,True,182.0
247,549629.189612015,0.0,0.0,0.0,0.0,71.0,161.5,False,159.5
468,548696.283260093,0.0,0.0,0.0,0.0,190.0,231.5,False,113.0
142,544847.5,0.0,0.0,0.0,0.0,205.0,299.0,False,146.0
321,533404.5111386139,0.0,0.0,0.0,0.0,195.0,240.5,False,124.0
577,518890.0,0.0,0.0,0.0,0.0,211.0,211.0,True,179.0
347,495137.5,0.0,0.0,0.0,0.0,185.0,187.5,False,168.0
135,475962.5,0.0,0.0,0.0,0.0,335.0,337.0,False,127.0
273,473930.0,0.0,0.0,0.0,0.0,343.0,344.0,False,154.5
249,463582.5,0.0,0.0,0.0,0.0,200.0,205.0,False,135.0
159,460567.5,0.0,0.0,0.0,0.0,185.0,275.5,False,102.0
293,456177.5,0.0,0.0,0.0,0.0,190.0,191.0,False,129.5
352,438060.6751125188,0.0,0.0,0.0,0.0,185.0,236.5,False,102.0
349,412912.5,0.0,0.0,0.0,0.0,50.0,112.0,False,110.0
299,411126.02415234764,0.0,0.0,0.0,0.0,46.0,112.5,False,104.5
362,407230.0,0.0,0.0,0.0,0.0,341.0,377.0,False,143.5
110,394760.0,0.0,0.0,0.0,0.0,326.0,328.0,False,110.5
324,388715.0,0.0,0.0,0.0,0.0,176.0,223.5,False,85.5
161,387820.0,0.0,0.0,0.0,0.0,36.0,145.0,False,82.5
287,383285.0,0.0,0.0,0.0,0.0,173.0,175.0,False,118.5
111,379422.5,0.0,0.0,0.0,0.0,176.0,272.5,False,85.5
549,379137.5,0.0,0.0,0.0,0.0,191.0,299.0,False,118.5
312,379047.5,0.0,0.0,0.0,0.0,181.0,221.0,False,96.5
419,371500.0,0.0,0.0,0.0,0.0,166.0,168.5,False,113.0
229,367367.5,0.0,0.0,0.0,0.0,196.0,293.5,False,129.5
316,360282.5,0.0,0.0,0.0,0.0,330.0,385.0,False,116.0
75,357400.0,0.0,0.0,0.0,0.0,80.0,89.5,False,176.0
175,352165.0,0.0,0.0,0.0,0.0,316.0,385.0,False,88.5
228,349807.5,0.0,0.0,0.0,0.0,50.0,121.5,False,110.0
76,349000.0,0.0,0.0,0.0,0.0,55.0,108.5,False,121.0
268,346155.0,0.0,0.0,0.0,0.0,216.0,265.5,False,173.5
215,345240.0,0.0,0.0,0.0,0.0,70.0,105.0,False,154.0
370,341937.5,0.0,0.0,0.0,0.0,185.0,221.0,False,102.0
388,337642.5,0.0,0.0,0.0,0.0,185.0,288.0,False,102.0
113,336052.5,0.0,0.0,0.0,0.0,326.0,384.0,False,110.5
340,335940.0,0.0,0.0,0.0,0.0,190.0,297.5,False,113.0
93,331082.86913192057,0.0,0.0,0.0,0.0,190.0,297.0,False,113.0
314,330077.5,0.0,0.0,0.0,0.0,336.0,367.0,False,132.5
178,328927.5,0.0,0.0,0.0,0.0,180.0,261.5,False,91.0
381,327430.0,0.0,0.0,0.0,0.0,36.0,58.5,False,82.5
214,323570.0,0.0,0.0,0.0,0.0,336.0,351.5,False,132.5
386,316677.5,0.0,0.0,0.0,0.0,220.0,297.0,False,179.0
274,316610.0,0.0,0.0,0.0,0.0,41.0,54.0,False,93.5
191,316312.5,0.0,0.0,0.0,0.0,181.0,195.5,False,96.5
500,314802.5,0.0,0.0,0.0,0.0,190.0,212.0,False,113.0
197,314735.0107881711,0.0,0.0,0.0,0.0,316.0,336.0,False,88.5
322,312990.0,0.0,0.0,0.0,0.0,166.0,166.0,True,96.5
586,312902.9715090197,0.0,0.0,0.0,0.0,210.0,260.0,False,157.0
86,307217.3409269442,0.0,0.0,0.0,0.0,40.0,123.0,False,88.0
94,305495.0,0.0,0.0,0.0,0.0,341.0,349.5,False,143.5
212,304352.52100840333,0.0,0.0,0.0,0.0,170.0,239.5,False,69.0
320,303866.4546112989,0.0,0.0,0.0,0.0,168.0,168.0,True,91.0
424,302679.1525075363,0.0,0.0,0.0,0.0,31.0,132.5,False,71.5
171,302080.0,0.0,0.0,0.0,0.0,41.0,156.0,False,93.5
269,298350.0,0.0,0.0,0.0,0.0,180.0,248.0,False,91.0
100,297031.9305937038,0.0,0.0,0.0,0.0,41.0,52.5,False,93.5
499,293679.1382626349,0.0,0.0,0.0,0.0,45.0,152.0,False,99.0
365,290947.5,0.0,0.0,0.0,0.0,180.0,226.5,False,91.0
345,288492.5,0.0,0.0,0.0,0.0,316.0,345.0,False,88.5
288,288340.0,0.0,0.0,0.0,0.0,41.0,152.0,False,93.5
125,288117.5,0.0,0.0,0.0,0.0,172.0,173.5,False,113.0
261,287722.5,0.0,0.0,0.0,0.0,186.0,248.0,False,107.5
89,279940.0,0.0,0.0,0.0,0.0,176.0,305.0,False,85.5
56,275990.0,0.0,0.0,0.0,0.0,176.0,310.0,False,85.5
377,272387.5,0.0,0.0,0.0,0.0,325.0,351.0,False,105.0
134,271457.5,0.0,0.0,0.0,0.0,185.0,314.0,False,102.0
148,267000.0,0.0,0.0,0.0,0.0,164.0,164.5,False,102.0
367,265242.5,0.0,0.0,0.0,0.0,50.0,107.0,False,110.0
114,262295.0,0.0,0.0,0.0,0.0,185.0,385.5,False,102.0
421,260527.5,0.0,0.0,0.0,0.0,181.0,283.5,False,96.5
460,259955.14401772525,0.0,0.0,0.0,0.0,181.0,244.5,False,96.5
360,254235.0,0.0,0.0,0.0,0.0,196.0,207.5,False,129.5
323,253325.0,0.0,0.0,0.0,0.0,190.0,346.0,False,113.0
355,252980.47146401985,0.0,0.0,0.0,0.0,36.0,132.0,False,82.5
289,251097.5,0.0,0.0,0.0,0.0,311.0,385.0,False,77.5
192,250455.0,0.0,0.0,0.0,0.0,186.0,248.5,False,107.5
138,250277.5,0.0,0.0,0.0,0.0,50.0,148.0,False,110.0
401,249962.5,0.0,0.0,0.0,0.0,46.0,95.0,False,104.5
331,249561.863007836,0.0,0.0,0.0,0.0,36.0,133.5,False,82.5
568,248677.5,0.0,0.0,0.0,0.0,40.0,152.0,False,88.0
458,246007.5,0.0,0.0,0.0,0.0,190.0,385.5,False,113.0
