HexID,DemandClass,AnnualDemand_kWh,AnnualSlack_kWh,SlackShare
213,public,575486.0985695127,1.091951123644634,1.8974413567224294e-06
0,home,39825.18447885515,0.0,0.0
0,public,0.0,0.0,0.0
1,home,141745.86048077236,0.0,0.0
1,public,53657.5,0.0,0.0
2,home,0.0,0.0,0.0
2,public,13655.0,0.0,0.0
3,home,0.0,0.0,0.0
3,public,28962.5,0.0,0.0
4,home,0.0,0.0,0.0
4,public,0.0,0.0,0.0
5,home,10095.996903508832,0.0,0.0
5,public,24835.0,0.0,0.0
6,home,28538.112453383485,0.0,0.0
6,public,5430.0,0.0,0.0
7,home,13774.563945194974,0.0,0.0
7,public,0.0,0.0,0.0
8,home,0.0,0.0,0.0
8,public,0.0,0.0,0.0
9,home,0.0,0.0,0.0
9,public,0.0,0.0,0.0
10,home,57551.150371248776,0.0,0.0
10,public,4295.0,0.0,0.0
11,home,31610.128513295986,0.0,0.0
11,public,13202.5,0.0,0.0
12,home,11072.436960585153,0.0,0.0
12,public,56595.0,0.0,0.0
13,home,428.49311392389905,0.0,0.0
13,public,33907.5,0.0,0.0
14,home,0.0,0.0,0.0
14,public,0.0,0.0,0.0
15,home,0.0,0.0,0.0
15,public,19982.5,0.0,0.0
16,home,0.0,0.0,0.0
16,public,8029.999999999999,0.0,0.0
17,home,6654.021503934779,0.0,0.0
17,public,0.0,0.0,0.0
18,home,4349.705093790165,0.0,0.0
18,public,3417.4999999999995,0.0,0.0
19,home,0.0,0.0,0.0
19,public,11757.5,0.0,0.0
20,home,27620.839867627994,0.0,0.0
20,public,34385.0,0.0,0.0
21,home,0.0,0.0,0.0
21,public,21185.0,0.0,0.0
22,home,0.0,0.0,0.0
22,public,0.0,0.0,0.0
23,home,0.0,0.0,0.0
23,public,27445.0,0.0,0.0
24,home,0.0,0.0,0.0
24,public,0.0,0.0,0.0
25,home,0.0,0.0,0.0
25,public,66865.0,0.0,0.0
26,home,0.0,0.0,0.0
26,public,82298.44108308344,0.0,0.0
27,home,0.0,0.0,0.0
27,public,39645.0,0.0,0.0
28,home,10558.453892978283,0.0,0.0
28,public,106525.0,0.0,0.0
29,home,0.0,0.0,0.0
29,public,915.0,0.0,0.0
30,home,0.0,0.0,0.0
30,public,44457.5,0.0,0.0
31,home,0.0,0.0,0.0
31,public,31160.0,0.0,0.0
32,home,0.0,0.0,0.0
32,public,0.0,0.0,0.0
33,home,0.0,0.0,0.0
33,public,0.0,0.0,0.0
34,home,0.0,0.0,0.0
34,public,10515.0,0.0,0.0
35,home,0.0,0.0,0.0
35,public,0.0,0.0,0.0
36,home,0.0,0.0,0.0
36,public,73628.00347771104,0.0,0.0
37,home,0.0,0.0,0.0
37,public,20982.5,0.0,0.0
38,home,0.0,0.0,0.0
38,public,87617.5,0.0,0.0
39,home,0.0,0.0,0.0
39,public,83012.5,0.0,0.0
40,home,0.0,0.0,0.0
40,public,47472.5,0.0,0.0
41,home,0.0,0.0,0.0
41,public,0.0,0.0,0.0
42,home,0.0,0.0,0.0
42,public,71757.5,0.0,0.0
43,home,0.0,0.0,0.0
43,public,201282.5,0.0,0.0
44,home,0.0,0.0,0.0
44,public,0.0,0.0,0.0
45,home,0.0,0.0,0.0
45,public,75570.0,0.0,0.0
46,home,0.0,0.0,0.0
46,public,144627.5,0.0,0.0
47,home,0.0,0.0,0.0
47,public,0.0,0.0,0.0
48,home,0.0,0.0,0.0
48,public,0.0,0.0,0.0
49,home,0.0,0.0,0.0
49,public,0.0,0.0,0.0
50,home,0.0,0.0,0.0
50,public,0.0,0.0,0.0
51,home,0.0,0.0,0.0
51,public,0.0,0.0,0.0
52,home,0.0,0.0,0.0
52,public,9812.5,0.0,0.0
53,home,0.0,0.0,0.0
53,public,173210.0,0.0,0.0
54,home,0.0,0.0,0.0
54,public,95072.5,0.0,0.0
55,home,0.0,0.0,0.0
55,public,0.0,0.0,0.0
56,home,0.0,0.0,0.0
56,public,275990.0,0.0,0.0
57,home,0.0,0.0,0.0
57,public,170320.9951144253,0.0,0.0
58,home,0.0,0.0,0.0
58,public,37922.5,0.0,0.0
59,home,0.0,0.0,0.0
59,public,76552.5,0.0,0.0
60,home,0.0,0.0,0.0
60,public,9000.0,0.0,0.0
61,home,0.0,0.0,0.0
61,public,9782.5,0.0,0.0
62,home,2039.4959078232323,0.0,0.0
62,public,9765.0,0.0,0.0
63,home,0.0,0.0,0.0
63,public,0.0,0.0,0.0
64,home,0.0,0.0,0.0
64,public,49987.5,0.0,0.0
65,home,0.0,0.0,0.0
65,public,0.0,0.0,0.0
66,home,0.0,0.0,0.0
66,public,0.0,0.0,0.0
67,home,0.0,0.0,0.0
67,public,34055.0,0.0,0.0
68,home,0.0,0.0,0.0
68,public,180407.5,0.0,0.0
69,home,0.0,0.0,0.0
69,public,83707.5,0.0,0.0
70,home,0.0,0.0,0.0
70,public,119677.5,0.0,0.0
71,home,0.0,0.0,0.0
71,public,112040.0,0.0,0.0
72,home,0.0,0.0,0.0
72,public,171579.27800521028,0.0,0.0
73,home,0.0,0.0,0.0
73,public,2952.5000000000005,0.0,0.0
